"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.883898562534e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.129490643475e-01 1.129490643475e-01 1.218987853685e-01 1.218987853685e-01 1.218987853685e-01 1.218987853685e-01 1.218987740705e-01 1.218987362142e-01 5.000393146042e-02 5.000393134223e-02 6.104037464687e-01 6.134117422350e-01 6.320358735887e-01 6.408917770840e-01 6.594159948215e-01 7.130641070662e-01 8.781012259295e-01 8.781012637858e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.883898562557e+05 2.607836115665e+02 2.616522657054e+02 2.632955929673e+02 2.656248117010e+02 2.681971064614e+02 2.697812014800e+02 2.700896412834e+02 2.701452294203e+02 2.701499999667e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.073549045460e-01 1.075713487300e-01 1.066941789144e-01 1.098284325188e-01 1.150423739266e-01 1.202513044464e-01 1.216129913623e-01 1.218758985176e-01 5.000393146038e-02 5.000393134223e-02 6.158594468675e-01 6.186730626278e-01 6.480697178145e-01 6.536717497486e-01 6.667154744689e-01 7.148234014853e-01 8.783870086377e-01 8.781241014824e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 6.883898562556e+05 2.608925667563e+02 2.614598252149e+02 2.625698180065e+02 2.643135196138e+02 2.667331878160e+02 2.690299889627e+02 2.698367509561e+02 2.701006912379e+02 2.701499953954e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.073808621976e-01 1.075214534748e-01 1.058966355466e-01 1.079406729606e-01 1.117627701482e-01 1.174804458594e-01 1.204851848394e-01 1.216647635888e-01 5.000393145439e-02 5.000393134223e-02 6.158366898945e-01 6.187169923003e-01 6.488900751701e-01 6.556304564784e-01 6.701651770686e-01 7.177699537464e-01 8.795148151606e-01 8.783352364112e-01 9.499960685456e-01 9.499960686578e-01
2.592000000000e+05 6.883898562555e+05 2.623859990437e+02 2.626653770374e+02 2.632568865643e+02 2.643283934152e+02 2.661318439400e+02 2.683983349337e+02 2.695120448087e+02 2.700144152024e+02 2.701499720602e+02 2.701499999996e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.077729320759e-01 1.078548409269e-01 1.066498788739e-01 1.079601518770e-01 1.106675908998e-01 1.155837617432e-01 1.191799838790e-01 1.212661069425e-01 5.000393142382e-02 5.000393134223e-02 6.154902887656e-01 6.184216374347e-01 6.481153483844e-01 6.556103166892e-01 6.713091963677e-01 7.197761880955e-01 8.808200161210e-01 8.787338930575e-01 9.499960685762e-01 9.499960686578e-01
3.456000000000e+05 6.883898562555e+05 2.630413656054e+02 2.632555350173e+02 2.636988646564e+02 2.644959589071e+02 2.659057774392e+02 2.679492583182e+02 2.691884408588e+02 2.698946290132e+02 2.701499003890e+02 2.701499999982e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.079700476300e-01 1.080383999076e-01 1.071685868998e-01 1.081823685619e-01 1.102847218217e-01 1.144107821061e-01 1.180114747175e-01 1.207339279803e-01 5.000393132994e-02 5.000393134222e-02 6.153138610120e-01 6.182570226786e-01 6.475805874888e-01 6.553804542576e-01 6.717080961114e-01 7.210117905519e-01 8.819885252825e-01 8.792660720197e-01 9.499960686701e-01 9.499960686578e-01
4.320000000000e+05 6.883898562555e+05 2.620814351015e+02 2.624198205072e+02 2.630589848354e+02 2.640403524910e+02 2.655322052661e+02 2.675642953460e+02 2.688814224525e+02 2.697519088489e+02 2.701497321917e+02 2.701499999935e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.076869778251e-01 1.077826881166e-01 1.064265974677e-01 1.075897983877e-01 1.096825123396e-01 1.134982376073e-01 1.170042459006e-01 1.201297443787e-01 5.000393110963e-02 5.000393134222e-02 6.155667146089e-01 6.184859407781e-01 6.483452217698e-01 6.559929765813e-01 6.723343815927e-01 7.219700337727e-01 8.829957540994e-01 8.798702556213e-01 9.499960688904e-01 9.499960686578e-01
5.184000000000e+05 6.883898562555e+05 2.597405880796e+02 2.602878470044e+02 2.612959694680e+02 2.627463097593e+02 2.647208681473e+02 2.670895558571e+02 2.685586267761e+02 2.695898166881e+02 2.701493997005e+02 2.701499999808e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.071217018165e-01 1.072407373928e-01 1.046448748106e-01 1.060843740374e-01 1.084889130090e-01 1.124717693964e-01 1.160350322970e-01 1.194794577878e-01 5.000393067420e-02 5.000393134220e-02 6.160632507152e-01 6.189627031357e-01 6.501729915019e-01 6.575428067662e-01 6.735714366863e-01 7.230444765043e-01 8.839649677030e-01 8.805205422122e-01 9.499960693258e-01 9.499960686578e-01
6.048000000000e+05 6.883898562555e+05 2.590951111851e+02 2.595690728189e+02 2.604801935584e+02 2.618913661878e+02 2.639637803101e+02 2.665680946368e+02 2.682095133808e+02 2.694082997874e+02 2.701488162755e+02 2.701499999507e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.069898149949e-01 1.070857962159e-01 1.039256994485e-01 1.052086312363e-01 1.074937132421e-01 1.114501800600e-01 1.150749015332e-01 1.187921675226e-01 5.000392991038e-02 5.000393134216e-02 6.161782451445e-01 6.190975900202e-01 6.509077765857e-01 6.584403303627e-01 6.745983779342e-01 7.241099258922e-01 8.849250984668e-01 8.812078324774e-01 9.499960700896e-01 9.499960686578e-01
6.912000000000e+05 6.883898562555e+05 2.562972852341e+02 2.570008085651e+02 2.583077153995e+02 2.602102677156e+02 2.628205995673e+02 2.659135281814e+02 2.678065672108e+02 2.692025398935e+02 2.701478776444e+02 2.701499998872e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.065038937500e-01 1.066147648789e-01 1.022555292039e-01 1.036999846000e-01 1.061645503149e-01 1.102976094851e-01 1.140632555945e-01 1.180599279076e-01 5.000392868214e-02 5.000393134208e-02 6.166056270100e-01 6.195088274337e-01 6.526097774826e-01 6.599802658261e-01 6.759634203208e-01 7.253069550272e-01 8.859367444055e-01 8.819400720924e-01 9.499960713179e-01 9.499960686579e-01
7.776000000000e+05 6.883898562555e+05 2.548384758598e+02 2.555213679736e+02 2.568244156513e+02 2.588089924447e+02 2.616649803989e+02 2.651696713229e+02 2.673433206663e+02 2.689670692103e+02 2.701464628049e+02 2.701499997638e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.062936311549e-01 1.063889811437e-01 1.012771829041e-01 1.026133592285e-01 1.049901226804e-01 1.091311401409e-01 1.130078174105e-01 1.172762205331e-01 5.000392683222e-02 5.000393134192e-02 6.167966277724e-01 6.197104162886e-01 6.536060589922e-01 6.610857202871e-01 6.771634584350e-01 7.265125858201e-01 8.869921825895e-01 8.827237794669e-01 9.499960731678e-01 9.499960686581e-01
