name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.05,0.0225,0.005,0.095,0.01,0.0224963,-0.0349926,0.0549926
ALPHA_M,0.005,0.00225,0.0005,0.0095,0.00151915,0.0022481,-0.00297706,0.00601535
N_P,1.6,0.4875,0.625,2.575,1.52203,0.487165,0.547702,2.49636
N_M,1.5,0.4875,0.525,2.475,1.48199,0.486664,0.508663,2.45532
WR_P,0.1,0.0875,-0.075,0.275,0.212503,0.0874923,0.0375183,0.387488
WR_M,0.12,0.0875,-0.055,0.295,0.156316,0.0874293,-0.0185427,0.331175
TCS_P,0.4,0.325,-0.25,1.05,0.434045,0.324726,-0.215407,1.0835
TCS_M,1,0.45,0.1,1.9,0.960838,0.449696,0.0614459,1.86023
TCD_P,0.07,0.245,-0.42,0.56,0.102681,0.244946,-0.38721,0.592572
TCD_M,1,0.25,0.5,1.5,0.986875,0.249991,0.486893,1.48686
AF_P,1.5,0.25,1,2,1.50339,0.249998,1.00339,2.00338
AF_M,1.5,0.25,1,2,1.49933,0.249999,0.999332,1.99933
AUF_P,0.5,0.175,0.15,0.85,0.488158,0.174997,0.138164,0.838153
AUF_M,0.7,0.175,0.35,1.05,0.699199,0.175,0.3492,1.0492
POR_P,0.5,0.1625,0.175,0.825,0.62853,0.162443,0.303644,0.953415
POR_M,0.5,0.125,0.25,0.75,0.48628,0.124934,0.236413,0.736147
PERM_P,1e-10,2.475e-10,-3.95e-10,5.95e-10,1e-11,2.4432e-10,-4.78641e-10,4.98641e-10
PERM_M,1e-12,2.475e-12,-3.95e-12,5.95e-12,1e-13,2.40445e-12,-4.7089e-12,4.9089e-12
DEN_P,900,325,250,1550,900,324.999,250.002,1550
DEN_M,2300,175,1950,2650,2300,175,1950,2650
