name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.0025,0.005,0.015,0.0078825,0.0025,0.00288251,0.0128825
ALPHA_M,0.00182491,0.000456229,0.000912457,0.00273737,0.00183347,0.000456177,0.000921116,0.00274582
N_P,2.05,0.5125,1.025,3.075,2.04967,0.512463,1.02475,3.0746
N_M,2.05,0.5125,1.025,3.075,2.04956,0.511846,1.02587,3.07325
WR_P,0.224324,0.056081,0.112162,0.336486,0.226996,0.0560786,0.114839,0.339154
WR_M,0.159488,0.039872,0.079744,0.239232,0.163702,0.0398656,0.083971,0.243433
TCS_P,0.439577,0.109894,0.219788,0.659365,0.44016,0.109889,0.220381,0.659939
TCS_M,0.952105,0.238026,0.476053,1.42816,0.95241,0.238019,0.476372,1.42845
TCD_P,0.101023,0.0252559,0.0505117,0.151535,0.101689,0.0252558,0.051177,0.1522
TCD_M,0.984405,0.246101,0.492203,1.47661,0.984845,0.246091,0.492663,1.47703
AF_P,1.50511,0.376279,0.752557,2.25767,1.50518,0.376277,0.752628,2.25774
AF_M,1.49939,0.374847,0.749695,2.24908,1.49941,0.374843,0.749724,2.24909
AUF_P,0.486935,0.121734,0.243468,0.730403,0.48686,0.121732,0.243396,0.730325
AUF_M,0.698884,0.174721,0.349442,1.04833,0.698975,0.174721,0.349533,1.04842
POR_P,0.637395,0.159349,0.318697,0.956092,0.641456,0.159323,0.32281,0.960102
POR_M,0.481031,0.120258,0.240515,0.721546,0.479967,0.120225,0.239516,0.720417
PERM_P,5.34662e-11,1.33666e-11,2.67331e-11,8.01993e-11,8.01993e-11,1.33666e-11,5.34662e-11,1.06932e-10
PERM_M,1e-13,2.5e-14,5e-14,1.5e-13,5e-14,2.49997e-14,5.09157e-19,9.99995e-14
DEN_P,900,225,450,1350,900,225,450,1350
DEN_M,1900,475,950,2850,1900,474.994,950.011,2849.99
LH_W,334000,83500,167000,501000,334000,83499.9,167000,501000
LH_I,-6007.87,1501.97,-9011.81,-3003.93,-6007.87,1501.81,-9011.49,-3004.25
HC_L,76,19,38,114,76,18.9999,38.0002,114
HC_R,620,155,310,930,620,154.998,310.004,929.996
