iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,lh_w,lh_i,hc_l,hc_r
0,0,0.1,1,0.00814557,0.00182908,2.04983,2.04982,0.226137,0.162384,0.440161,0.95236,0.101562,0.984726,1.50515,1.49941,0.486786,0.698974,0.639906,0.480292,8.01993e-11,6.02343e-14,900,1900,334000,-6007.87,76,620
0,0,0.1,0.75,0.00860917,0.00182804,2.04987,2.04986,0.225684,0.16166,0.440015,0.952297,0.101427,0.984646,1.50514,1.4994,0.486823,0.698952,0.639278,0.480477,7.35161e-11,7.01757e-14,900,1900,334000,-6007.87,76,620
0,0,1,1,0.00907827,0.00185201,2.04998,2.04997,0.22459,0.160037,0.439655,0.952129,0.101095,0.984442,1.50512,1.49939,0.48691,0.698888,0.637723,0.480981,8.01993e-11,6.23575e-14,900,1900,334000,-6007.87,76,620
0,0,1,0.75,0.0093087,0.00184524,2.04998,2.04998,0.224524,0.1599,0.439635,0.952123,0.101077,0.984433,1.50512,1.49939,0.486916,0.698887,0.637641,0.480994,7.35161e-11,7.17682e-14,900,1900,334000,-6007.87,76,620
0,0,10,1,0.00984741,0.00185643,2.05,2.05,0.224354,0.159548,0.439585,0.952107,0.101031,0.984409,1.50511,1.49939,0.486932,0.698884,0.63743,0.481026,8.01993e-11,6.308e-14,900,1900,334000,-6007.87,76,620
0,0,10,0.75,0.00988556,0.00184855,2.05,2.05,0.224346,0.159533,0.439583,0.952107,0.101029,0.984408,1.50511,1.49939,0.486933,0.698884,0.637421,0.481027,7.35161e-11,7.231e-14,900,1900,334000,-6007.87,76,620
0,0,100,1,0.0099838,0.00185368,2.05,2.05,0.224327,0.159494,0.439577,0.952105,0.101024,0.984406,1.50511,1.49939,0.486935,0.698884,0.637398,0.48103,8.01993e-11,6.314e-14,900,1900,334000,-6007.87,76,620
0,0,100,0.75,0.00998785,0.00184649,2.05,2.05,0.224326,0.159493,0.439577,0.952105,0.101024,0.984406,1.50511,1.49939,0.486935,0.698884,0.637398,0.48103,7.35161e-11,7.2355e-14,900,1900,334000,-6007.87,76,620
0,0,1000,1,0.00998307,0.00182491,2.05,2.05,0.224327,0.159502,0.439578,0.952105,0.101024,0.984406,1.50511,1.49939,0.486935,0.698884,0.637399,0.481028,5.34662e-11,1e-13,900,1900,334000,-6007.87,76,620
0,0,1000,0.75,0.00998731,0.00182491,2.05,2.05,0.224326,0.159499,0.439577,0.952105,0.101024,0.984406,1.50511,1.49939,0.486935,0.698884,0.637398,0.481028,5.34662e-11,1e-13,900,1900,334000,-6007.87,76,620
1,0,0.1,1,0.0078825,0.00183347,2.04967,2.04956,0.226996,0.163702,0.44016,0.95241,0.101689,0.984845,1.50518,1.49941,0.48686,0.698975,0.641456,0.479967,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
1,0,0.1,0.75,0.00794826,0.00183237,2.04971,2.04963,0.226782,0.163373,0.440161,0.952397,0.101657,0.984815,1.50517,1.49941,0.486842,0.698975,0.641069,0.480048,8.01993e-11,5.25586e-14,900,1900,334000,-6007.87,76,620
1,0,1,1,0.00801606,0.0018404,2.04981,2.04979,0.226257,0.162629,0.440168,0.952367,0.101584,0.98474,1.50515,1.49941,0.48679,0.698974,0.640088,0.480271,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
1,0,1,0.75,0.00804844,0.00183757,2.04981,2.0498,0.226227,0.162568,0.440166,0.952365,0.101578,0.984736,1.50515,1.49941,0.486789,0.698974,0.640042,0.480276,8.01993e-11,5.25586e-14,900,1900,334000,-6007.87,76,620
1,0,10,1,0.00812561,0.00184128,2.04982,2.04982,0.22615,0.16241,0.440162,0.952361,0.101564,0.984727,1.50515,1.49941,0.486786,0.698974,0.639924,0.48029,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
1,0,10,0.75,0.0081306,0.00183823,2.04982,2.04982,0.226147,0.162404,0.440162,0.952361,0.101564,0.984727,1.50515,1.49941,0.486786,0.698974,0.63992,0.480291,8.01993e-11,5.25586e-14,900,1900,334000,-6007.87,76,620
