iteration,_is_super,_lambda,_scale_factor,n_m,tcs_m,af_m,af_p
0,0,0.1,1,1.2,1,0.05,0.006219
0,0,0.1,0.75,1.2,1,0.05,0.00591425
0,0,1,1,1.2,1,0.05,0.00518618
0,0,1,0.75,1.2,1,0.05,0.00513964
0,0,10,1,1.19999,1,0.0499887,0.00501965
0,0,10,0.75,1.19999,1,0.0499916,0.00501474
0,0,100,1,1.2,1,0.0499989,0.00500198
0,0,100,0.75,1.2,1,0.0499992,0.00500148
0,0,1000,1,1.2,1,0.0499999,0.0050002
0,0,1000,0.75,1.2,1,0.0499999,0.00500015
1,0,0.1,1,1.19999,1,0.0499887,0.00279029
1,0,0.1,0.75,1.19999,1,0.0499887,0.00334763
1,0,1,1,1.19999,1,0.0499887,0.00462997
1,0,1,0.75,1.19999,1,0.0499887,0.00472739
1,0,10,1,1.19999,1,0.0499751,0.00497753
1,0,10,0.75,1.19999,1,0.0499785,0.00498806
1,0,100,1,1.19999,1,0.0499874,0.00501541
1,0,100,0.75,1.19999,1,0.0499877,0.00501647
1,0,1000,1,1.19999,1,0.0499886,0.00501923
1,0,1000,0.75,1.19999,1,0.0499886,0.00501933
2,0,0.1,1,1.19999,1,0.0499874,0.00627089
2,0,0.1,0.75,1.19999,1,0.0499874,0.00595702
2,0,1,1,1.19999,1,0.0499874,0.00522037
2,0,1,0.75,1.19999,1,0.0499874,0.00516913
2,0,10,1,1.19998,1,0.0499756,0.00503729
2,0,10,0.75,1.19999,1,0.0499786,0.00503182
2,0,100,1,1.19999,1,0.0499862,0.00501761
2,0,100,0.75,1.19999,1,0.0499865,0.00501706
2,0,1000,1,1.19999,1,0.0499873,0.00501563
2,0,1000,0.75,1.19999,1,0.0499873,0.00501557
