iteration,_is_super,_lambda,_scale_factor,n_m,tcs_m,af_m,af_p
0,0,0.1,1,1.19802,1.00013,0.0489716,0.00793808
0,0,0.1,0.75,1.19851,1.0001,0.0492287,0.00720356
0,0,1,1,1.1998,1.00001,0.049893,0.00551175
0,0,1,0.75,1.19985,1.00001,0.0499197,0.00538381
0,0,10,1,1.19998,1,0.0499892,0.00505526
0,0,10,0.75,1.19998,1,0.0499919,0.00504144
0,0,100,1,1.2,1,0.0499989,0.00500557
0,0,100,0.75,1.2,1,0.0499992,0.00500418
0,0,1000,1,1.2,1,0.0499999,0.00500056
0,0,1000,0.75,1.2,1,0.0499999,0.00500042
1,0,0.1,1,1.19601,1.0002,0.0479461,0.00446325
1,0,0.1,0.75,1.19651,1.00018,0.0482025,0.00533196
1,0,1,1,1.19782,1.00014,0.048872,0.00739975
1,0,1,0.75,1.19787,1.00014,0.0488969,0.00753433
1,0,10,1,1.198,1.00013,0.0489617,0.00788111
1,0,10,0.75,1.198,1.00013,0.0489642,0.00789535
1,0,100,1,1.19802,1.00013,0.0489706,0.00793235
1,0,100,0.75,1.19802,1.00013,0.0489709,0.00793378
1,0,1000,1,1.19802,1.00013,0.0489715,0.00793751
1,0,1000,0.75,1.19802,1.00013,0.0489715,0.00793765
2,0,0.1,1,1.18877,1.00019,0.0463002,0.00580188
2,0,0.1,0.75,1.19058,1.00019,0.0467117,0.00546722
2,0,1,1,1.1952,1.0002,0.0477647,0.00471859
2,0,1,0.75,1.1954,1.0002,0.0478101,0.00465475
2,0,10,1,1.19593,1.0002,0.0479278,0.00449117
2,0,10,0.75,1.19595,1.0002,0.0479324,0.00448419
2,0,100,1,1.196,1.0002,0.0479443,0.00446607
2,0,100,0.75,1.196,1.0002,0.0479447,0.00446536
2,0,1000,1,1.19601,1.0002,0.0479459,0.00446353
2,0,1000,0.75,1.19601,1.0002,0.047946,0.00446346
3,0,0.1,1,1.18136,1.00013,0.0453837,0.00525368
3,0,0.1,0.75,1.18321,1.00015,0.0456128,0.00539073
3,0,1,1,1.18793,1.00018,0.0461941,0.00569457
3,0,1,0.75,1.18814,1.00018,0.0462206,0.00572139
3,0,10,1,1.18868,1.00019,0.0462894,0.00579
3,0,10,0.75,1.18871,1.00019,0.0462921,0.00579297
3,0,100,1,1.18876,1.00019,0.0462991,0.00580068
3,0,100,0.75,1.18876,1.00019,0.0462994,0.00580098
3,0,1000,1,1.18877,1.00019,0.0463001,0.00580176
3,0,1000,0.75,1.18877,1.00019,0.0463001,0.00580179
4,0,0.1,1,1.17392,1.00014,0.0452534,0.00628095
4,0,0.1,0.75,1.17578,1.00014,0.045286,0.00602413
4,0,1,1,1.1805,1.00014,0.0453579,0.00545316
4,0,1,0.75,1.18071,1.00014,0.0453644,0.00540329
4,0,10,1,1.18127,1.00013,0.045381,0.00527561
4,0,10,0.75,1.1813,1.00013,0.0453817,0.00527013
4,0,100,1,1.18135,1.00013,0.0453834,0.0052559
4,0,100,0.75,1.18135,1.00013,0.0453835,0.00525534
4,0,1000,1,1.18136,1.00013,0.0453837,0.0052539
4,0,1000,0.75,1.18136,1.00013,0.0453837,0.00525385
5,0,0.1,1,1.16659,1.0001,0.0441387,0.00312208
5,0,0.1,0.75,1.16842,1.00011,0.0444174,0.00391179
5,0,1,1,1.17304,1.00014,0.0451271,0.00559775
5,0,1,0.75,1.17326,1.00014,0.0451587,0.00576855
5,0,10,1,1.17383,1.00014,0.0452407,0.00620386
5,0,10,0.75,1.17386,1.00014,0.0452439,0.00622313
5,0,100,1,1.17391,1.00014,0.0452522,0.00627314
5,0,100,0.75,1.17392,1.00014,0.0452525,0.00627509
5,0,1000,1,1.17392,1.00014,0.0452533,0.00628016
5,0,1000,0.75,1.17392,1.00014,0.0452534,0.00628036
6,0,0.1,1,1.16541,1.00006,0.0433361,0.002
6,0,0.1,0.75,1.16571,1.00007,0.0435368,0.00228052
6,0,1,1,1.16638,1.00009,0.0439855,0.00244645
6,0,1,0.75,1.16643,1.00009,0.0440238,0.00261536
6,0,10,1,1.16657,1.0001,0.0441229,0.00303273
6,0,10,0.75,1.16658,1.0001,0.0441268,0.00305506
6,0,100,1,1.16659,1.0001,0.0441371,0.00311284
6,0,100,0.75,1.16659,1.0001,0.0441375,0.00311515
6,0,1000,1,1.16659,1.0001,0.0441385,0.00312115
6,0,1000,0.75,1.16659,1.0001,0.0441386,0.00312138
7,0,0.1,1,1.16366,1.00004,0.0426862,0.0034362
7,0,0.1,0.75,1.16417,1.00005,0.0428989,0.00314728
7,0,1,1,1.1655,1.00007,0.0434583,0.00280706
7,0,1,0.75,1.16555,1.00007,0.0434779,0.00267542
7,0,10,1,1.16568,1.00007,0.0435295,0.00236269
7,0,10,0.75,1.16569,1.00007,0.0435314,0.00234214
7,0,100,1,1.1657,1.00007,0.0435361,0.00228922
7,0,100,0.75,1.1657,1.00007,0.0435362,0.00228705
7,0,1000,1,1.16571,1.00007,0.0435367,0.00228139
7,0,1000,0.75,1.16571,1.00007,0.0435367,0.00228118
8,0,0.1,1,1.16176,1,0.0419394,0.002
8,0,0.1,0.75,1.16224,1.00001,0.0421261,0.00235905
8,0,1,1,1.16345,1.00003,0.0426061,0.00312692
8,0,1,0.75,1.1635,1.00003,0.0426261,0.00320424
8,0,10,1,1.16364,1.00004,0.0426782,0.00340178
8,0,10,0.75,1.16364,1.00004,0.0426802,0.00341038
8,0,100,1,1.16366,1.00004,0.0426854,0.00343272
8,0,100,0.75,1.16366,1.00004,0.0426856,0.00343359
8,0,1000,1,1.16366,1.00004,0.0426861,0.00343585
8,0,1000,0.75,1.16366,1.00004,0.0426862,0.00343594
9,0,0.1,1,1.15977,0.999943,0.0406787,0.002
9,0,0.1,0.75,1.16027,0.999957,0.0409938,0.002
9,0,1,1,1.16156,0.999995,0.0418099,0.002
9,0,1,0.75,1.16161,0.999996,0.0418423,0.002
9,0,10,1,1.16174,1,0.0419264,0.002
9,0,10,0.75,1.16175,1,0.0419296,0.002
9,0,100,1,1.16176,1,0.0419381,0.002
9,0,100,0.75,1.16176,1,0.0419384,0.002
9,0,1000,1,1.16176,1,0.0419393,0.002
9,0,1000,0.75,1.16176,1,0.0419393,0.002
10,0,0.1,1,1.15782,0.999892,0.0393967,0.00327317
10,0,0.1,0.75,1.15831,0.999905,0.0397172,0.00295488
10,0,1,1,1.15957,0.999939,0.0405368,0.00257047
10,0,1,0.75,1.15962,0.99994,0.0405723,0.00242786
10,0,10,1,1.15975,0.999943,0.0406638,0.00208634
10,0,10,0.75,1.15976,0.999943,0.0406675,0.00206475
10,0,100,1,1.15977,0.999943,0.0406772,0.0020091
10,0,100,0.75,1.15977,0.999943,0.0406775,0.00200682
10,0,1000,1,1.15977,0.999943,0.0406785,0.00200091
10,0,1000,0.75,1.15977,0.999943,0.0406786,0.00200069
11,0,0.1,1,1.15631,0.999856,0.0384173,0.002
11,0,0.1,0.75,1.15668,0.999865,0.0386621,0.00231829
11,0,1,1,1.15762,0.999889,0.0392665,0.0028802
11,0,1,0.75,1.15767,0.99989,0.039299,0.00297844
11,0,10,1,1.1578,0.999892,0.0393836,0.00322762
11,0,10,0.75,1.15781,0.999892,0.0393869,0.00323901
11,0,100,1,1.15782,0.999892,0.0393954,0.00326854
11,0,100,0.75,1.15782,0.999892,0.0393957,0.0032697
11,0,1000,1,1.15782,0.999892,0.0393965,0.00327271
11,0,1000,0.75,1.15782,0.999892,0.0393966,0.00327282
12,0,0.1,1,1.15431,0.999837,0.0374381,0.002
12,0,0.1,0.75,1.15481,0.999842,0.0376829,0.002
12,0,1,1,1.1561,0.999854,0.0383161,0.002
12,0,1,0.75,1.15615,0.999855,0.0383414,0.002
12,0,10,1,1.15628,0.999856,0.0384071,0.002
12,0,10,0.75,1.15629,0.999856,0.0384097,0.002
12,0,100,1,1.1563,0.999856,0.0384163,0.002
12,0,100,0.75,1.1563,0.999856,0.0384165,0.002
12,0,1000,1,1.15631,0.999856,0.0384172,0.002
12,0,1000,0.75,1.15631,0.999856,0.0384172,0.002
13,0,0.1,1,1.15238,0.999831,0.0366133,0.00310152
13,0,0.1,0.75,1.15286,0.999833,0.0368195,0.00282614
13,0,1,1,1.15411,0.999837,0.0373519,0.00232801
