# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.118637707957e-01 1.525200357469e-01 1.525200357469e-01 1.525200357469e-01 1.525200357469e-01 1.525200217431e-01 1.525199748204e-01
8.640000000000e+04 2.606485246236e+02 2.625230298633e+02 2.651677990346e+02 2.680590989283e+02 2.697803667923e+02 2.700935985617e+02 2.701459225567e+02 1.067093919965e-01 1.323063814841e-01 1.364937650042e-01 1.435190034432e-01 1.504705765733e-01 1.521886788159e-01 1.524957765278e-01
1.728000000000e+05 2.604333852131e+02 2.617008129234e+02 2.636844981031e+02 2.664247424374e+02 2.689787780266e+02 2.698388380710e+02 2.701043441245e+02 1.066639824662e-01 1.312508243111e-01 1.339741360815e-01 1.391047394640e-01 1.468129632132e-01 1.507766400998e-01 1.522512027005e-01
2.592000000000e+05 2.610909550607e+02 2.619250781417e+02 2.633365880786e+02 2.655738227541e+02 2.682423120013e+02 2.694891299460e+02 2.700191125458e+02 1.068063303323e-01 1.315296331054e-01 1.334502887513e-01 1.372809174988e-01 1.441163477489e-01 1.490334995773e-01 1.517618875294e-01
3.456000000000e+05 2.612108914602e+02 2.619303906860e+02 2.631259184164e+02 2.650642116673e+02 2.676474144044e+02 2.691121167342e+02 2.698936243250e+02 1.068334755171e-01 1.315363173276e-01 1.331436189548e-01 1.363004716637e-01 1.422642711216e-01 1.473609345764e-01 1.510692322563e-01
4.320000000000e+05 2.599971547742e+02 2.609248694373e+02 2.623325943893e+02 2.644138602665e+02 2.670964244573e+02 2.687279113412e+02 2.697352150170e+02 1.065751464072e-01 1.303337666859e-01 1.320535146622e-01 1.351500001233e-01 1.407476804345e-01 1.458353911879e-01 1.502383361847e-01
5.184000000000e+05 2.597854143473e+02 2.605875186478e+02 2.618746539169e+02 2.638814716780e+02 2.665923847232e+02 2.683475273224e+02 2.695517007612e+02 1.065335095054e-01 1.299563018644e-01 1.314663750444e-01 1.342808874939e-01 1.394961205114e-01 1.444712237840e-01 1.493305933918e-01
6.048000000000e+05 2.588105241458e+02 2.597298247458e+02 2.611446055771e+02 2.632682153790e+02 2.660930867294e+02 2.679677387065e+02 2.693487586667e+02 1.063531651014e-01 1.290483029119e-01 1.305863221318e-01 1.333499148461e-01 1.383632072196e-01 1.432303472379e-01 1.483880190838e-01
6.912000000000e+05 2.574637856087e+02 2.585281088110e+02 2.601399755744e+02 2.624978034140e+02 2.655507146424e+02 2.675743320944e+02 2.691283821808e+02 1.061306970537e-01 1.278857230192e-01 1.294736587262e-01 1.322725787997e-01 1.372347979161e-01 1.420529092656e-01 1.474292005116e-01
7.776000000000e+05 2.571471897072e+02 2.580781060743e+02 2.595659952204e+02 2.618756605852e+02 2.650198318166e+02 2.671724594665e+02 2.688922988825e+02 1.060822902597e-01 1.274792587803e-01 1.288826860279e-01 1.314676346553e-01 1.362185493735e-01 1.409469197611e-01 1.464682350046e-01
8.640000000000e+05 2.538051883335e+02 2.553524548523e+02 2.575777404283e+02 2.606245271792e+02 2.643244438315e+02 2.667208371477e+02 2.686356862519e+02 1.056424191155e-01 1.252915438699e-01 1.270439136273e-01 1.299971217973e-01 1.349997359307e-01 1.398038715099e-01 1.454922685627e-01
9.504000000000e+05 2.529433353745e+02 2.542905182480e+02 2.563941009047e+02 2.595303194572e+02 2.635647889143e+02 2.662177841149e+02 2.683535286214e+02 1.055462080337e-01 1.245452974776e-01 1.260771879968e-01 1.288469349461e-01 1.337913639395e-01 1.386369115882e-01 1.444917050944e-01
1.036800000000e+06 2.548455379843e+02 2.555455616335e+02 2.568670232719e+02 2.592793363474e+02 2.630038139131e+02 2.657334663987e+02 2.680527256168e+02 1.057670256363e-01 1.254329743900e-01 1.264533740464e-01 1.285985203366e-01 1.329693325092e-01 1.376039255546e-01 1.434984881825e-01
