iteration,_is_super,_lambda,_scale_factor,n_m,tcs_m,af_m,af_p
0,0,0.1,1,1.16863,1.00265,0.0337229,0.00796877
0,0,0.1,0.75,1.17647,1.00199,0.0377922,0.00722658
0,0,1,1,1.19607,1.00027,0.0479289,0.00762408
0,0,1,0.75,1.19705,1.0002,0.0484466,0.00696806
0,0,10,1,1.19959,1.00003,0.0497784,0.00584699
0,0,10,0.75,1.1997,1.00002,0.0498338,0.00563524
0,0,100,1,1.19996,1,0.0499774,0.0051085
0,0,100,0.75,1.19997,1,0.0499831,0.00508138
0,0,1000,1,1.2,1,0.0499977,0.00501116
0,0,1000,0.75,1.2,1,0.0499983,0.00500837
1,0,0.1,1,1.15197,1.00379,0.02,0.00373112
1,0,0.1,0.75,1.15614,1.00351,0.0234307,0.00479053
1,0,1,1,1.16467,1.00284,0.0305539,0.0048718
1,0,1,0.75,1.16566,1.0028,0.0313461,0.00564604
1,0,10,1,1.16821,1.00267,0.0334204,0.00731167
1,0,10,0.75,1.16832,1.00267,0.0334961,0.00747595
1,0,100,1,1.16859,1.00265,0.0336933,0.00789401
1,0,100,0.75,1.1686,1.00265,0.0337007,0.0079127
1,0,1000,1,1.16862,1.00265,0.0337199,0.00796119
1,0,1000,0.75,1.16862,1.00265,0.0337207,0.00796309
2,0,0.1,1,1.13649,1.00279,0.02,0.002
2,0,0.1,0.75,1.14036,1.00304,0.02,0.00243278
2,0,1,1,1.1494,1.00369,0.02,0.002
2,0,1,0.75,1.15004,1.00372,0.02,0.00243278
2,0,10,1,1.1516,1.00378,0.02,0.00219519
2,0,10,0.75,1.15169,1.00379,0.02,0.00257917
2,0,100,1,1.15194,1.00379,0.02,0.00339542
2,0,100,0.75,1.15195,1.00379,0.02,0.00347934
2,0,1000,1,1.15197,1.00379,0.02,0.00369303
2,0,1000,0.75,1.15197,1.00379,0.02,0.00370255
3,0,0.1,1,1.12242,1.00383,0.02,0.002
3,0,0.1,0.75,1.12594,1.00357,0.02,0.002
3,0,1,1,1.1341,1.00291,0.02,0.002
3,0,1,0.75,1.1347,1.00288,0.02,0.002
3,0,10,1,1.13623,1.0028,0.02,0.002
3,0,10,0.75,1.1363,1.0028,0.02,0.002
3,0,100,1,1.13646,1.00279,0.02,0.002
3,0,100,0.75,1.13647,1.00279,0.02,0.002
3,0,1000,1,1.13649,1.00279,0.02,0.002
3,0,1000,0.75,1.13649,1.00279,0.02,0.002
4,0,0.1,1,1.11988,1.00452,0.0215875,0.00206868
4,0,0.1,0.75,1.12051,1.00435,0.0211906,0.00205151
4,0,1,1,1.12206,1.0039,0.0201473,0.00206308
4,0,1,0.75,1.12215,1.00388,0.0201105,0.00204731
4,0,10,1,1.12238,1.00384,0.0200131,0.00204275
4,0,10,0.75,1.12239,1.00383,0.0200098,0.00203206
4,0,100,1,1.12242,1.00383,0.0200012,0.00200998
4,0,100,0.75,1.12242,1.00383,0.0200009,0.00200749
4,0,1000,1,1.12242,1.00383,0.0200001,0.00200115
4,0,1000,0.75,1.12242,1.00383,0.0200001,0.00200086
5,0,0.1,1,1.12026,1.00452,0.0206384,0.00205899
5,0,0.1,0.75,1.1208,1.00435,0.020479,0.00204611
5,0,1,1,1.12228,1.00386,0.02,0.00203016
5,0,1,0.75,1.12231,1.00385,0.0200002,0.0020245
5,0,10,1,1.12241,1.00383,0.02,0.00201959
5,0,10,0.75,1.12241,1.00383,0.0200002,0.00201657
5,0,100,1,1.12242,1.00383,0.0200005,0.00201946
5,0,100,0.75,1.12242,1.00383,0.0200006,0.00201647
5,0,1000,1,1.12242,1.00383,0.0200009,0.00200894
5,0,1000,0.75,1.12242,1.00383,0.0200009,0.00200858
