"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.129490643475e-01 1.218987853685e-01 1.218987853685e-01 1.218987853685e-01 1.218987853685e-01 1.218987740705e-01 1.218987362142e-01
8.640000000000e+04 2.616522657054e+02 2.632955929673e+02 2.656248117010e+02 2.681971064614e+02 2.697812014800e+02 2.700896412834e+02 2.701452294203e+02 1.075713487300e-01 1.066941789144e-01 1.098284325188e-01 1.150423739266e-01 1.202513044464e-01 1.216129913623e-01 1.218758985176e-01
1.728000000000e+05 2.614598252149e+02 2.625698180065e+02 2.643135196138e+02 2.667331878160e+02 2.690299889627e+02 2.698367509561e+02 2.701006912379e+02 1.075214534748e-01 1.058966355466e-01 1.079406729606e-01 1.117627701482e-01 1.174804458594e-01 1.204851848394e-01 1.216647635888e-01
2.592000000000e+05 2.626653770374e+02 2.632568865643e+02 2.643283934152e+02 2.661318439400e+02 2.683983349337e+02 2.695120448087e+02 2.700144152024e+02 1.078548409269e-01 1.066498788739e-01 1.079601518770e-01 1.106675908998e-01 1.155837617432e-01 1.191799838790e-01 1.212661069425e-01
3.456000000000e+05 2.632555350173e+02 2.636988646564e+02 2.644959589071e+02 2.659057774392e+02 2.679492583182e+02 2.691884408588e+02 2.698946290132e+02 1.080383999076e-01 1.071685868998e-01 1.081823685619e-01 1.102847218217e-01 1.144107821061e-01 1.180114747175e-01 1.207339279803e-01
4.320000000000e+05 2.624198205072e+02 2.630589848354e+02 2.640403524910e+02 2.655322052661e+02 2.675642953460e+02 2.688814224525e+02 2.697519088489e+02 1.077826881166e-01 1.064265974677e-01 1.075897983877e-01 1.096825123396e-01 1.134982376073e-01 1.170042459006e-01 1.201297443787e-01
5.184000000000e+05 2.602878470044e+02 2.612959694680e+02 2.627463097593e+02 2.647208681473e+02 2.670895558571e+02 2.685586267761e+02 2.695898166881e+02 1.072407373928e-01 1.046448748106e-01 1.060843740374e-01 1.084889130090e-01 1.124717693964e-01 1.160350322970e-01 1.194794577878e-01
6.048000000000e+05 2.595690728189e+02 2.604801935584e+02 2.618913661878e+02 2.639637803101e+02 2.665680946368e+02 2.682095133808e+02 2.694082997874e+02 1.070857962159e-01 1.039256994485e-01 1.052086312363e-01 1.074937132421e-01 1.114501800600e-01 1.150749015332e-01 1.187921675226e-01
6.912000000000e+05 2.570008085651e+02 2.583077153995e+02 2.602102677156e+02 2.628205995673e+02 2.659135281814e+02 2.678065672108e+02 2.692025398935e+02 1.066147648789e-01 1.022555292039e-01 1.036999846000e-01 1.061645503149e-01 1.102976094851e-01 1.140632555945e-01 1.180599279076e-01
7.776000000000e+05 2.555213679736e+02 2.568244156513e+02 2.588089924447e+02 2.616649803989e+02 2.651696713229e+02 2.673433206663e+02 2.689670692103e+02 1.063889811437e-01 1.012771829041e-01 1.026133592285e-01 1.049901226804e-01 1.091311401409e-01 1.130078174105e-01 1.172762205331e-01
