name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.00375,0.0025,0.0175,0.0025,0.00374843,-0.00499686,0.00999686
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.00278819,0.000684333,0.00141953,0.00415686
N_P,2.05,0.5125,1.025,3.075,2.02347,0.51216,0.999153,3.04779
N_M,2.05,0.5125,1.025,3.075,2.05053,0.512307,1.02592,3.07515
WR_P,0.224324,0.0841216,0.056081,0.392567,0.239233,0.0840981,0.0710372,0.40743
WR_M,0.159488,0.059808,0.039872,0.279104,0.17365,0.0597989,0.0540522,0.293248
TCS_P,0.439577,0.164841,0.109894,0.769259,0.479781,0.164808,0.150166,0.809396
TCS_M,0.952105,0.357039,0.238026,1.66618,0.947455,0.357026,0.233402,1.66151
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.131202,0.0378835,0.0554352,0.206969
TCD_M,0.984405,0.369152,0.246101,1.72271,0.982292,0.369145,0.244002,1.72058
AF_P,1.50511,0.564418,0.376279,2.63395,1.50217,0.564388,0.373395,2.63095
AF_M,1.49939,0.562271,0.374847,2.62393,1.49951,0.56227,0.374974,2.62405
AUF_P,0.486935,0.182601,0.121734,0.852137,0.470365,0.182593,0.105179,0.835552
AUF_M,0.698884,0.262082,0.174721,1.22305,0.698779,0.262082,0.174616,1.22294
POR_P,0.637395,0.239023,0.159349,1.11544,0.659552,0.238901,0.18175,1.13735
POR_M,0.481031,0.180387,0.120258,0.841804,0.483662,0.180345,0.122971,0.844352
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,1.33666e-11,2.00497e-11,-2.67329e-11,5.34661e-11
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,2.5e-14,3.75e-14,-4.99999e-14,9.99999e-14
DEN_P,900,337.5,225,1575,900,337.5,225,1575
DEN_M,1900,475,950,2850,1900,474.997,950.006,2849.99
