name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.00375,0.0025,0.0175,0.01,0.00374999,0.00250002,0.0175
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.00182491,0.000684328,0.000456258,0.00319357
N_P,2.05,0.5125,1.025,3.075,2.05,0.512476,1.02505,3.07495
N_M,2.05,0.5125,1.025,3.075,2.05,0.512397,1.02521,3.07479
WR_P,0.224324,0.0841216,0.056081,0.392567,0.224324,0.0840957,0.0561328,0.392516
WR_M,0.159488,0.059808,0.039872,0.279104,0.159488,0.0597993,0.0398894,0.279087
TCS_P,0.439577,0.164841,0.109894,0.769259,0.439577,0.164809,0.10996,0.769194
TCS_M,0.952105,0.357039,0.238026,1.66618,0.952105,0.357027,0.23805,1.66616
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.101023,0.0378833,0.0252568,0.17679
TCD_M,0.984405,0.369152,0.246101,1.72271,0.984405,0.369148,0.24611,1.7227
AF_P,1.50511,0.564418,0.376279,2.63395,1.50511,0.564416,0.376282,2.63395
AF_M,1.49939,0.562271,0.374847,2.62393,1.49939,0.562269,0.374851,2.62393
AUF_P,0.486935,0.182601,0.121734,0.852137,0.486935,0.182592,0.121752,0.852119
AUF_M,0.698884,0.262082,0.174721,1.22305,0.698884,0.262082,0.174721,1.22305
POR_P,0.637395,0.239023,0.159349,1.11544,0.637395,0.238941,0.159513,1.11528
POR_M,0.481031,0.180387,0.120258,0.841804,0.481031,0.180349,0.120333,0.841728
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,1e-13,3.75e-14,2.50001e-14,1.75e-13
DEN_P,900,337.5,225,1575,900,337.499,225.002,1575
DEN_M,1900,475,950,2850,1900,474.998,950.005,2850
