# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.265049492517e-01 2.265049492517e-01 2.265049492517e-01 1.605198236208e-01 1.605198236208e-01 1.605198235811e-01 1.605198235177e-01
8.640000000000e+04 2.619251282818e+02 2.657565224916e+02 2.683640662469e+02 2.693257231136e+02 2.700167196609e+02 2.701333551054e+02 2.701473098658e+02 2.264986923434e-01 2.264998405541e-01 2.265017139921e-01 1.605129488206e-01 1.605184531739e-01 1.605196452302e-01 1.605197945555e-01
1.728000000000e+05 2.613475554761e+02 2.645503243604e+02 2.672942415615e+02 2.684932051678e+02 2.696942348629e+02 2.700452890226e+02 2.701215953880e+02 2.264985853293e-01 2.264993657572e-01 2.265007383891e-01 1.605084960199e-01 1.605155892505e-01 1.605187342090e-01 1.605195203730e-01
2.592000000000e+05 2.617818739992e+02 2.643279306430e+02 2.667772904683e+02 2.679484359241e+02 2.693644878591e+02 2.699130984200e+02 2.700710158844e+02 2.264986647592e-01 2.264992927336e-01 2.265003869533e-01 1.605063558027e-01 1.605131744427e-01 1.605174620416e-01 1.605189947612e-01
3.456000000000e+05 2.619002346369e+02 2.642081680541e+02 2.664581858353e+02 2.675728844300e+02 2.690680855479e+02 2.697581600245e+02 2.699988006065e+02 2.264986874982e-01 2.264992549523e-01 2.265001977677e-01 1.605051272341e-01 1.605113409230e-01 1.605161002280e-01 1.605182742805e-01
4.320000000000e+05 2.609104748462e+02 2.635792764724e+02 2.660023878264e+02 2.671804166723e+02 2.687860114220e+02 2.695911758059e+02 2.699097159727e+02 2.264985112344e-01 2.264990724617e-01 2.264999575394e-01 1.605040179423e-01 1.605098317134e-01 1.605147684786e-01 1.605174308271e-01
5.184000000000e+05 2.606253731571e+02 2.632043649167e+02 2.656307642679e+02 2.668298711694e+02 2.685172519938e+02 2.694179848733e+02 2.698080005241e+02 2.264984657644e-01 2.264989749248e-01 2.264997837484e-01 1.605031455635e-01 1.605085680010e-01 1.605135161601e-01 1.605165241131e-01
6.048000000000e+05 2.597840887867e+02 2.626048799373e+02 2.651897044765e+02 2.664578196855e+02 2.682501254573e+02 2.692399193365e+02 2.696964652151e+02 2.264983431948e-01 2.264988337354e-01 2.264995990539e-01 1.605023235867e-01 1.605074525510e-01 1.605123470482e-01 1.605155927564e-01
6.912000000000e+05 2.585872723385e+02 2.617725749347e+02 2.646347748882e+02 2.660239833034e+02 2.679684140430e+02 2.690544560431e+02 2.695761199784e+02 2.264981938623e-01 2.264986629933e-01 2.264993945123e-01 1.605014774016e-01 1.605064041648e-01 1.605112400573e-01 1.605146546266e-01
7.776000000000e+05 2.581874359691e+02 2.612870707478e+02 2.641906610146e+02 2.656264816396e+02 2.676833158658e+02 2.688618538988e+02 2.694475918218e+02 2.264981494418e-01 2.264985747413e-01 2.264992495163e-01 1.605007883054e-01 1.605054554432e-01 1.605101942593e-01 1.605137216989e-01
8.640000000000e+05 2.554115322683e+02 2.596610319695e+02 2.632913661491e+02 2.650094493243e+02 2.673479335244e+02 2.686534547986e+02 2.693091233174e+02 2.264978977025e-01 2.264983265827e-01 2.264989968807e-01 1.604998595779e-01 1.605044628203e-01 1.605091660374e-01 1.605127881886e-01
9.504000000000e+05 2.544049450013e+02 2.586594727278e+02 2.625229552118e+02 2.643918700386e+02 2.669764354025e+02 2.684251298160e+02 2.691584615138e+02 2.264978253527e-01 2.264982021525e-01 2.264988157100e-01 1.604990617914e-01 1.605034919686e-01 1.605081461423e-01 1.605118478396e-01
1.036800000000e+06 2.558036186901e+02 2.590161643451e+02 2.623402924768e+02 2.640570020582e+02 2.666432714122e+02 2.681894697922e+02 2.689974312720e+02 2.264979282310e-01 2.264982443876e-01 2.264987765292e-01 1.604986714527e-01 1.605027160080e-01 1.605071943218e-01 1.605109200551e-01
1.123200000000e+06 2.566851645693e+02 2.594493047816e+02 2.623553365149e+02 2.638993671427e+02 2.663754186896e+02 2.679622267073e+02 2.688313439220e+02 2.264980023506e-01 2.264982987184e-01 2.264987797047e-01 1.604984959386e-01 1.605021474900e-01 1.605063603807e-01 1.605100373662e-01
1.209600000000e+06 2.565670873008e+02 2.594279690420e+02 2.622637925399e+02 2.637487947459e+02 2.661500656601e+02 2.677498692277e+02 2.686653761744e+02 2.264979919515e-01 2.264982959596e-01 2.264987605211e-01 1.604983355939e-01 1.605017034768e-01 1.605056460554e-01 1.605092222150e-01
1.296000000000e+06 2.562006385652e+02 2.591895635357e+02 2.620732714620e+02 2.635612978904e+02 2.659417281042e+02 2.675508776281e+02 2.685022913488e+02 2.264979606286e-01 2.264982657217e-01 2.264987216399e-01 1.604981445229e-01 1.605013186225e-01 1.605050270726e-01 1.605084793187e-01
1.382400000000e+06 2.557055677582e+02 2.588331248144e+02 2.618114940052e+02 2.633330107572e+02 2.657345721942e+02 2.673605736019e+02 2.683426535740e+02 2.264979204639e-01 2.264982224438e-01 2.264986704039e-01 1.604979225700e-01 1.605009583335e-01 1.605044758994e-01 1.605078021386e-01
1.468800000000e+06 2.569136756903e+02 2.593169911845e+02 2.618827718190e+02 2.632610601148e+02 2.655625096443e+02 2.671825236470e+02 2.681877244455e+02 2.264980229183e-01 2.264982817505e-01 2.264986841125e-01 1.604978530236e-01 1.605006738979e-01 1.605039928368e-01 1.605071876181e-01
1.555200000000e+06 2.557338766110e+02 2.587841880709e+02 2.616211410221e+02 2.630692147987e+02 2.653894415463e+02 2.670130541614e+02 2.680375530754e+02 2.264979226971e-01 2.264982166745e-01 2.264986346472e-01 1.604976775295e-01 1.605004013041e-01 1.605035597370e-01 1.605066283926e-01
1.641600000000e+06 2.565842770214e+02 2.590589336672e+02 2.616190902247e+02 2.629781489998e+02 2.652362813374e+02 2.668530607358e+02 2.678924577140e+02 2.264979934559e-01 2.264982495995e-01 2.264986342685e-01 1.604975954491e-01 1.605001700525e-01 1.605031727812e-01 1.605061191648e-01
1.728000000000e+06 2.578126553550e+02 2.597148710679e+02 2.618453414507e+02 2.630300141522e+02 2.651293635376e+02 2.667091050740e+02 2.677544210370e+02 2.264981099674e-01 2.264983338122e-01 2.264986768915e-01 1.604976396481e-01 1.605000133987e-01 1.605028414555e-01 1.605056607621e-01
1.814400000000e+06 2.590253960804e+02 2.604749121942e+02 2.621933061786e+02 2.631891534799e+02 2.650774811325e+02 2.665880814829e+02 2.676266175415e+02 2.264982455098e-01 2.264984426149e-01 2.264987459746e-01 1.604977819323e-01 1.604999381359e-01 1.605025744410e-01 1.605052572780e-01
1.900800000000e+06 2.591533559471e+02 2.607263657985e+02 2.623813992355e+02 2.633084692606e+02 2.650533697067e+02 2.664893346037e+02 2.675109953150e+02 2.264982612220e-01 2.264984816262e-01 2.264987852275e-01 1.604978922906e-01 1.604999030453e-01 1.605023639460e-01 1.605049084019e-01
1.987200000000e+06 2.607094308871e+02 2.615988421007e+02 2.628014088899e+02 2.635409420065e+02 2.650718082511e+02 2.664147332074e+02 2.674092682479e+02 2.264984789480e-01 2.264986305376e-01 2.264988781717e-01 1.604981154594e-01 1.604999279242e-01 1.605022091178e-01 1.605046133653e-01
2.073600000000e+06 2.631940125682e+02 2.631009383273e+02 2.635569238737e+02 2.639785752200e+02 2.651652731523e+02 2.663726027463e+02 2.673247440407e+02 2.264989723385e-01 2.264989493313e-01 2.264990664270e-01 1.604985678666e-01 1.605000601856e-01 1.605021232245e-01 1.605043762568e-01
2.160000000000e+06 2.627515965256e+02 2.632797794603e+02 2.638697894406e+02 2.642638323512e+02 2.652771997055e+02 2.663581493984e+02 2.672584801878e+02 2.264988667457e-01 2.264989939337e-01 2.264991536082e-01 1.604988884228e-01 1.605002235743e-01 1.605020940096e-01 1.605041952502e-01
2.246400000000e+06 2.647148997288e+02 2.643903779443e+02 2.644730010956e+02 2.646620857624e+02 2.654248596711e+02 2.663702435618e+02 2.672108457790e+02 2.264994223409e-01 2.264993128542e-01 2.264993399323e-01 1.604993725567e-01 1.605004469355e-01 1.605021184471e-01 1.605040676904e-01
2.332800000000e+06 2.626781761786e+02 2.636652161192e+02 2.643815265544e+02 2.647491143049e+02 2.655317755490e+02 2.663935117355e+02 2.671782652277e+02 2.264988501079e-01 2.264990959352e-01 2.264993099844e-01 1.604994854654e-01 1.605006145950e-01 1.605021657153e-01 1.605039816450e-01
2.419200000000e+06 2.600838868297e+02 2.622107127161e+02 2.637935049260e+02 2.645028398200e+02 2.655384846772e+02 2.664040249519e+02 2.671523209719e+02 2.264983850132e-01 2.264987495489e-01 2.264991317995e-01 1.604991758982e-01 1.605006257153e-01 1.605021871821e-01 1.605039138117e-01
2.505600000000e+06 2.598509639762e+02 2.617398564533e+02 2.634449568970e+02 2.642691916436e+02 2.654835954016e+02 2.663922889283e+02 2.671252042228e+02 2.264983523552e-01 2.264986568034e-01 2.264990366279e-01 1.604988976128e-01 1.605005392979e-01 1.605021632229e-01 1.605038435532e-01
