name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.00375,0.0025,0.0175,0.0025,0.00374688,-0.00499375,0.00999375
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.0031936,0.000684336,0.00182493,0.00456227
N_P,2.05,0.5125,1.025,3.075,1.75614,0.511603,0.732934,2.77935
N_M,2.05,0.5125,1.025,3.075,2.02951,0.512362,1.00479,3.05424
WR_P,0.224324,0.0841216,0.056081,0.392567,0.164683,0.0840843,-0.00348554,0.332852
WR_M,0.159488,0.059808,0.039872,0.279104,0.166071,0.0597987,0.0464741,0.285669
TCS_P,0.439577,0.164841,0.109894,0.769259,0.671615,0.164811,0.341992,1.00124
TCS_M,0.952105,0.357039,0.238026,1.66618,0.911769,0.357029,0.197712,1.62583
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.176791,0.0378837,0.101024,0.252558
TCD_M,0.984405,0.369152,0.246101,1.72271,0.94851,0.36914,0.210231,1.68679
AF_P,1.50511,0.564418,0.376279,2.63395,1.50054,0.564347,0.371844,2.62923
AF_M,1.49939,0.562271,0.374847,2.62393,1.49929,0.562267,0.374758,2.62382
AUF_P,0.486935,0.182601,0.121734,0.852137,0.389845,0.182594,0.0246579,0.755032
AUF_M,0.698884,0.262082,0.174721,1.22305,0.69973,0.262082,0.175567,1.22389
POR_P,0.637395,0.239023,0.159349,1.11544,0.800683,0.238884,0.322915,1.27845
POR_M,0.481031,0.180387,0.120258,0.841804,0.506646,0.180344,0.145958,0.867333
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,1.33666e-11,2.00491e-11,-2.67317e-11,5.34649e-11
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,6.43967e-14,3.74995e-14,-1.06023e-14,1.39396e-13
DEN_P,900,337.5,225,1575,900,337.5,225,1575
DEN_M,1900,475,950,2850,1900,474.997,950.005,2849.99
