name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.0025,0.005,0.015,0.00799684,0.0025,0.00299684,0.0129968
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.0031936,0.000684343,0.00182492,0.00456229
N_P,1.5,0.25625,0.9875,2.0125,1.49948,0.256227,0.987029,2.01194
N_M,2.05,0.5125,1.025,3.075,2.05001,0.512496,1.02501,3.075
WR_P,0.1,0.044,0.012,0.188,0.108514,0.043996,0.0205223,0.196506
WR_M,0.159488,0.059808,0.039872,0.279104,0.161773,0.0598006,0.0421721,0.281374
TCS_P,0.439577,0.164841,0.109894,0.769259,0.440198,0.164838,0.110522,0.769874
TCS_M,0.952105,0.357039,0.238026,1.66618,0.952006,0.35703,0.237946,1.66607
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.101046,0.0378838,0.0252784,0.176813
TCD_M,0.984405,0.369152,0.246101,1.72271,0.984468,0.36915,0.246167,1.72277
AF_P,1.50511,0.564418,0.376279,2.63395,1.50503,0.564415,0.376201,2.63386
AF_M,1.49939,0.562271,0.374847,2.62393,1.49938,0.56227,0.374835,2.62392
AUF_P,0.486935,0.182601,0.121734,0.852137,0.486902,0.182601,0.1217,0.852103
AUF_M,0.698884,0.262082,0.174721,1.22305,0.698882,0.262081,0.174719,1.22305
POR_P,0.63739,0.17275,0.29189,0.98289,0.639388,0.172741,0.293905,0.98487
POR_M,0.481031,0.180387,0.120258,0.841804,0.481524,0.18036,0.120804,0.842245
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,2.99878e-11,2.00498e-11,-1.01119e-11,7.00875e-11
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,1.75e-13,3.75e-14,1e-13,2.5e-13
DEN_P,900,337.5,225,1575,900,337.5,225,1575
DEN_M,1900,475,950,2850,1900,474.999,950.003,2850
ALBEDO_BG,0.55,0.20625,0.1375,0.9625,0.55,0.20625,0.1375,0.9625
E_BG,0.75,0.115625,0.51875,0.98125,0.75,0.115625,0.51875,0.98125
PEN_W,0.01,0.00375,0.0025,0.0175,0.01,0.00375,0.0025,0.0175
PEN_S,0.02,0.0075,0.005,0.035,0.02,0.0075,0.005,0.035
Z_BG,0.04,0.015,0.01,0.07,0.04,0.015,0.01,0.07
Z_S,0.005,0.001875,0.00125,0.00875,0.00749458,0.001875,0.00374458,0.0112446
