iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
0,0,0.1,1,0.00882148,0.00234071,1.49967,2.05,0.10427,0.160644,0.439935,0.952038,0.101072,0.98444,1.50506,1.49938,0.486876,0.698882,0.638442,0.48125,3.72288e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00709414
0,0,0.1,0.75,0.00911611,0.00221176,1.49975,2.05,0.103203,0.160355,0.439846,0.952054,0.101059,0.984431,1.50507,1.49939,0.486891,0.698883,0.638179,0.481195,4.12881e-11,1.5625e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.0065706
0,0,1,1,0.00981966,0.00209907,1.49997,2.05,0.100518,0.159615,0.439601,0.9521,0.101027,0.984407,1.50511,1.49939,0.486932,0.698884,0.637497,0.481062,4.42156e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00525336
0,0,1,0.75,0.00986475,0.00203053,1.49998,2.05,0.100389,0.159583,0.439595,0.952101,0.101026,0.984407,1.50511,1.49939,0.486933,0.698884,0.63747,0.481054,4.65283e-11,1.5625e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00519002
0,0,10,1,0.00998473,0.00190488,1.5,2.05,0.100053,0.159501,0.439579,0.952104,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637401,0.481034,4.93959e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00502761
0,0,10,0.75,0.00998854,0.00188489,1.5,2.05,0.10004,0.159498,0.439578,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637398,0.481033,5.04135e-11,1.5625e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00502071
0,0,100,1,0.00999865,0.001835,1.5,2.05,0.100005,0.159489,0.439577,0.952105,0.101023,0.984405,1.50511,1.49939,0.486935,0.698884,0.637391,0.481031,5.13176e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00500284
0,0,100,0.75,0.00999898,0.00183248,1.5,2.05,0.100004,0.159489,0.439577,0.952105,0.101023,0.984405,1.50511,1.49939,0.486935,0.698884,0.637391,0.481031,5.18547e-11,1.5625e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00500213
0,0,1000,1,0.00999278,0.00184679,1.5,2.05,0.100019,0.159493,0.439577,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637394,0.481032,5.3471e-11,9.99913e-14,900,1900,0.55,0.75,0.01,0.02,0.04,0.00500964
0,0,1000,0.75,0.00999458,0.00184132,1.5,2.05,0.100014,0.159492,0.439577,0.952105,0.101023,0.984405,1.50511,1.49939,0.486935,0.698884,0.637393,0.481032,5.34698e-11,9.99935e-14,900,1900,0.55,0.75,0.01,0.02,0.04,0.00500723
1,0,0.1,1,0.00799684,0.0031936,1.49948,2.05001,0.108514,0.161773,0.440198,0.952006,0.101046,0.984468,1.50503,1.49938,0.486902,0.698882,0.639388,0.481524,2.99878e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00749458
