name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.0025,0.005,0.015,0.01,0.00249993,0.00500014,0.0149999
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.00182491,0.000683968,0.000456978,0.00319285
N_P,1.5,0.25625,0.9875,2.0125,1.5,0.256082,0.987836,2.01216
N_M,2.05,0.5125,1.025,3.075,2.05,0.511503,1.02699,3.07301
WR_P,0.1,0.044,0.012,0.188,0.1,0.043988,0.0120239,0.187976
WR_M,0.159488,0.059808,0.039872,0.279104,0.159488,0.0597801,0.0399279,0.279048
TCS_P,0.439577,0.164841,0.109894,0.769259,0.439577,0.164634,0.110309,0.768844
TCS_M,0.952105,0.357039,0.238026,1.66618,0.952105,0.35701,0.238085,1.66612
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.101023,0.0378826,0.0252582,0.176789
TCD_M,0.984405,0.369152,0.246101,1.72271,0.984405,0.369144,0.246118,1.72269
AF_P,1.50511,0.564418,0.376279,2.63395,1.50511,0.564253,0.376608,2.63362
AF_M,1.49939,0.562271,0.374847,2.62393,1.49939,0.562269,0.374851,2.62393
AUF_P,0.486935,0.182601,0.121734,0.852137,0.486935,0.182582,0.121772,0.852099
AUF_M,0.698884,0.262082,0.174721,1.22305,0.698884,0.262081,0.174722,1.22305
POR_P,0.63739,0.17275,0.29189,0.98289,0.63739,0.172594,0.292202,0.982578
POR_M,0.481031,0.180387,0.120258,0.841804,0.481031,0.180173,0.120685,0.841376
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,5.34662e-11,2.0049e-11,1.33683e-11,9.35641e-11
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,1e-13,3.7499e-14,2.50021e-14,1.74998e-13
DEN_P,900,337.5,225,1575,900,337.49,225.019,1574.98
DEN_M,1900,475,950,2850,1900,474.995,950.01,2849.99
ALBEDO_BG,0.55,0.20625,0.1375,0.9625,0.55,0.206084,0.137833,0.962167
E_BG,0.75,0.115625,0.51875,0.98125,0.75,0.115559,0.518881,0.981119
PEN_W,0.01,0.00375,0.0025,0.0175,0.01,0.00375,0.0025,0.0175
PEN_S,0.02,0.0075,0.005,0.035,0.02,0.0074998,0.00500041,0.0349996
Z_BG,0.04,0.015,0.01,0.07,0.04,0.0149986,0.0100028,0.0699972
Z_S,0.005,0.001875,0.00125,0.00875,0.005,0.00187494,0.00125011,0.00874989
