iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
0,0,0.1,1,0.00494119,0.00199227,1.50227,2.05552,0.117054,0.159901,0.449234,0.949849,0.104198,0.984608,1.50402,1.49935,0.486643,0.698884,0.601537,0.466104,3.28555e-11,1.75e-13,900,1900,0.556672,0.765968,0.0102329,0.0251672,0.0427922,0.00383794
0,0,0.1,0.75,0.00620589,0.00195043,1.5017,2.05414,0.11279,0.159798,0.44682,0.950413,0.103405,0.984557,1.50429,1.49936,0.486716,0.698884,0.6105,0.469836,3.80082e-11,1.5625e-13,900,1900,0.555004,0.761976,0.0101747,0.0238754,0.0420942,0.00412845
0,0,1,1,0.00723688,0.00195345,1.50022,2.05049,0.101796,0.159589,0.441408,0.95192,0.101267,0.984418,1.50493,1.49939,0.486747,0.698884,0.633139,0.479188,3.03897e-11,1.75e-13,900,1900,0.550882,0.752006,0.0100261,0.0206253,0.0408151,0.0050201
0,0,1,0.75,0.00792766,0.00192131,1.50017,2.05036,0.101347,0.159564,0.44095,0.951966,0.101206,0.984415,1.50497,1.49939,0.486794,0.698884,0.634202,0.479649,3.61589e-11,1.5625e-13,900,1900,0.550661,0.751505,0.0100196,0.020469,0.0406113,0.00501508
0,0,10,1,0.00898896,0.00193655,1.49999,2.05005,0.100065,0.159507,0.439789,0.95209,0.101034,0.984406,1.50509,1.49939,0.486911,0.698884,0.63694,0.480826,2.62916e-11,1.75e-13,900,1900,0.550134,0.750269,0.0100025,0.0200509,0.0402034,0.00497452
0,0,10,0.75,0.00924172,0.00190864,1.49999,2.05004,0.100049,0.159502,0.439736,0.952094,0.101031,0.984406,1.50509,1.49939,0.486917,0.698884,0.637053,0.480877,3.30852e-11,1.5625e-13,900,1900,0.5501,0.750202,0.0100019,0.0200382,0.0401525,0.00498089
0,0,100,1,0.00985661,0.00191974,1.5,2.05,0.0999998,0.159491,0.439599,0.952104,0.101024,0.984406,1.50511,1.49939,0.486933,0.698884,0.637344,0.481009,2.39684e-11,1.75e-13,900,1900,0.550016,0.750031,0.0100003,0.0200031,0.0400261,0.00498869
0,0,100,0.75,0.00989246,0.00189604,1.5,2.05,0.0999998,0.15949,0.439593,0.952104,0.101024,0.984405,1.50511,1.49939,0.486933,0.698884,0.637355,0.481015,3.13429e-11,1.5625e-13,900,1900,0.550012,0.750023,0.0100002,0.0200023,0.0400196,0.00499152
0,0,1000,1,0.00997474,0.0019275,1.5,2.05,0.100001,0.159489,0.439582,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637381,0.481027,5.62577e-11,1.02058e-13,900,1900,0.550003,0.750006,0.01,0.0200014,0.0400042,0.00500304
0,0,1000,0.75,0.00998105,0.00190185,1.5,2.05,0.100001,0.159489,0.439581,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637383,0.481028,5.55598e-11,1.01544e-13,900,1900,0.550002,0.750004,0.01,0.0200011,0.0400032,0.00500228
1,0,0.1,1,0.00326114,0.00217399,1.50076,2.05874,0.132529,0.154936,0.46504,0.945019,0.116344,0.984341,1.50079,1.4998,0.482637,0.699147,0.557158,0.443581,3.32793e-11,1.75e-13,900,1900,0.565302,0.788971,0.0102104,0.0225869,0.0452438,0.00257016
1,0,0.1,0.75,0.00368115,0.00212856,1.50114,2.05793,0.12866,0.156177,0.461089,0.946227,0.113308,0.984408,1.5016,1.49969,0.483639,0.699082,0.568252,0.449212,3.31734e-11,1.75e-13,900,1900,0.563144,0.78322,0.010216,0.023232,0.0446309,0.0028871
1,0,1,1,0.00327787,0.0021304,1.50213,2.05586,0.119429,0.159321,0.452291,0.949377,0.105835,0.984592,1.50354,1.49942,0.485951,0.698911,0.595045,0.462585,4.04694e-11,1.75e-13,900,1900,0.558123,0.769343,0.0102293,0.0246765,0.0431902,0.00281664
