# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.630442289710e-01 1.630442289710e-01 1.630442289710e-01 1.735208440017e-01 1.735208440017e-01 1.735208439553e-01 1.735208438812e-01
8.640000000000e+04 2.693491735461e+02 2.696844031661e+02 2.698973663096e+02 2.700263359908e+02 2.701312096101e+02 2.701478341079e+02 2.701496771589e+02 1.622940135019e-01 1.625765801923e-01 1.627781260508e-01 1.735193514567e-01 1.735206087491e-01 1.735208166744e-01 1.735208398122e-01
1.728000000000e+05 2.685641692158e+02 2.690986721450e+02 2.694851081165e+02 2.697594538895e+02 2.700522214969e+02 2.701294561772e+02 2.701448170604e+02 1.617570454667e-01 1.621059571612e-01 1.624039586417e-01 1.735165151164e-01 1.735196526731e-01 1.735205868106e-01 1.735207786658e-01
2.592000000000e+05 2.677709483822e+02 2.684692806809e+02 2.690094966483e+02 2.694238002257e+02 2.699260513385e+02 2.700909101387e+02 2.701321738356e+02 1.613376917532e-01 1.617013773690e-01 1.620431273584e-01 1.735135405446e-01 1.735182265825e-01 1.735201139196e-01 1.735206205468e-01
3.456000000000e+05 2.668924619341e+02 2.677667358524e+02 2.684657784597e+02 2.690248685587e+02 2.697550329976e+02 2.700289895071e+02 2.701086930401e+02 1.609689913815e-01 1.613357131534e-01 1.616993548424e-01 1.735106500277e-01 1.735164683709e-01 1.735193794104e-01 1.735203304785e-01
4.320000000000e+05 2.653069142541e+02 2.666092408836e+02 2.676315366312e+02 2.684445582728e+02 2.695146575912e+02 2.699368241845e+02 2.700707227746e+02 1.604666427279e-01 1.608661311026e-01 1.612734078679e-01 1.735073453252e-01 1.735142857718e-01 1.735183400354e-01 1.735198710434e-01
5.184000000000e+05 2.645131424948e+02 2.658235069173e+02 2.669376321160e+02 2.678830904395e+02 2.692296331293e+02 2.698135830108e+02 2.700155711648e+02 1.602684762166e-01 1.606124214360e-01 1.609860375192e-01 1.735048499304e-01 1.735120531290e-01 1.735170424374e-01 1.735192241049e-01
6.048000000000e+05 2.636495604393e+02 2.650568615295e+02 2.662717964073e+02 2.673304287191e+02 2.689168638995e+02 2.696624577925e+02 2.699422124375e+02 1.600815395814e-01 1.604011058056e-01 1.607518984258e-01 1.735028735383e-01 1.735099568394e-01 1.735155798948e-01 1.735183990403e-01
6.912000000000e+05 2.618903540867e+02 2.637461373520e+02 2.652883632024e+02 2.666021755415e+02 2.685464106144e+02 2.694801344309e+02 2.698491391474e+02 1.597691615900e-01 1.601011680163e-01 1.604616743963e-01 1.735007964924e-01 1.735078523556e-01 1.735139801324e-01 1.735174065082e-01
7.776000000000e+05 2.598097248584e+02 2.621145689120e+02 2.640386230573e+02 2.656772170370e+02 2.680911590681e+02 2.692581458669e+02 2.697331471606e+02 1.594823129454e-01 1.598048030677e-01 1.601624908665e-01 1.734987562614e-01 1.735056995006e-01 1.735122402023e-01 1.735162473677e-01
