# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.687110580348e+02 2.698398612108e+02 2.701195629042e+02 2.701365724535e+02 2.701474242781e+02 2.701496491313e+02 2.701499406617e+02 1.026072488496e-01 1.030190301112e-01 1.031552306746e-01 1.600352044047e-01 1.600353379425e-01 1.600353654017e-01 1.600353689362e-01
1.728000000000e+05 2.672492794624e+02 2.692501477872e+02 2.700301212704e+02 2.700855024396e+02 2.701308659337e+02 2.701454760299e+02 2.701487494446e+02 1.022616288212e-01 1.027815197940e-01 1.031096894747e-01 1.600345891606e-01 1.600351345725e-01 1.600353138442e-01 1.600353542011e-01
2.592000000000e+05 2.659753805233e+02 2.685995042802e+02 2.699083810861e+02 2.700081861071e+02 2.700998919046e+02 2.701355567979e+02 2.701453260317e+02 1.020513029336e-01 1.025751134814e-01 1.030507587475e-01 1.600336970377e-01 1.600347603056e-01 1.600351918821e-01 1.600353119210e-01
3.456000000000e+05 2.648030785891e+02 2.679384267570e+02 2.697644953541e+02 2.699101681851e+02 2.700546626328e+02 2.701184728709e+02 2.701385751331e+02 1.019020682543e-01 1.024063763354e-01 1.029852502286e-01 1.600326289809e-01 1.600342276881e-01 1.600349837440e-01 1.600352288343e-01
4.320000000000e+05 2.626935218552e+02 2.670245604491e+02 2.695739158608e+02 2.697802429152e+02 2.699920712093e+02 2.700926080259e+02 2.701273807738e+02 1.016999175379e-01 1.022198021786e-01 1.029046480978e-01 1.600313117476e-01 1.600335165669e-01 1.600346731626e-01 1.600350918982e-01
5.184000000000e+05 2.618084055770e+02 2.662918987868e+02 2.693777934870e+02 2.696360661870e+02 2.699148027571e+02 2.700573860177e+02 2.701108737979e+02 1.016324806353e-01 1.020980343522e-01 1.028281663217e-01 1.600299666654e-01 1.600326776969e-01 1.600342587833e-01 1.600348918614e-01
6.048000000000e+05 2.609783948086e+02 2.656666396394e+02 2.691844260820e+02 2.694863880224e+02 2.698268252331e+02 2.700133182688e+02 2.700886288942e+02 1.015760753868e-01 1.020086110805e-01 1.027583861826e-01 1.600286846845e-01 1.600317712531e-01 1.600337537658e-01 1.600346257879e-01
6.912000000000e+05 2.589210946475e+02 2.647722773606e+02 2.689544915294e+02 2.693141575920e+02 2.697256916763e+02 2.699602012514e+02 2.700603008796e+02 1.014583156253e-01 1.018985759214e-01 1.026817759942e-01 1.600273365950e-01 1.600307882982e-01 1.600331640478e-01 1.600342926379e-01
7.776000000000e+05 2.563138084817e+02 2.635881969873e+02 2.686690855585e+02 2.691053727300e+02 2.696059256045e+02 2.698965621343e+02 2.700252360312e+02 1.013415355177e-01 1.017774246875e-01 1.025950169839e-01 1.600258603582e-01 1.600296987356e-01 1.600324834909e-01 1.600338888335e-01
