# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.687224215021e+02 2.698189780430e+02 2.701095620514e+02 2.701340282222e+02 2.701476743513e+02 2.701497267352e+02 2.701499574396e+02 1.026105903578e-01 1.030095552623e-01 1.031500388922e-01 1.600351732589e-01 1.600353410322e-01 1.600353663619e-01 1.600353691438e-01
1.728000000000e+05 2.672752020040e+02 2.692047407983e+02 2.699929322122e+02 2.700725514771e+02 2.701314354111e+02 2.701460645981e+02 2.701489747478e+02 1.022666077003e-01 1.027654750465e-01 1.030913261233e-01 1.600344367164e-01 1.600351415394e-01 1.600353211069e-01 1.600353569871e-01
2.592000000000e+05 2.660078430778e+02 2.685326414623e+02 2.698360223696e+02 2.699793382850e+02 2.701000962764e+02 2.701369708072e+02 2.701460141188e+02 1.020559521695e-01 1.025564132814e-01 1.030172816821e-01 1.600333763798e-01 1.600347628120e-01 1.600352092177e-01 1.600353204112e-01
3.456000000000e+05 2.648339448830e+02 2.678511497628e+02 2.696522313214e+02 2.698612254789e+02 2.700533928404e+02 2.701208243936e+02 2.701399739294e+02 1.019055874522e-01 1.023864935904e-01 1.029369719081e-01 1.600321216633e-01 1.600342131534e-01 1.600350122504e-01 1.600352460187e-01
4.320000000000e+05 2.627148466579e+02 2.668992511299e+02 2.694087421544e+02 2.697048251259e+02 2.699881674488e+02 2.700959022270e+02 2.701297120262e+02 1.017016477740e-01 1.021974654486e-01 1.028398343508e-01 1.600305965248e-01 1.600334735993e-01 1.600347124193e-01 1.600351203297e-01
5.184000000000e+05 2.618339567717e+02 2.661473986407e+02 2.691612289577e+02 2.695315530861e+02 2.699066751388e+02 2.700613751381e+02 2.701142713573e+02 1.016343153210e-01 1.020763065297e-01 1.027503578440e-01 1.600290641868e-01 1.600325926240e-01 1.600343052280e-01 1.600349328518e-01
6.048000000000e+05 2.610004978954e+02 2.655063926637e+02 2.689199490880e+02 2.693523725192e+02 2.698129098553e+02 2.700174894381e+02 2.700930846887e+02 1.015775017657e-01 1.019874810546e-01 1.026708102567e-01 1.600276296123e-01 1.600316335794e-01 1.600338009435e-01 1.600346787662e-01
6.912000000000e+05 2.589241290900e+02 2.645717328748e+02 2.686316459855e+02 2.691466658332e+02 2.697048539148e+02 2.699640366181e+02 2.700657164712e+02 1.014584701420e-01 1.018763004664e-01 1.025842503380e-01 1.600261452099e-01 1.600305948125e-01 1.600332059538e-01 1.600343558426e-01
7.776000000000e+05 2.562970665566e+02 2.633312049120e+02 2.682720156713e+02 2.688972075941e+02 2.695770334565e+02 2.698996660570e+02 2.700315072704e+02 1.013408752839e-01 1.017540764065e-01 1.024872316469e-01 1.600245428498e-01 1.600294493628e-01 1.600325160506e-01 1.600339603691e-01
