# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.595077489010e-01 1.595077489010e-01 1.595077488756e-01 1.595077488351e-01
8.640000000000e+04 2.692767674192e+02 2.696497118880e+02 2.698857381476e+02 2.700197500300e+02 2.701296858606e+02 2.701475908565e+02 2.701496145718e+02 1.027910569181e-01 1.029359151759e-01 1.030401632789e-01 1.595068914568e-01 1.595076099814e-01 1.595077322931e-01 1.595077461803e-01
1.728000000000e+05 2.684271591078e+02 2.690250143476e+02 2.694558010207e+02 2.697410331692e+02 2.700470958004e+02 2.701280343003e+02 2.701441650259e+02 1.025277238700e-01 1.027045903308e-01 1.028578564251e-01 1.595052839702e-01 1.595070648513e-01 1.595075986852e-01 1.595077087190e-01
2.592000000000e+05 2.675777097636e+02 2.683596667873e+02 2.689627935909e+02 2.693931658392e+02 2.699172434635e+02 2.700877685539e+02 2.701303234283e+02 1.023272567862e-01 1.025098666509e-01 1.026844317563e-01 1.595036202474e-01 1.595062661984e-01 1.595073291020e-01 1.595076141923e-01
3.456000000000e+05 2.666482823468e+02 2.676251370960e+02 2.684042980862e+02 2.689836029052e+02 2.697434364050e+02 2.700239707283e+02 2.701050685557e+02 1.021546894553e-01 1.023372148555e-01 1.025216325924e-01 1.595020249673e-01 1.595052953347e-01 1.595069165386e-01 1.595074439918e-01
4.320000000000e+05 2.649889241107e+02 2.664305360672e+02 2.675597531831e+02 2.683953388020e+02 2.695016694637e+02 2.699300550639e+02 2.700647944881e+02 1.019235586744e-01 1.021195369214e-01 1.023235196799e-01 1.595002264792e-01 1.595041031459e-01 1.595063396850e-01 1.595071784802e-01
5.184000000000e+05 2.641771907070e+02 2.656289192963e+02 2.668606666018e+02 2.678309916718e+02 2.692185620611e+02 2.698059094361e+02 2.700070595935e+02 1.018346819912e-01 1.020035764904e-01 1.021907225860e-01 1.594988787484e-01 1.595028973637e-01 1.595056280803e-01 1.595068100183e-01
6.048000000000e+05 2.632997011620e+02 2.648553289327e+02 2.661962951821e+02 2.672808244935e+02 2.689112912208e+02 2.696552576073e+02 2.699312026193e+02 1.017512774557e-01 1.019080370735e-01 1.020835829138e-01 1.594978187038e-01 1.595017742868e-01 1.595048340727e-01 1.595063464877e-01
6.912000000000e+05 2.614715946108e+02 2.635179188383e+02 2.652141512215e+02 2.665561001868e+02 2.685485628361e+02 2.694748340148e+02 2.698359128839e+02 1.016088642489e-01 1.017709467551e-01 1.019506102567e-01 1.594967008744e-01 1.595006461470e-01 1.595039708608e-01 1.595057950158e-01
7.776000000000e+05 2.592867000145e+02 2.618356297501e+02 2.639552827693e+02 2.656301467591e+02 2.681022002469e+02 2.692558415004e+02 2.697179297696e+02 1.014772988377e-01 1.016344356657e-01 1.018124629743e-01 1.594955928749e-01 1.594994856457e-01 1.595030331388e-01 1.595051556708e-01
