# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.028363995346e-01 1.028363995346e-01 1.028363995346e-01 1.595234513451e-01 1.595234513451e-01 1.595234512995e-01 1.595234512266e-01
8.640000000000e+04 2.692455423714e+02 2.696382343282e+02 2.698893393826e+02 2.700247426632e+02 2.701304268861e+02 2.701475881480e+02 2.701496143374e+02 1.024863999996e-01 1.026216694287e-01 1.027207053505e-01 1.595219667044e-01 1.595232106718e-01 1.595234214585e-01 1.595234464517e-01
1.728000000000e+05 2.683827579693e+02 2.690125970521e+02 2.694718423054e+02 2.697582732207e+02 2.700504125356e+02 2.701280452422e+02 2.701441695034e+02 1.022503192754e-01 1.024154283686e-01 1.025617098457e-01 1.595191852107e-01 1.595222599227e-01 1.595231814614e-01 1.595233791721e-01
2.592000000000e+05 2.675317410085e+02 2.683550796486e+02 2.689975309272e+02 2.694273187545e+02 2.699245461926e+02 2.700879064043e+02 2.701303658917e+02 1.020730368544e-01 1.022438197047e-01 1.024110449875e-01 1.595162982926e-01 1.595208632427e-01 1.595226983814e-01 1.595232097212e-01
3.456000000000e+05 2.666067739415e+02 2.676345184723e+02 2.684631923377e+02 2.690390127153e+02 2.697561793376e+02 2.700244757472e+02 2.701052329879e+02 1.019210982252e-01 1.020922439352e-01 1.022695331970e-01 1.595135161146e-01 1.595191616397e-01 1.595219608991e-01 1.595229052375e-01
4.320000000000e+05 2.649387590802e+02 2.664541944469e+02 2.676530620332e+02 2.684815581520e+02 2.695223356189e+02 2.699313173117e+02 2.700652360173e+02 1.017152303403e-01 1.018991130769e-01 1.020957666540e-01 1.595103516702e-01 1.595170677894e-01 1.595209317653e-01 1.595224311610e-01
5.184000000000e+05 2.641516957317e+02 2.656800619938e+02 2.669887224254e+02 2.679476239773e+02 2.692483088177e+02 2.698083907298e+02 2.700079972343e+02 1.016386688047e-01 1.017981669720e-01 1.019796753727e-01 1.595079627713e-01 1.595149402490e-01 1.595196637227e-01 1.595217742344e-01
6.048000000000e+05 2.632943170241e+02 2.649334855174e+02 2.663579344480e+02 2.674269650552e+02 2.689505967656e+02 2.696594254715e+02 2.699328972093e+02 1.015659635290e-01 1.017146809408e-01 1.018856262368e-01 1.595060699228e-01 1.595129494551e-01 1.595182496483e-01 1.595209486417e-01
6.912000000000e+05 2.614643196723e+02 2.636185913989e+02 2.654182461273e+02 2.667401134530e+02 2.685992996385e+02 2.694811881400e+02 2.698386612307e+02 1.014385658295e-01 1.015923027059e-01 1.017675130764e-01 1.595040584284e-01 1.595109433735e-01 1.595167122019e-01 1.595199669539e-01
7.776000000000e+05 2.592798141504e+02 2.619636625814e+02 2.642125562235e+02 2.658618787202e+02 2.681670883524e+02 2.692649376247e+02 2.697220673621e+02 1.013210102294e-01 1.014701931508e-01 1.016442250415e-01 1.595020506598e-01 1.595088725033e-01 1.595150407685e-01 1.595188288731e-01
8.640000000000e+05 2.573123849016e+02 2.603434103059e+02 2.629448971398e+02 2.648877636777e+02 2.676577644330e+02 2.690047965260e+02 2.695793778835e+02 1.012368225208e-01 1.013744631154e-01 1.015390034305e-01 1.595003307816e-01 1.595068589297e-01 1.595132666309e-01 1.595175396530e-01
9.504000000000e+05 2.572177163733e+02 2.598215716034e+02 2.622494870106e+02 2.641776651274e+02 2.671539048251e+02 2.687134139694e+02 2.694112952175e+02 1.012331728628e-01 1.013474326299e-01 1.014892710472e-01 1.594993108833e-01 1.595052076627e-01 1.595115322733e-01 1.595161502691e-01
1.036800000000e+06 2.578438872171e+02 2.599512911867e+02 2.620369244580e+02 2.637851892244e+02 2.667238035808e+02 2.684150046302e+02 2.692244880528e+02 1.012579437194e-01 1.013540010404e-01 1.014750126463e-01 1.594988108496e-01 1.595040044385e-01 1.595099825467e-01 1.595147490518e-01
1.123200000000e+06 2.583065766842e+02 2.601493886842e+02 2.619911399269e+02 2.635713050949e+02 2.663793138551e+02 2.681295471374e+02 2.690283752858e+02 1.012772549121e-01 1.013642220314e-01 1.014719951480e-01 1.594985545354e-01 1.595031518244e-01 1.595086765816e-01 1.595134179774e-01
