# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.687108950394e+02 2.698390919076e+02 2.701155054530e+02 2.701365099916e+02 2.701480637926e+02 2.701497752986e+02 2.701499653347e+02 1.026072010131e-01 1.030186794826e-01 1.031531212190e-01 1.600352036500e-01 1.600353458443e-01 1.600353669628e-01 1.600353692415e-01
1.728000000000e+05 2.672477084518e+02 2.692451320401e+02 2.700127771228e+02 2.700828894941e+02 2.701340951941e+02 2.701466597608e+02 2.701491357933e+02 1.022613281366e-01 1.027797337140e-01 1.031010845777e-01 1.600345584065e-01 1.600351740591e-01 1.600353284540e-01 1.600353589788e-01
2.592000000000e+05 2.659709698105e+02 2.685870033134e+02 2.698724639804e+02 2.700003336065e+02 2.701067298480e+02 2.701388126679e+02 2.701466028974e+02 1.020506736766e-01 1.025715859750e-01 1.030340029357e-01 1.600336094939e-01 1.600348422954e-01 1.600352318239e-01 1.600353276791e-01
3.456000000000e+05 2.647944922832e+02 2.679155821539e+02 2.697065029092e+02 2.698946346611e+02 2.700655084412e+02 2.701247323316e+02 2.701413823804e+02 1.019010927688e-01 1.024011240090e-01 1.029600160801e-01 1.600324669424e-01 1.600343540727e-01 1.600350597250e-01 1.600352633381e-01
4.320000000000e+05 2.626789664414e+02 2.669877576930e+02 2.694871409212e+02 2.697545184445e+02 2.700076442465e+02 2.701028466025e+02 2.701324457335e+02 1.016987395985e-01 1.022131712903e-01 1.028700508918e-01 1.600310653149e-01 1.600336910856e-01 1.600347954597e-01 1.600351537268e-01
5.184000000000e+05 2.617871292535e+02 2.662389678813e+02 2.692612192956e+02 2.695977840152e+02 2.699348527805e+02 2.700723323455e+02 2.701189119795e+02 1.016309576483e-01 1.020899962089e-01 1.027854745278e-01 1.600296314633e-01 1.600328919719e-01 1.600344334361e-01 1.600349889916e-01
6.048000000000e+05 2.609496762928e+02 2.655965557426e+02 2.690389796710e+02 2.694343132551e+02 2.698504962611e+02 2.700333004471e+02 2.701002287252e+02 1.015742279167e-01 1.019992870230e-01 1.027091776855e-01 1.600282675273e-01 1.600320111683e-01 1.600339809480e-01 1.600347640382e-01
6.912000000000e+05 2.588833085386e+02 2.646828759089e+02 2.687756414009e+02 2.692471264446e+02 2.697530042914e+02 2.699855411482e+02 2.700759714082e+02 1.014563956827e-01 1.018885477079e-01 1.026264130443e-01 1.600268497627e-01 1.600310491576e-01 1.600334428460e-01 1.600344761523e-01
7.776000000000e+05 2.562653519370e+02 2.634759884439e+02 2.684489816024e+02 2.690210650995e+02 2.696377158152e+02 2.699278783471e+02 2.700455381671e+02 1.013396273106e-01 1.017671155604e-01 1.025335798622e-01 1.600253135012e-01 1.600299823466e-01 1.600328149427e-01 1.600341214918e-01
