# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.687297798940e+02 2.699688085146e+02 2.701398427078e+02 2.701460978981e+02 2.701494404001e+02 2.701499349595e+02 2.701499899334e+02 1.026127610191e-01 1.030795868576e-01 1.031658379484e-01 1.600353215664e-01 1.600353628650e-01 1.600353689384e-01 1.600353695459e-01
1.728000000000e+05 2.672746808608e+02 2.695613847033e+02 2.701040068145e+02 2.701278726135e+02 2.701447730428e+02 2.701489025385e+02 2.701497154126e+02 1.022665072808e-01 1.028995744781e-01 1.031471660355e-01 1.600350980674e-01 1.600353052222e-01 1.600353561670e-01 1.600353661490e-01
2.592000000000e+05 2.660233939867e+02 2.690688132926e+02 2.700504429932e+02 2.700973224067e+02 2.701349380322e+02 2.701461376129e+02 2.701488314341e+02 1.020581906086e-01 1.027190562845e-01 1.031198633978e-01 1.600347296526e-01 1.600351843691e-01 1.600353220081e-01 1.600353552149e-01
3.456000000000e+05 2.648920950430e+02 2.685344415335e+02 2.699826259985e+02 2.700555633434e+02 2.701192439495e+02 2.701409240722e+02 2.701469278715e+02 1.019122710350e-01 1.025569113937e-01 1.030862944192e-01 1.600342382362e-01 1.600349932080e-01 1.600352577732e-01 1.600353316919e-01
4.320000000000e+05 2.629336049874e+02 2.678313233413e+02 2.698929199760e+02 2.699992464538e+02 2.700964924671e+02 2.701325255799e+02 2.701435544894e+02 1.017197099967e-01 1.023820452996e-01 1.030435119514e-01 1.600335968202e-01 1.600347197010e-01 1.600351547756e-01 1.600352900808e-01
5.184000000000e+05 2.619865634888e+02 2.671789336786e+02 2.697928889642e+02 2.699324283157e+02 2.700666899290e+02 2.701204086891e+02 2.701382830851e+02 1.016454045338e-01 1.022482815986e-01 1.029978429317e-01 1.600328657457e-01 1.600343677376e-01 1.600350072077e-01 1.600352252486e-01
6.048000000000e+05 2.611238957554e+02 2.665757810623e+02 2.696875646745e+02 2.698584840210e+02 2.700305783447e+02 2.701043496865e+02 2.701307765330e+02 1.015855374915e-01 1.021427909746e-01 1.029519132049e-01 1.600320921872e-01 1.600339505472e-01 1.600348134846e-01 1.600351333272e-01
6.912000000000e+05 2.592281981570e+02 2.658294909635e+02 2.695662584044e+02 2.697736676034e+02 2.699877843322e+02 2.700841199537e+02 2.701207533188e+02 1.014742107257e-01 1.020307926539e-01 1.029015445804e-01 1.600312477757e-01 1.600334688539e-01 1.600345724096e-01 1.600350113161e-01
7.776000000000e+05 2.568407757495e+02 2.648991310944e+02 2.694211864974e+02 2.696733350547e+02 2.699369395142e+02 2.700592563579e+02 2.701079029389e+02 1.013628394638e-01 1.019130845334e-01 1.028445669351e-01 1.600303035938e-01 1.600329137093e-01 1.600342805441e-01 1.600348560958e-01
