# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.687108420100e+02 2.698388398718e+02 2.701141508246e+02 2.701343664168e+02 2.701471923221e+02 2.701495935424e+02 2.701499242872e+02 1.026071854503e-01 1.030185646377e-01 1.031524178943e-01 1.600351773856e-01 1.600353350776e-01 1.600353647140e-01 1.600353687335e-01
1.728000000000e+05 2.672471038333e+02 2.692431803514e+02 2.700059210923e+02 2.700735297218e+02 2.701286961123e+02 2.701447469986e+02 2.701484421296e+02 1.022612124473e-01 1.027790396584e-01 1.030977027745e-01 1.600344480547e-01 1.600351081001e-01 1.600353048523e-01 1.600353504017e-01
2.592000000000e+05 2.659691647115e+02 2.685818117623e+02 2.698572470838e+02 2.699807423918e+02 2.700937661822e+02 2.701332142197e+02 2.701442196154e+02 1.020504163185e-01 1.025701252895e-01 1.030269868937e-01 1.600333914229e-01 1.600346872476e-01 1.600351631988e-01 1.600352982776e-01
3.456000000000e+05 2.647908234977e+02 2.679056680431e+02 2.696807997162e+02 2.698627322904e+02 2.700424551100e+02 2.701133398258e+02 2.701359467091e+02 1.019006764194e-01 1.023988552963e-01 1.029490348649e-01 1.600321361926e-01 1.600340867661e-01 1.600349216758e-01 1.600351965882e-01
4.320000000000e+05 2.626725541412e+02 2.669713267490e+02 2.694477404509e+02 2.697065130207e+02 2.699712820453e+02 2.700832430479e+02 2.701222929961e+02 1.016982214463e-01 1.022102300350e-01 1.028547450988e-01 1.600306106493e-01 1.600332869587e-01 1.600345620334e-01 1.600350300045e-01
5.184000000000e+05 2.617775064464e+02 2.662147088657e+02 2.692067991895e+02 2.695328115851e+02 2.698831433010e+02 2.700422586491e+02 2.701022430555e+02 1.016302702453e-01 1.020863430420e-01 1.027661963828e-01 1.600290725992e-01 1.600323461477e-01 1.600340837683e-01 1.600347881555e-01
6.048000000000e+05 2.609363691638e+02 2.655636474829e+02 2.689693403178e+02 2.693525809016e+02 2.697825403837e+02 2.699909952508e+02 2.700753318380e+02 1.015733740867e-01 1.019949535839e-01 1.026865315802e-01 1.600276286056e-01 1.600313339899e-01 1.600335034536e-01 1.600344686249e-01
6.912000000000e+05 2.588654490796e+02 2.646401304483e+02 2.686887541081e+02 2.691459784179e+02 2.696668950492e+02 2.699292319722e+02 2.700411771278e+02 1.014554909012e-01 1.018838089851e-01 1.026007274027e-01 1.600261373724e-01 1.600302445847e-01 1.600328294185e-01 1.600340712524e-01
7.776000000000e+05 2.562421009296e+02 2.634216557571e+02 2.683411516781e+02 2.688959773349e+02 2.695300721488e+02 2.698552778007e+02 2.699990063407e+02 1.013387146378e-01 1.017621881635e-01 1.025050337690e-01 1.600245315674e-01 1.600290479533e-01 1.600320564038e-01 1.600335927960e-01
