# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.685433565114e+02 2.697700955174e+02 2.701058368495e+02 2.701325927997e+02 2.701474604057e+02 2.701497011866e+02 2.701499534238e+02 1.025593826340e-01 1.029877213565e-01 1.031481115580e-01 1.600351557058e-01 1.600353383892e-01 1.600353660458e-01 1.600353690941e-01
1.728000000000e+05 2.669740700740e+02 2.690875721523e+02 2.699833276642e+02 2.700678850667e+02 2.701302625331e+02 2.701458085925e+02 2.701489071363e+02 1.022107202923e-01 1.027253234479e-01 1.030866362071e-01 1.600343820689e-01 1.600351272186e-01 1.600353179475e-01 1.600353561510e-01
2.592000000000e+05 2.656523940225e+02 2.683645302408e+02 2.698231447587e+02 2.699721981077e+02 2.700977392634e+02 2.701363007559e+02 2.701457991054e+02 1.020067052249e-01 1.025111407796e-01 1.030114386036e-01 1.600332978202e-01 1.600347346568e-01 1.600352010009e-01 1.600353177577e-01
3.456000000000e+05 2.644642688465e+02 2.676538427745e+02 2.696402398806e+02 2.698536741705e+02 2.700501684876e+02 2.701196765494e+02 2.701395413292e+02 1.018646833674e-01 1.023433046091e-01 1.029319524974e-01 1.600320445741e-01 1.600341758383e-01 1.600349983300e-01 1.600352407024e-01
4.320000000000e+05 2.622470781651e+02 2.666544811379e+02 2.693990440403e+02 2.696982014050e+02 2.699845825063e+02 2.700943424768e+02 2.701290341598e+02 1.016648723761e-01 1.021557160099e-01 1.028361625044e-01 1.600305349850e-01 1.600334338545e-01 1.600346938211e-01 1.600351120579e-01
5.184000000000e+05 2.614222091745e+02 2.659014454488e+02 2.691601429108e+02 2.695292349669e+02 2.699037835877e+02 2.700596666621e+02 2.701133974148e+02 1.016054876337e-01 1.020408310607e-01 1.027499836893e-01 1.600290445120e-01 1.600325621699e-01 1.600342853214e-01 1.600349222990e-01
6.048000000000e+05 2.606305875454e+02 2.652764624641e+02 2.689316752146e+02 2.693574447509e+02 2.698120859442e+02 2.700161036363e+02 2.700921659445e+02 1.015541326741e-01 1.019582989742e-01 1.026745176851e-01 1.600276679571e-01 1.600316253247e-01 1.600337852552e-01 1.600346678296e-01
6.912000000000e+05 2.584728054989e+02 2.643211689766e+02 2.686553269831e+02 2.691599729267e+02 2.697071875522e+02 2.699635354051e+02 2.700649927292e+02 1.014360214325e-01 1.018495452232e-01 1.025910447355e-01 1.600262360719e-01 1.600306164147e-01 1.600332004716e-01 1.600343473828e-01
7.776000000000e+05 2.557459593336e+02 2.630365671612e+02 2.683073733202e+02 2.689192036527e+02 2.695833325167e+02 2.699006102908e+02 2.700312743253e+02 1.013196825734e-01 1.017284140964e-01 1.024962883780e-01 1.600246759564e-01 1.600295036698e-01 1.600325259682e-01 1.600339577066e-01
