# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.000063518512e-01 1.000063518512e-01 1.000063518512e-01 8.207313122112e-01 8.207313122112e-01 8.207312919480e-01 8.207312595270e-01
8.640000000000e+04 2.684964019138e+02 2.693024851226e+02 2.698641958614e+02 2.700701802655e+02 2.701462054074e+02 2.701499018689e+02 2.701499961746e+02 1.000040067837e-01 1.000048919716e-01 1.000057732235e-01 8.202982326494e-01 8.207104259602e-01 8.207307514030e-01 8.207312384547e-01
1.728000000000e+05 2.672529605017e+02 2.684955961610e+02 2.694926491049e+02 2.698960649630e+02 2.701220419610e+02 2.701480225785e+02 2.701498130563e+02 1.000031253761e-01 1.000040060559e-01 1.000051592593e-01 8.193934099135e-01 8.205780989753e-01 8.207204030240e-01 8.207302297826e-01
2.592000000000e+05 2.662417325609e+02 2.677926235301e+02 2.691224182534e+02 2.696859421914e+02 2.700773498975e+02 2.701427213344e+02 2.701491177992e+02 1.000026474086e-01 1.000034564097e-01 1.000046626992e-01 8.183658288692e-01 8.203362982816e-01 8.206912472986e-01 8.207264006668e-01
3.456000000000e+05 2.652519515884e+02 2.671064165314e+02 2.687399412802e+02 2.694486522632e+02 2.700120246247e+02 2.701323638404e+02 2.701474270315e+02 1.000023007235e-01 1.000030459382e-01 1.000042392734e-01 8.172794819121e-01 8.199894392704e-01 8.206344350363e-01 8.207170925890e-01
4.320000000000e+05 2.631389914448e+02 2.658332509121e+02 2.681298915261e+02 2.691158448228e+02 2.699202122949e+02 2.701151694356e+02 2.701441284062e+02 1.000017948206e-01 1.000024926704e-01 1.000037004212e-01 8.158724133296e-01 8.195145145263e-01 8.205405614663e-01 8.206989483360e-01
5.184000000000e+05 2.626195287800e+02 2.652624524548e+02 2.677051262076e+02 2.687963738778e+02 2.698048022322e+02 2.700896345763e+02 2.701385279571e+02 1.000017022648e-01 1.000023039337e-01 1.000033981654e-01 8.146266397291e-01 8.189369894960e-01 8.204021544948e-01 8.206681894984e-01
6.048000000000e+05 2.619131262516e+02 2.647101300429e+02 2.673098242816e+02 2.684863303101e+02 2.696710282484e+02 2.700548764343e+02 2.701299306017e+02 1.000015904774e-01 1.000021461939e-01 1.000031573019e-01 8.135030661238e-01 8.182926741140e-01 8.202156456834e-01 8.206210849817e-01
6.912000000000e+05 2.596958847598e+02 2.633801954861e+02 2.666371623344e+02 2.680801997980e+02 2.695135194837e+02 2.700099857092e+02 2.701176575474e+02 1.000013176433e-01 1.000018412356e-01 1.000028161958e-01 8.121451857651e-01 8.175660201502e-01 8.199779197672e-01 8.205540792023e-01
7.776000000000e+05 2.570772894225e+02 2.616853639211e+02 2.657583667010e+02 2.675542406356e+02 2.693216942157e+02 2.699533383502e+02 2.701009758809e+02 1.000010946393e-01 1.000015574476e-01 1.000024662048e-01 8.105447525239e-01 8.167237812181e-01 8.196828604453e-01 8.204634487734e-01
8.640000000000e+05 2.549134758565e+02 2.601351718929e+02 2.648553677831e+02 2.669577194980e+02 2.690900897073e+02 2.698827424649e+02 2.700790270526e+02 1.000009599324e-01 1.000013641171e-01 1.000021855849e-01 8.089048209092e-01 8.157630009580e-01 8.193225639426e-01 8.203449737978e-01
9.504000000000e+05 2.555698686415e+02 2.600527412036e+02 2.644525751936e+02 2.664973957367e+02 2.688367386305e+02 2.697972254429e+02 2.700509353983e+02 1.000009971848e-01 1.000013551521e-01 1.000020796576e-01 8.077398839434e-01 8.147738735070e-01 8.188966604038e-01 8.201946017783e-01
1.036800000000e+06 2.569905757192e+02 2.606395908903e+02 2.644025512175e+02 2.662160965824e+02 2.685883829031e+02 2.696983507677e+02 2.700160815776e+02 1.000010885250e-01 1.000014216238e-01 1.000020672006e-01 8.070633158638e-01 8.138593985445e-01 8.184179049355e-01 8.200099637568e-01
1.123200000000e+06 2.579044410372e+02 2.611205191335e+02 2.644264675462e+02 2.660417773833e+02 2.683616081808e+02 2.695897099539e+02 2.699743347545e+02 1.000011565682e-01 1.000014810731e-01 1.000020731380e-01 8.066565879600e-01 8.130669005782e-01 8.179078172986e-01 8.197915620925e-01
