# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.785649225266e-01 7.785649225266e-01 7.785649225266e-01 1.595234513451e-01 1.595234513451e-01 1.595234512995e-01 1.595234512266e-01
8.640000000000e+04 2.697072029794e+02 2.699926264213e+02 2.700990893287e+02 2.701268311739e+02 2.701465863373e+02 2.701495954002e+02 2.701499366631e+02 7.762343202124e-01 7.776984309731e-01 7.782796092484e-01 1.595231668124e-01 1.595234091259e-01 1.595234462901e-01 1.595234504423e-01
1.728000000000e+05 2.691744044060e+02 2.696977695203e+02 2.699532832022e+02 2.700415008653e+02 2.701238687869e+02 2.701444399321e+02 2.701485484808e+02 7.738072411053e-01 7.761880814183e-01 7.774887287999e-01 1.595221571139e-01 1.595231307189e-01 1.595233825806e-01 1.595234332616e-01
2.592000000000e+05 2.685742171841e+02 2.693220745194e+02 2.697395284077e+02 2.699049126294e+02 2.700786783022e+02 2.701314224558e+02 2.701443219562e+02 7.714443308947e-01 7.744448315606e-01 7.763937571238e-01 1.595206553328e-01 1.595225896829e-01 1.595232227077e-01 1.595233810525e-01
3.456000000000e+05 2.678665296605e+02 2.688583446094e+02 2.694561008090e+02 2.697146545834e+02 2.700069348236e+02 2.701073208476e+02 2.701354304288e+02 7.690365954755e-01 7.725205801222e-01 7.750457465536e-01 1.595187683782e-01 1.595217638860e-01 1.595229304072e-01 1.595232717079e-01
4.320000000000e+05 2.666874483019e+02 2.681519982739e+02 2.690396941308e+02 2.694362360353e+02 2.698982825692e+02 2.700678050756e+02 2.701195997911e+02 7.656793587626e-01 7.699655026083e-01 7.732464512451e-01 1.595163655310e-01 1.595205850164e-01 1.595224613033e-01 1.595230786566e-01
5.184000000000e+05 2.658680683360e+02 2.674840387054e+02 2.685738670311e+02 2.691027069941e+02 2.697525826658e+02 2.700096285253e+02 2.700945175268e+02 7.636985934653e-01 7.678696809816e-01 7.714430472919e-01 1.595139313892e-01 1.595191259898e-01 1.595217926863e-01 1.595227769814e-01
6.048000000000e+05 2.650190589766e+02 2.668063413941e+02 2.680748272705e+02 2.687300432309e+02 2.695734916426e+02 2.699312593897e+02 2.700582836415e+02 7.618745839345e-01 7.659880583821e-01 7.697091219481e-01 1.595116545508e-01 1.595174995898e-01 1.595209311444e-01 1.595223500383e-01
6.912000000000e+05 2.635937809903e+02 2.658697078413e+02 2.674486741306e+02 2.682739785249e+02 2.693534695613e+02 2.698301847868e+02 2.700090098258e+02 7.592137219909e-01 7.637023236001e-01 7.677659034675e-01 1.595093528330e-01 1.595157168039e-01 1.595198815180e-01 1.595217856426e-01
7.776000000000e+05 2.618544015497e+02 2.646834126906e+02 2.666588446566e+02 2.677033694584e+02 2.690799041145e+02 2.697018289208e+02 2.699442529390e+02 7.564727559857e-01 7.612069877425e-01 7.656059616672e-01 1.595070277947e-01 1.595137756018e-01 1.595186394216e-01 1.595210709337e-01
