# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.687109020181e+02 2.698391234693e+02 2.701156708972e+02 2.701365079762e+02 2.701480406268e+02 2.701497707684e+02 2.701499644389e+02 1.026072030611e-01 1.030186938652e-01 1.031532071502e-01 1.600352036248e-01 1.600353455580e-01 1.600353669095e-01 1.600353692308e-01
1.728000000000e+05 2.672477746920e+02 2.692453413084e+02 2.700135021015e+02 2.700829854911e+02 2.701339755260e+02 2.701466116203e+02 2.701491198494e+02 1.022613408123e-01 1.027798081644e-01 1.031014428287e-01 1.600345595339e-01 1.600351725944e-01 1.600353279009e-01 1.600353587924e-01
2.592000000000e+05 2.659711556706e+02 2.685875311480e+02 2.698739861965e+02 2.700006480237e+02 2.701064757772e+02 2.701386670393e+02 2.701465456301e+02 1.020507001807e-01 1.025717346253e-01 1.030347074718e-01 1.600336129866e-01 1.600348392423e-01 1.600352300797e-01 1.600353270142e-01
3.456000000000e+05 2.647948569930e+02 2.679165563025e+02 2.697089888449e+02 2.698952847126e+02 2.700651114954e+02 2.701244413924e+02 2.701412460437e+02 1.019011341726e-01 1.024013472780e-01 1.029610846731e-01 1.600324736846e-01 1.600343494310e-01 1.600350562289e-01 1.600352617674e-01
4.320000000000e+05 2.626795900659e+02 2.669893404213e+02 2.694908909030e+02 2.697556240418e+02 2.700070866341e+02 2.701023604954e+02 2.701321803967e+02 1.016987900166e-01 1.022134552317e-01 1.028715205123e-01 1.600310758172e-01 1.600336848050e-01 1.600347896744e-01 1.600351505984e-01
5.184000000000e+05 2.617880466821e+02 2.662412617537e+02 2.692663021066e+02 2.695994665845e+02 2.699341541473e+02 2.700716117416e+02 2.701184705355e+02 1.016310232304e-01 1.020903426401e-01 1.027872957675e-01 1.600296460282e-01 1.600328844561e-01 1.600344250125e-01 1.600349837577e-01
6.048000000000e+05 2.609509248468e+02 2.655996183058e+02 2.690453793252e+02 2.694366491110e+02 2.698497022558e+02 2.700323257845e+02 2.700995716813e+02 1.015743081002e-01 1.019996917515e-01 1.027112876774e-01 1.600282859708e-01 1.600320030558e-01 1.600339698301e-01 1.600347562899e-01
6.912000000000e+05 2.588849652687e+02 2.646868110625e+02 2.687835622415e+02 2.692501796783e+02 2.697521301152e+02 2.699842990018e+02 2.700750647699e+02 1.014564797014e-01 1.018889857632e-01 1.026287926833e-01 1.600268715554e-01 1.600310407274e-01 1.600334291004e-01 1.600344655907e-01
7.776000000000e+05 2.562674882840e+02 2.634809544067e+02 2.684587715627e+02 2.690249472901e+02 2.696367491716e+02 2.699263489210e+02 2.700443479342e+02 1.013397112643e-01 1.017675679969e-01 1.025362202406e-01 1.600253381737e-01 1.600299736219e-01 1.600327986236e-01 1.600341078699e-01
