# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.687109020218e+02 2.698391234719e+02 2.701156708977e+02 2.701365079765e+02 2.701480406266e+02 2.701497707675e+02 2.701499644385e+02 1.026072030622e-01 1.030186938663e-01 1.031532071504e-01 1.600352036248e-01 1.600353455580e-01 1.600353669095e-01 1.600353692308e-01
1.728000000000e+05 2.672477753027e+02 2.692453416820e+02 2.700135021759e+02 2.700829855318e+02 2.701339755356e+02 2.701466116168e+02 2.701491198449e+02 1.022613409292e-01 1.027798082973e-01 1.031014428654e-01 1.600345595344e-01 1.600351725945e-01 1.600353279008e-01 1.600353587923e-01
2.592000000000e+05 2.659711561201e+02 2.685875314810e+02 2.698739862799e+02 2.700006480759e+02 2.701064757949e+02 2.701386670438e+02 2.701465456204e+02 1.020507002448e-01 1.025717347191e-01 1.030347075105e-01 1.600336129871e-01 1.600348392425e-01 1.600352300797e-01 1.600353270140e-01
3.456000000000e+05 2.647948572959e+02 2.679165570148e+02 2.697089891419e+02 2.698952849308e+02 2.700651115858e+02 2.701244414199e+02 2.701412460428e+02 1.019011342070e-01 1.024013474413e-01 1.029610848008e-01 1.600324736869e-01 1.600343494320e-01 1.600350562292e-01 1.600352617672e-01
4.320000000000e+05 2.626795903509e+02 2.669893409099e+02 2.694908911483e+02 2.697556242374e+02 2.700070867364e+02 2.701023605384e+02 2.701321804211e+02 1.016987900397e-01 1.022134553193e-01 1.028715206085e-01 1.600310758190e-01 1.600336848062e-01 1.600347896749e-01 1.600351505987e-01
5.184000000000e+05 2.617880475957e+02 2.662412627510e+02 2.692663025022e+02 2.695994668845e+02 2.699341543018e+02 2.700716118116e+02 2.701184705748e+02 1.016310232957e-01 1.020903427907e-01 1.027872959094e-01 1.600296460308e-01 1.600328844578e-01 1.600344250133e-01 1.600349837581e-01
6.048000000000e+05 2.609509262550e+02 2.655996193324e+02 2.690453796851e+02 2.694366493844e+02 2.698497024165e+02 2.700323258722e+02 2.700995717300e+02 1.015743081906e-01 1.019996918872e-01 1.027112877962e-01 1.600282859730e-01 1.600320030574e-01 1.600339698311e-01 1.600347562905e-01
6.912000000000e+05 2.588849660740e+02 2.646868118042e+02 2.687835625556e+02 2.692501799299e+02 2.697521302741e+02 2.699842990956e+02 2.700750648276e+02 1.014564797422e-01 1.018889858458e-01 1.026287927778e-01 1.600268715572e-01 1.600310407290e-01 1.600334291014e-01 1.600344655914e-01
7.776000000000e+05 2.562674897195e+02 2.634809552496e+02 2.684587720663e+02 2.690249477203e+02 2.696367494380e+02 2.699263490621e+02 2.700443480132e+02 1.013397113207e-01 1.017675680738e-01 1.025362203766e-01 1.600253381764e-01 1.600299736243e-01 1.600327986251e-01 1.600341078709e-01
