# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.687108387913e+02 2.698388251195e+02 2.701140842167e+02 2.701361437131e+02 2.701479964388e+02 2.701497923611e+02 2.701499723038e+02 1.026071845057e-01 1.030185579159e-01 1.031523833235e-01 1.600351991622e-01 1.600353450119e-01 1.600353671739e-01 1.600353693277e-01
1.728000000000e+05 2.672470762722e+02 2.692430906063e+02 2.700056118728e+02 2.700795354858e+02 2.701328038984e+02 2.701466619641e+02 2.701492229123e+02 1.022612071742e-01 1.027790077560e-01 1.030975505098e-01 1.600345188295e-01 1.600351582624e-01 1.600353284809e-01 1.600353600563e-01
2.592000000000e+05 2.659690417279e+02 2.685814296461e+02 2.698560046338e+02 2.699909903246e+02 2.701023743340e+02 2.701385197923e+02 2.701468364185e+02 1.020503987879e-01 1.025700178764e-01 1.030264161867e-01 1.600335053198e-01 1.600347900591e-01 1.600352282265e-01 1.600353305623e-01
3.456000000000e+05 2.647904510221e+02 2.679045458114e+02 2.696774246829e+02 2.698761029932e+02 2.700557820185e+02 2.701235639089e+02 2.701417608782e+02 1.019006341647e-01 1.023985988941e-01 1.029476020099e-01 1.600322743914e-01 1.600342408270e-01 1.600350455156e-01 1.600352679947e-01
4.320000000000e+05 2.626716539184e+02 2.669687522392e+02 2.694405881964e+02 2.697229075926e+02 2.699897637077e+02 2.700999356405e+02 2.701328646037e+02 1.016981487411e-01 1.022097702437e-01 1.028519928753e-01 1.600307651638e-01 1.600334912579e-01 1.600347605998e-01 1.600351588483e-01
5.184000000000e+05 2.617757525926e+02 2.662097825492e+02 2.691940195333e+02 2.695494017442e+02 2.699057967740e+02 2.700665045178e+02 2.701191178600e+02 1.016301450536e-01 1.020856035316e-01 1.027617270305e-01 1.600292143926e-01 1.600325832646e-01 1.600343651236e-01 1.600349914841e-01
6.048000000000e+05 2.609333249370e+02 2.655552834415e+02 2.689488372485e+02 2.693661509627e+02 2.698074088324e+02 2.700231410173e+02 2.700997879885e+02 1.015731789560e-01 1.019938566860e-01 1.026799717461e-01 1.600277340874e-01 1.600315788781e-01 1.600338650620e-01 1.600347587620e-01
6.912000000000e+05 2.588604941256e+02 2.646270685510e+02 2.686583556347e+02 2.691558025183e+02 2.696930411500e+02 2.699695184396e+02 2.700742988701e+02 1.014552401802e-01 1.018823680868e-01 1.025919175720e-01 1.600262066265e-01 1.600304850835e-01 1.600332660167e-01 1.600344564687e-01
7.776000000000e+05 2.562345693918e+02 2.634025394957e+02 2.682986838481e+02 2.689021027197e+02 2.695575864243e+02 2.699043644770e+02 2.700419472220e+02 1.013384194101e-01 1.017604643566e-01 1.024940534221e-01 1.600245708304e-01 1.600292820956e-01 1.600325654411e-01 1.600340801057e-01
8.640000000000e+05 2.537117742058e+02 2.620405015224e+02 2.678787921910e+02 2.686031162648e+02 2.693969916871e+02 2.698258519960e+02 2.700018000597e+02 1.012495198129e-01 1.016493787316e-01 1.023927373654e-01 1.600228827234e-01 1.600279712331e-01 1.600317586080e-01 1.600336240759e-01
9.504000000000e+05 2.535884577948e+02 2.612454375920e+02 2.675023315083e+02 2.683046235939e+02 2.692187717520e+02 2.697339338688e+02 2.699531708786e+02 1.012456268903e-01 1.015935747844e-01 1.023116891044e-01 1.600214081882e-01 1.600266446081e-01 1.600308622912e-01 1.600330874182e-01
1.036800000000e+06 2.546635444908e+02 2.610664176479e+02 2.672250629633e+02 2.680471502222e+02 2.690375657455e+02 2.696314326340e+02 2.698962199478e+02 1.012808851163e-01 1.015817791005e-01 1.022570071980e-01 1.600202760076e-01 1.600254157471e-01 1.600299193517e-01 1.600324798212e-01
1.123200000000e+06 2.557409832138e+02 2.612112849744e+02 2.670379787514e+02 2.678420710783e+02 2.688658402340e+02 2.695229324155e+02 2.698321029942e+02 1.013194958682e-01 1.015913038930e-01 1.022222347058e-01 1.600194532904e-01 1.600243486011e-01 1.600289807062e-01 1.600318213469e-01
