# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.688820849252e+02 2.698864633074e+02 2.701199819157e+02 2.701381872723e+02 2.701482895805e+02 2.701497998246e+02 2.701499688942e+02 1.026589433685e-01 1.030405008974e-01 1.031554487587e-01 1.600352242193e-01 1.600353486348e-01 1.600353672663e-01 1.600353692855e-01
1.728000000000e+05 2.675368276574e+02 2.693599747529e+02 2.700255617613e+02 2.700889012855e+02 2.701354458184e+02 2.701469272339e+02 2.701492010432e+02 1.023187745521e-01 1.028215133910e-01 1.031074204375e-01 1.600346295605e-01 1.600351905952e-01 1.600353317568e-01 1.600353597859e-01
2.592000000000e+05 2.663167032540e+02 2.687542718685e+02 2.698918120497e+02 2.700105478437e+02 2.701096398890e+02 2.701395478748e+02 2.701468183091e+02 1.021018333279e-01 1.026200251796e-01 1.030429946361e-01 1.600337240595e-01 1.600348772760e-01 1.600352408554e-01 1.600353303389e-01
3.456000000000e+05 2.651593380900e+02 2.681154282283e+02 2.697286792813e+02 2.699074186055e+02 2.700698828524e+02 2.701260662237e+02 2.701418329725e+02 1.019439213752e-01 1.024482767161e-01 1.029695898325e-01 1.600326009985e-01 1.600344052328e-01 1.600350759582e-01 1.600352688825e-01
4.320000000000e+05 2.631309744436e+02 2.672318668596e+02 2.695105184406e+02 2.697685632316e+02 2.700130923534e+02 2.701047738648e+02 2.701331782667e+02 1.017365130135e-01 1.022583028261e-01 1.028792495914e-01 1.600312003924e-01 1.600337524211e-01 1.600348185746e-01 1.600351626866e-01
5.184000000000e+05 2.621970353457e+02 2.664891914662e+02 2.692796919379e+02 2.696098955799e+02 2.699404448151e+02 2.700746509483e+02 2.701198995030e+02 1.016610787097e-01 1.021288360724e-01 1.027921106944e-01 1.600297376255e-01 1.600329520325e-01 1.600344606857e-01 1.600350009609e-01
6.048000000000e+05 2.613239498365e+02 2.658357887558e+02 2.690478673696e+02 2.694413031243e+02 2.698549416391e+02 2.700355991344e+02 2.701013455836e+02 1.015988326867e-01 1.020316653335e-01 1.027121093290e-01 1.600283234282e-01 1.600320564397e-01 1.600340072740e-01 1.600347774061e-01
6.912000000000e+05 2.593198816980e+02 2.649347175844e+02 2.687742844544e+02 2.692473909055e+02 2.697550794958e+02 2.699872702072e+02 2.700769939105e+02 1.014790591473e-01 1.019172150240e-01 1.026260060290e-01 1.600268518614e-01 1.600310690898e-01 1.600334620366e-01 1.600344881934e-01
7.776000000000e+05 2.567787089148e+02 2.637547255426e+02 2.684361004212e+02 2.690131299931e+02 2.696362554269e+02 2.699283997078e+02 2.700461562750e+02 1.013602763583e-01 1.017930645414e-01 1.025301183203e-01 1.600252629253e-01 1.600299693780e-01 1.600328205167e-01 1.600341286241e-01
8.640000000000e+05 2.543244459381e+02 2.624394844127e+02 2.680408825411e+02 2.687367557251e+02 2.694949397083e+02 2.698572758072e+02 2.700079131804e+02 1.012694337066e-01 1.016797061560e-01 1.024303645187e-01 1.600236102685e-01 1.600287570459e-01 1.600320768204e-01 1.600336927536e-01
