# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.687106643344e+02 2.698379996842e+02 2.701097196747e+02 2.701370720029e+02 2.701487753790e+02 2.701498658585e+02 2.701499788787e+02 1.026071333093e-01 1.030181818851e-01 1.031501205210e-01 1.600352105605e-01 1.600353546405e-01 1.600353680834e-01 1.600353694091e-01
1.728000000000e+05 2.672454062756e+02 2.692377621918e+02 2.699872091537e+02 2.700822046920e+02 2.701384530301e+02 2.701476816013e+02 2.701493906506e+02 1.022608877273e-01 1.027771155878e-01 1.030885289716e-01 1.600345506479e-01 1.600352274758e-01 1.600353410751e-01 1.600353621312e-01
2.592000000000e+05 2.659644324075e+02 2.685684193928e+02 2.698188794480e+02 2.699955196020e+02 2.701169252294e+02 2.701418403743e+02 2.701475001646e+02 1.020497420816e-01 1.025663687128e-01 1.030095107405e-01 1.600335569778e-01 1.600349651971e-01 1.600352690462e-01 1.600353387607e-01
3.456000000000e+05 2.647816750500e+02 2.678813978407e+02 2.696194656816e+02 2.698828019307e+02 2.700830806562e+02 2.701309001884e+02 2.701434537217e+02 1.018996394101e-01 1.023933284554e-01 1.029233173993e-01 1.600323465203e-01 1.600345606247e-01 1.600351349100e-01 1.600352888392e-01
4.320000000000e+05 2.626571570174e+02 2.669325264049e+02 2.693567222878e+02 2.697332155373e+02 2.700345149207e+02 2.701133958484e+02 2.701363302747e+02 1.016969792134e-01 1.022033308824e-01 1.028203040911e-01 1.600308676658e-01 1.600339960290e-01 1.600349223520e-01 1.600352012903e-01
5.184000000000e+05 2.617551735531e+02 2.661593804398e+02 2.690857574278e+02 2.695639466619e+02 2.699718668439e+02 2.700883718695e+02 2.701252884308e+02 1.016286782717e-01 1.020780824894e-01 1.027247152690e-01 1.600293464858e-01 1.600332940598e-01 1.600346228081e-01 1.600350664186e-01
6.048000000000e+05 2.609064884421e+02 2.654911037563e+02 2.688200952039e+02 2.693861260371e+02 2.698975155931e+02 2.700556135372e+02 2.701097248625e+02 1.015714619401e-01 1.019854998585e-01 1.026398526181e-01 1.600278986449e-01 1.600324970666e-01 1.600342381860e-01 1.600348780211e-01
6.912000000000e+05 2.588264954081e+02 2.645484904285e+02 2.685071390566e+02 2.691838289585e+02 2.698107256253e+02 2.700148504190e+02 2.700891703205e+02 1.014535233794e-01 1.018737694237e-01 1.025493874764e-01 1.600264136406e-01 1.600316128997e-01 1.600337710801e-01 1.600346322169e-01
7.776000000000e+05 2.561925874764e+02 2.633076554045e+02 2.681195321475e+02 2.689409721617e+02 2.697080469336e+02 2.699651577161e+02 2.700630611261e+02 1.013367774130e-01 1.017519828781e-01 1.024492743813e-01 1.600248246996e-01 1.600306261003e-01 1.600332182227e-01 1.600343248240e-01
8.640000000000e+05 2.536611536204e+02 2.619272529276e+02 2.676677705587e+02 2.686551795274e+02 2.695863541303e+02 2.699051789134e+02 2.700306529109e+02 1.012479172514e-01 1.016410677367e-01 1.023462765462e-01 1.600231798053e-01 1.600295322464e-01 1.600325740372e-01 1.600339506061e-01
9.504000000000e+05 2.535307369880e+02 2.611160971092e+02 2.672699201522e+02 2.683705901428e+02 2.694502402668e+02 2.698347498921e+02 2.699913922989e+02 1.012438175538e-01 1.015850259657e-01 1.022655905551e-01 1.600217389276e-01 1.600283959856e-01 1.600318481007e-01 1.600335078051e-01
1.036800000000e+06 2.546017400868e+02 2.609277029576e+02 2.669900226204e+02 2.681281484499e+02 2.693100187500e+02 2.697558014265e+02 2.699454005795e+02 1.012787742573e-01 1.015728187876e-01 1.022135776520e-01 1.600206397183e-01 1.600273111515e-01 1.600310710478e-01 1.600330032284e-01
1.123200000000e+06 2.556783486151e+02 2.610714836790e+02 2.668170396705e+02 2.679404136539e+02 2.691753949470e+02 2.696717121811e+02 2.698936110159e+02 1.013171527098e-01 1.015821092755e-01 1.021831729722e-01 1.600198578997e-01 1.600263426194e-01 1.600302831294e-01 1.600324525262e-01
1.209600000000e+06 2.564752054353e+02 2.613221965146e+02 2.667160322840e+02 2.678009284129e+02 2.690521596857e+02 2.695860881652e+02 2.698375278343e+02 1.013479518369e-01 1.015987146942e-01 1.021659896909e-01 1.600193118786e-01 1.600255124446e-01 1.600295199723e-01 1.600318760684e-01
1.296000000000e+06 2.565510563055e+02 2.614432855372e+02 2.666354651632e+02 2.676890949546e+02 2.689409918225e+02 2.695015726194e+02 2.697787629633e+02 1.013509999081e-01 1.016069260556e-01 1.021525715122e-01 1.600188945932e-01 1.600248058071e-01 1.600288026849e-01 1.600312931315e-01
1.382400000000e+06 2.553112725026e+02 2.611477063492e+02 2.665045922618e+02 2.675705562934e+02 2.688368101040e+02 2.694189773274e+02 2.697185223136e+02 1.013036724746e-01 1.015871023657e-01 1.021312981055e-01 1.600184728964e-01 1.600241773790e-01 1.600281338633e-01 1.600307167907e-01
1.468800000000e+06 2.561469212578e+02 2.611970891287e+02 2.664126074568e+02 2.674669487423e+02 2.687390624768e+02 2.693386681434e+02 2.696576522970e+02 1.013349983032e-01 1.015903628550e-01 1.021167188350e-01 1.600181184827e-01 1.600236153127e-01 1.600275120332e-01 1.600301551228e-01
1.555200000000e+06 2.542209335334e+02 2.606790512962e+02 2.662463814460e+02 2.673410407579e+02 2.686423358972e+02 2.692599024940e+02 2.695965041702e+02 1.012660004156e-01 1.015571347631e-01 1.020911164631e-01 1.600177071302e-01 1.600230838716e-01 1.600269277084e-01 1.600296107414e-01
1.641600000000e+06 2.540220045309e+02 2.603320662558e+02 2.660765323923e+02 2.672065620052e+02 2.685444276192e+02 2.691816875577e+02 2.695350568567e+02 1.012594819364e-01 1.015360198381e-01 1.020658952034e-01 1.600172875162e-01 1.600225693703e-01 1.600263709886e-01 1.600290827070e-01
1.728000000000e+06 2.557291320079e+02 2.605880109269e+02 2.660014072790e+02 2.671055525494e+02 2.684507191193e+02 2.691043981350e+02 2.694734215923e+02 1.013190515341e-01 1.015515096896e-01 1.020550279244e-01 1.600169832889e-01 1.600220973208e-01 1.600258425243e-01 1.600285712270e-01
1.814400000000e+06 2.564460110146e+02 2.608918999595e+02 2.659769870404e+02 2.670364921594e+02 2.683655420418e+02 2.690293215656e+02 2.694120469456e+02 1.013467842544e-01 1.015705309384e-01 1.020515322728e-01 1.600167801979e-01 1.600216844017e-01 1.600253486404e-01 1.600280790850e-01
1.900800000000e+06 2.555020569425e+02 2.607782991015e+02 2.659126959110e+02 2.669651170535e+02 2.682864457223e+02 2.689569916230e+02 2.693513877723e+02 1.013106255587e-01 1.015633379292e-01 1.020424141585e-01 1.600165762487e-01 1.600213141706e-01 1.600248899663e-01 1.600276086929e-01
1.987200000000e+06 2.572884948243e+02 2.611023882810e+02 2.658958398033e+02 2.669097229967e+02 2.682122901550e+02 2.688869164201e+02 2.692914674443e+02 1.013817764175e-01 1.015841279916e-01 1.020400436449e-01 1.600164205042e-01 1.600209780286e-01 1.600244608022e-01 1.600271589107e-01
2.073600000000e+06 2.597713996296e+02 2.619654372974e+02 2.659967616915e+02 2.669074419915e+02 2.681501297697e+02 2.688208921411e+02 2.692329889401e+02 1.015036639973e-01 1.016438558122e-01 1.020543615480e-01 1.600164112703e-01 1.600207037735e-01 1.600240694750e-01 1.600267335485e-01
2.160000000000e+06 2.606595906465e+02 2.627120317575e+02 2.661522388631e+02 2.669536942469e+02 2.681070395180e+02 2.687617913813e+02 2.691771573677e+02 1.015559271618e-01 1.017014190759e-01 1.020770234046e-01 1.600165366858e-01 1.600205171673e-01 1.600237294201e-01 1.600263394143e-01
2.246400000000e+06 2.626474915364e+02 2.635891843270e+02 2.663465732212e+02 2.670306948257e+02 2.680801340983e+02 2.687098410439e+02 2.691243511960e+02 1.016962008079e-01 1.017775162061e-01 1.021064357028e-01 1.600167520075e-01 1.600204017704e-01 1.600234381697e-01 1.600259769472e-01
2.332800000000e+06 2.624467917027e+02 2.641573532216e+02 2.665425551262e+02 2.671308555977e+02 2.680715855190e+02 2.686675277010e+02 2.690761555040e+02 1.016802774214e-01 1.018326622149e-01 1.021374037674e-01 1.600170420492e-01 1.600203645050e-01 1.600232060606e-01 1.600256545335e-01
2.419200000000e+06 2.617559874724e+02 2.642003947666e+02 2.666472652704e+02 2.672073578311e+02 2.680747272786e+02 2.686355165299e+02 2.690339274538e+02 1.016287362084e-01 1.018370530770e-01 1.021545211621e-01 1.600172712509e-01 1.600203767205e-01 1.600230334272e-01 1.600253784044e-01
2.505600000000e+06 2.620200316170e+02 2.642711354049e+02 2.667095385893e+02 2.672563042916e+02 2.680797001972e+02 2.686117334844e+02 2.689982676589e+02 1.016478670773e-01 1.018443390621e-01 1.021648988560e-01 1.600174212854e-01 1.600203970155e-01 1.600229067838e-01 1.600251497075e-01
2.592000000000e+06 2.620837854144e+02 2.643372108810e+02 2.667598474088e+02 2.672951093417e+02 2.680840623249e+02 2.685914309586e+02 2.689660995591e+02 1.016525890018e-01 1.018512238391e-01 1.021733933764e-01 1.600175420666e-01 1.600204149253e-01 1.600227997457e-01 1.600249468288e-01
2.678400000000e+06 2.622423977517e+02 2.644117060100e+02 2.668003548584e+02 2.673247119876e+02 2.680870425005e+02 2.685743570146e+02 2.689378591060e+02 1.016645164507e-01 1.018590795925e-01 1.021803062889e-01 1.600176352892e-01 1.600204271490e-01 1.600227104831e-01 1.600247713394e-01
2.764800000000e+06 2.627253343957e+02 2.645677478903e+02 2.668461769703e+02 2.673523615249e+02 2.680891032441e+02 2.685593090510e+02 2.689125474385e+02 1.017025006742e-01 1.018758657800e-01 1.021882064635e-01 1.600177231303e-01 1.600204355606e-01 1.600226323765e-01 1.600246160873e-01
2.851200000000e+06 2.632095477299e+02 2.647983421116e+02 2.669075435571e+02 2.673852491749e+02 2.680916439520e+02 2.685459737409e+02 2.688897599279e+02 1.017433416533e-01 1.019015299593e-01 1.021989227617e-01 1.600178286327e-01 1.600204460316e-01 1.600225635970e-01 1.600244779351e-01
2.937600000000e+06 2.647521997070e+02 2.652519990498e+02 2.670021254413e+02 2.674307756230e+02 2.680965536744e+02 2.685344020575e+02 2.688691175230e+02 1.018963098322e-01 1.019552695132e-01 1.022157528870e-01 1.600179766612e-01 1.600204665530e-01 1.600225042440e-01 1.600243540893e-01
3.024000000000e+06 2.663483881804e+02 2.660056778066e+02 2.671764851479e+02 2.675152066206e+02 2.681100302250e+02 2.685260804277e+02 2.688510245009e+02 1.021067163303e-01 1.020556410753e-01 1.022478212758e-01 1.600182578165e-01 1.600205235241e-01 1.600224617492e-01 1.600242465414e-01
3.110400000000e+06 2.660115629610e+02 2.663357532763e+02 2.673258423914e+02 2.676092327676e+02 2.681346327116e+02 2.685233955519e+02 2.688364471028e+02 1.020564869527e-01 1.021047650620e-01 1.022764298922e-01 1.600185819647e-01 1.600206286607e-01 1.600224480722e-01 1.600241605638e-01
