# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.687109016613e+02 2.698391231777e+02 2.701156708025e+02 2.701365078896e+02 2.701480403679e+02 2.701497701535e+02 2.701499642384e+02 1.026072029564e-01 1.030186937323e-01 1.031532071010e-01 1.600352036238e-01 1.600353455548e-01 1.600353668991e-01 1.600353692279e-01
1.728000000000e+05 2.672477738513e+02 2.692453411219e+02 2.700135019410e+02 2.700829852905e+02 2.701339750604e+02 2.701466083162e+02 2.701491170716e+02 1.022613406514e-01 1.027798080981e-01 1.031014427494e-01 1.600345595315e-01 1.600351725887e-01 1.600353278188e-01 1.600353587473e-01
2.592000000000e+05 2.659711554817e+02 2.685875310687e+02 2.698739864557e+02 2.700006484826e+02 2.701064776907e+02 2.701386682240e+02 2.701465392740e+02 1.020507001538e-01 1.025717346030e-01 1.030347075919e-01 1.600336129917e-01 1.600348392653e-01 1.600352300500e-01 1.600353268936e-01
3.456000000000e+05 2.647948566048e+02 2.679165564792e+02 2.697089904324e+02 2.698952868550e+02 2.700651166786e+02 2.701244512155e+02 2.701412396901e+02 1.019011341286e-01 1.024013473185e-01 1.029610853558e-01 1.600324737071e-01 1.600343494916e-01 1.600350563057e-01 1.600352615827e-01
4.320000000000e+05 2.626795901002e+02 2.669893412657e+02 2.694908945801e+02 2.697556289022e+02 2.700070975666e+02 2.701023840750e+02 2.701321845971e+02 1.016987900194e-01 1.022134553832e-01 1.028715219544e-01 1.600310758640e-01 1.600336849282e-01 1.600347899168e-01 1.600351505339e-01
5.184000000000e+05 2.617880487557e+02 2.662412652992e+02 2.692663101389e+02 2.695994766477e+02 2.699341747667e+02 2.700716551241e+02 2.701184928941e+02 1.016310233786e-01 1.020903431757e-01 1.027872986484e-01 1.600296461167e-01 1.600328846778e-01 1.600344254850e-01 1.600349839145e-01
6.048000000000e+05 2.609509278804e+02 2.655996243902e+02 2.690453931037e+02 2.694366662989e+02 2.698497362642e+02 2.700323944627e+02 2.700996183242e+02 1.015743082950e-01 1.019996925558e-01 1.027112922255e-01 1.600282861087e-01 1.600320034027e-01 1.600339705830e-01 1.600347567364e-01
6.912000000000e+05 2.588849682808e+02 2.646868203006e+02 2.687835848127e+02 2.692502072301e+02 2.697521804459e+02 2.699843952446e+02 2.700751410516e+02 1.014564798542e-01 1.018889867919e-01 1.026287994736e-01 1.600268717553e-01 1.600310412112e-01 1.600334301396e-01 1.600344663801e-01
7.776000000000e+05 2.562674943701e+02 2.634809690844e+02 2.684588052742e+02 2.690249873041e+02 2.696368156903e+02 2.699264699261e+02 2.700444576361e+02 1.013397115035e-01 1.017675693347e-01 1.025362293469e-01 1.600253384326e-01 1.600299742191e-01 1.600327998941e-01 1.600341090305e-01
8.640000000000e+05 2.537546550083e+02 2.621412202874e+02 2.680802791730e+02 2.687599315880e+02 2.695002278118e+02 2.698569805695e+02 2.700067218966e+02 1.012508823298e-01 1.016568781323e-01 1.024397816750e-01 1.600237401224e-01 1.600288004501e-01 1.600320738019e-01 1.600336793507e-01
9.504000000000e+05 2.536413739151e+02 2.613703523688e+02 2.677464253541e+02 2.684992464991e+02 2.693498735492e+02 2.697761839789e+02 2.699614149511e+02 1.012472927823e-01 1.016019650301e-01 1.023632753447e-01 1.600223482828e-01 1.600276080790e-01 1.600312680972e-01 1.600331772294e-01
1.036800000000e+06 2.547257520443e+02 2.612153666375e+02 2.675085412362e+02 2.682803376746e+02 2.691991611720e+02 2.696870656172e+02 2.699089427648e+02 1.012830206117e-01 1.015915747773e-01 1.023129597691e-01 1.600212952815e-01 1.600265055199e-01 1.600304240646e-01 1.600326136759e-01
