# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.692895348774e+02 2.696676267113e+02 2.699148865673e+02 2.700303371388e+02 2.701256061777e+02 2.701450391609e+02 2.701487321378e+02 1.027956661450e-01 1.029434541375e-01 1.030538234610e-01 1.600339490317e-01 1.600350704946e-01 1.600353084553e-01 1.600353539871e-01
1.728000000000e+05 2.684802885796e+02 2.690912646376e+02 2.695463022425e+02 2.697883189649e+02 2.700393618860e+02 2.701149124773e+02 2.701368882909e+02 1.025420526075e-01 1.027265621911e-01 1.028935030271e-01 1.600313944768e-01 1.600340514552e-01 1.600349406692e-01 1.600352081331e-01
2.592000000000e+05 2.676849356658e+02 2.684900662374e+02 2.691306377396e+02 2.694931352321e+02 2.699110355319e+02 2.700597035462e+02 2.701112240369e+02 1.023499549002e-01 1.025447162706e-01 1.027398769650e-01 1.600287476592e-01 1.600326387764e-01 1.600342857510e-01 1.600348960825e-01
3.456000000000e+05 2.668172434191e+02 2.678306626350e+02 2.686625377261e+02 2.691490759059e+02 2.697445541135e+02 2.699785396394e+02 2.700691889322e+02 1.021832080491e-01 1.023818974911e-01 1.025931242749e-01 1.600261663971e-01 1.600309689956e-01 1.600333653564e-01 1.600343964892e-01
4.320000000000e+05 2.652440970469e+02 2.667414010872e+02 2.679483005335e+02 2.686505303190e+02 2.695132314569e+02 2.698629059222e+02 2.700062747254e+02 1.019542939691e-01 1.021702671345e-01 1.024086571790e-01 1.600231445112e-01 1.600289095561e-01 1.600321344886e-01 1.600336743224e-01
5.184000000000e+05 2.645090500692e+02 2.660383597914e+02 2.673676149816e+02 2.681818560424e+02 2.692499938016e+02 2.697167945403e+02 2.699213732490e+02 1.018694979135e-01 1.020603517659e-01 1.022846291131e-01 1.600208634705e-01 1.600268694377e-01 1.600307006322e-01 1.600327454827e-01
6.048000000000e+05 2.637037169757e+02 2.653578548449e+02 2.668153366370e+02 2.677264500982e+02 2.689698622267e+02 2.695470346929e+02 2.698161507135e+02 1.017882299339e-01 1.019684809956e-01 1.021828798478e-01 1.600190317013e-01 1.600249862686e-01 1.600291842362e-01 1.600316615732e-01
6.912000000000e+05 2.619747868960e+02 2.641433185545e+02 2.659851784182e+02 2.671152043740e+02 2.686353017106e+02 2.693464852375e+02 2.696886902726e+02 1.016445406698e-01 1.018312373016e-01 1.020527028380e-01 1.600170211302e-01 1.600230510069e-01 1.600275713781e-01 1.600304389901e-01
7.776000000000e+05 2.599196112239e+02 2.626200485748e+02 2.649216335954e+02 2.663325423918e+02 2.682200856663e+02 2.691027614076e+02 2.695334075585e+02 1.015120156868e-01 1.016939965659e-01 1.019156932566e-01 1.600149844260e-01 1.600210231757e-01 1.600258315569e-01 1.600290687875e-01
