# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.600353697889e-01 1.600353697889e-01 1.600353697433e-01 1.600353696705e-01
8.640000000000e+04 2.688953053689e+02 2.696970438479e+02 2.700397273563e+02 2.701040813966e+02 2.701431570810e+02 2.701491829390e+02 2.701498715883e+02 1.026630687338e-01 1.029559606095e-01 1.031144862615e-01 1.600348107311e-01 1.600352853139e-01 1.600353596348e-01 1.600353680814e-01
1.728000000000e+05 2.676624919968e+02 2.690150917812e+02 2.697913038797e+02 2.699650452070e+02 2.701047256940e+02 2.701402695558e+02 2.701474480438e+02 1.023451488640e-01 1.027013450869e-01 1.029971357320e-01 1.600332203286e-01 1.600348183030e-01 1.600352497251e-01 1.600353381168e-01
2.592000000000e+05 2.665422231756e+02 2.683096817297e+02 2.694873813219e+02 2.697739998084e+02 2.700370997060e+02 2.701198816911e+02 2.701406641101e+02 1.021373501508e-01 1.024968831194e-01 1.028701450373e-01 1.600312551454e-01 1.600340256595e-01 1.600350008170e-01 1.600352545036e-01
3.456000000000e+05 2.654435042989e+02 2.675926520826e+02 2.691466483408e+02 2.695443950248e+02 2.699419473839e+02 2.700856562609e+02 2.701275322166e+02 1.019793695985e-01 1.023303803768e-01 1.027453473784e-01 1.600291756255e-01 1.600329688408e-01 1.600345906031e-01 1.600350937438e-01
4.320000000000e+05 2.634280176680e+02 2.664964698943e+02 2.686732798781e+02 2.692343618592e+02 2.698109695500e+02 2.700343654896e+02 2.701059643499e+02 1.017627629788e-01 1.021299985645e-01 1.025962315718e-01 1.600267650674e-01 1.600316156999e-01 1.600339931406e-01 1.600348327962e-01
5.184000000000e+05 2.626107968072e+02 2.657349641183e+02 2.682345114840e+02 2.689111440737e+02 2.696525365120e+02 2.699651896522e+02 2.700743744937e+02 1.016932554042e-01 1.020178282373e-01 1.024777321579e-01 1.600246334653e-01 1.600301177961e-01 1.600332185724e-01 1.600344573635e-01
6.048000000000e+05 2.617813177542e+02 2.650746457582e+02 2.678236689081e+02 2.685907479863e+02 2.694762483818e+02 2.698796138275e+02 2.700320917193e+02 1.016305424004e-01 1.019337207930e-01 1.023803345920e-01 1.600228237912e-01 1.600286062851e-01 1.600323068229e-01 1.600339670509e-01
6.912000000000e+05 2.597245519322e+02 2.639528257871e+02 2.672842856951e+02 2.682050377448e+02 2.692731158286e+02 2.697769633336e+02 2.699784801466e+02 1.015010531307e-01 1.018122214857e-01 1.022683601946e-01 1.600209651378e-01 1.600270392263e-01 1.600312756802e-01 1.600333646307e-01
7.776000000000e+05 2.571748988754e+02 2.624623867106e+02 2.665854711575e+02 2.677194587685e+02 2.690286779516e+02 2.696534755337e+02 2.699120938102e+02 1.013768956755e-01 1.016814985658e-01 1.021443698214e-01 1.600190099258e-01 1.600253635167e-01 1.600301173765e-01 1.600326469899e-01
8.640000000000e+05 2.548714816891e+02 2.609287731784e+02 2.658010453962e+02 2.671565361653e+02 2.687383793231e+02 2.695053156642e+02 2.698309284818e+02 1.012880665083e-01 1.015728873313e-01 1.020268649846e-01 1.600171473216e-01 1.600236202272e-01 1.600288337307e-01 1.600318095491e-01
9.504000000000e+05 2.549744330897e+02 2.603450578469e+02 2.652410355480e+02 2.666694421437e+02 2.684331410152e+02 2.693358688265e+02 2.697344725107e+02 1.012916682287e-01 1.015367948250e-01 1.019539164047e-01 1.600157979552e-01 1.600220225052e-01 1.600274908423e-01 1.600308673627e-01
1.036800000000e+06 2.560861133348e+02 2.604904156426e+02 2.649610087491e+02 2.663320426248e+02 2.681505544229e+02 2.691557122834e+02 2.696250922921e+02 1.013326405097e-01 1.015455474941e-01 1.019202839288e-01 1.600149751816e-01 1.600207192397e-01 1.600261910441e-01 1.600298628419e-01
1.123200000000e+06 2.570233687481e+02 2.608288891194e+02 2.648458810597e+02 2.661181067006e+02 2.679089725910e+02 2.689763665480e+02 2.695072254284e+02 1.013704662939e-01 1.015665288499e-01 1.019069536158e-01 1.600144934904e-01 1.600197175452e-01 1.600250112326e-01 1.600288495508e-01
1.209600000000e+06 2.575933095400e+02 2.611083497063e+02 2.647929967128e+02 2.659764396797e+02 2.677082722973e+02 2.688058076017e+02 2.693857238287e+02 1.013951387276e-01 1.015845182955e-01 1.019009230119e-01 1.600141901497e-01 1.600189537420e-01 1.600239817797e-01 1.600278730490e-01
1.296000000000e+06 2.573432042040e+02 2.610537958394e+02 2.646854943833e+02 2.658375913380e+02 2.675331542750e+02 2.686461942122e+02 2.692641468859e+02 1.013841459810e-01 1.015809573900e-01 1.018888391584e-01 1.600139060866e-01 1.600183329172e-01 1.600230907313e-01 1.600269585523e-01
1.382400000000e+06 2.558230051442e+02 2.603780987268e+02 2.643917034736e+02 2.656165211770e+02 2.673553751967e+02 2.684930095104e+02 2.691435814470e+02 1.013225837305e-01 1.015387711669e-01 1.018569603968e-01 1.600134791256e-01 1.600177428387e-01 1.600222944099e-01 1.600261078116e-01
1.468800000000e+06 2.566977297555e+02 2.604634166061e+02 2.642533164094e+02 2.654480927638e+02 2.671863270184e+02 2.683450310854e+02 2.690243797506e+02 1.013569543090e-01 1.015439103237e-01 1.018424955759e-01 1.600131691822e-01 1.600172150744e-01 1.600215745466e-01 1.600253167774e-01
1.555200000000e+06 2.544929943109e+02 2.595436494536e+02 2.638742012354e+02 2.651793027874e+02 2.670022181495e+02 2.681972450359e+02 2.689055491846e+02 1.012750860255e-01 1.014910989626e-01 1.018045446104e-01 1.600127052475e-01 1.600166748178e-01 1.600208996033e-01 1.600245734977e-01
1.641600000000e+06 2.544604256655e+02 2.591723743110e+02 2.635698280194e+02 2.649171340787e+02 2.668088204208e+02 2.680470252039e+02 2.687859070576e+02 1.012739877828e-01 1.014712821977e-01 1.017757246176e-01 1.600122817162e-01 1.600161420116e-01 1.600202545925e-01 1.600238670369e-01
1.728000000000e+06 2.563105953168e+02 2.597423509658e+02 2.635553087784e+02 2.647930363875e+02 2.666403849422e+02 2.678997818223e+02 2.686661169866e+02 1.013414087263e-01 1.015020434655e-01 1.017743843106e-01 1.600120885447e-01 1.600157036710e-01 1.600196590629e-01 1.600231983995e-01
1.814400000000e+06 2.568327196076e+02 2.600968443455e+02 2.635856665481e+02 2.647320560790e+02 2.665034880536e+02 2.677613757488e+02 2.685482247792e+02 1.013625059440e-01 1.015221900486e-01 1.017771902007e-01 1.600119949965e-01 1.600153636664e-01 1.600191296818e-01 1.600225751785e-01
1.900800000000e+06 2.556592948341e+02 2.597095109751e+02 2.634346838751e+02 2.646086192856e+02 2.663730864827e+02 2.676307651299e+02 2.684333652331e+02 1.013164424368e-01 1.015002177987e-01 1.017633658956e-01 1.600118133098e-01 1.600150531887e-01 1.600186550689e-01 1.600219986898e-01
1.987200000000e+06 2.580550532733e+02 2.605297098265e+02 2.635779379603e+02 2.646122762259e+02 2.662735983701e+02 2.675114794561e+02 2.683231027857e+02 1.014161533003e-01 1.015479396518e-01 1.017764745972e-01 1.600118166376e-01 1.600148239040e-01 1.600182412961e-01 1.600214717216e-01
2.073600000000e+06 2.614916836478e+02 2.621748808922e+02 2.640658496178e+02 2.648211573515e+02 2.662410500713e+02 2.674138675128e+02 2.682211281460e+02 1.016102439539e-01 1.016594075407e-01 1.018234316891e-01 1.600121239147e-01 1.600147489176e-01 1.600179158262e-01 1.600210058674e-01
2.160000000000e+06 2.627908942807e+02 2.633412291570e+02 2.645642909134e+02 2.650995082157e+02 2.662595959075e+02 2.673372649608e+02 2.681276995399e+02 1.017078616626e-01 1.017549698461e-01 1.018754889349e-01 1.600125609999e-01 1.600147886017e-01 1.600176682554e-01 1.600205960721e-01
2.246400000000e+06 2.646328413172e+02 2.644002106483e+02 2.650445455708e+02 2.654034852861e+02 2.663262410163e+02 2.672895231929e+02 2.680480042452e+02 1.018830044888e-01 1.018578608107e-01 1.019301340830e-01 1.600130763468e-01 1.600149383236e-01 1.600175173156e-01 1.600202586702e-01
2.332800000000e+06 2.631865835069e+02 2.644572045805e+02 2.653274756928e+02 2.656559995459e+02 2.664222073592e+02 2.672705090284e+02 2.679851088299e+02 1.017413375021e-01 1.018639272769e-01 1.019646620075e-01 1.600135380242e-01 1.600151604935e-01 1.600174579005e-01 1.600199999280e-01
2.419200000000e+06 2.621150450785e+02 2.639252560335e+02 2.652933396804e+02 2.657239619166e+02 2.664944378043e+02 2.672700320902e+02 2.679395688572e+02 1.016549192464e-01 1.018095183827e-01 1.019603972462e-01 1.600136686402e-01 1.600153325796e-01 1.600174564152e-01 1.600198165802e-01
2.505600000000e+06 2.625129229179e+02 2.638855576303e+02 2.652818452708e+02 2.657429390267e+02 2.665328298001e+02 2.672719314424e+02 2.679049910627e+02 1.016854742334e-01 1.018056473874e-01 1.019589674608e-01 1.600137057239e-01 1.600154257698e-01 1.600174623316e-01 1.600196795469e-01
2.592000000000e+06 2.625988679772e+02 2.639658372956e+02 2.653209179191e+02 2.657746202852e+02 2.665565037008e+02 2.672712570501e+02 2.678766492478e+02 1.016923012267e-01 1.018135014485e-01 1.019638405481e-01 1.600137674135e-01 1.600154837546e-01 1.600174602304e-01 1.600195686011e-01
2.678400000000e+06 2.628056417920e+02 2.640700933056e+02 2.653705097589e+02 2.658108405151e+02 2.665749799980e+02 2.672683851506e+02 2.678518284983e+02 1.017090746427e-01 1.018238566800e-01 1.019700784636e-01 1.600138385315e-01 1.600155292528e-01 1.600174512883e-01 1.600194724382e-01
2.764800000000e+06 2.634380390131e+02 2.643465341039e+02 2.654674633314e+02 2.658676767836e+02 2.665945074135e+02 2.672648875856e+02 2.678293008046e+02 1.017636695824e-01 1.018522015286e-01 1.019824481111e-01 1.600139514303e-01 1.600155775736e-01 1.600174404101e-01 1.600193859555e-01
2.851200000000e+06 2.639592177443e+02 2.646803409361e+02 2.656089478673e+02 2.659551705568e+02 2.666227303010e+02 2.672632494752e+02 2.678091927907e+02 1.018128499322e-01 1.018882656806e-01 1.020009262078e-01 1.600141288595e-01 1.600156479249e-01 1.600174353198e-01 1.600193093937e-01
