# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 2.790303590688e-01 2.790303590688e-01 2.790303590297e-01 2.790303589672e-01
8.640000000000e+04 2.692796139053e+02 2.696537278995e+02 2.698923254155e+02 2.700306202784e+02 2.701340345601e+02 2.701484029405e+02 2.701497838355e+02 1.027920825618e-01 1.029376001624e-01 1.030432343051e-01 2.790291431816e-01 2.790301904623e-01 2.790303420747e-01 2.790303566712e-01
1.728000000000e+05 2.684392079260e+02 2.690400496084e+02 2.694763581815e+02 2.697703218811e+02 2.700639257970e+02 2.701337363932e+02 2.701461757722e+02 1.025309520954e-01 1.027095301049e-01 1.028658376782e-01 2.790268002933e-01 2.790294718289e-01 2.790301872297e-01 2.790303183987e-01
2.592000000000e+05 2.676015587431e+02 2.683886112322e+02 2.689999181170e+02 2.694428337346e+02 2.699502467643e+02 2.701020307473e+02 2.701364352371e+02 1.023322482584e-01 1.025174782779e-01 1.026964049717e-01 2.790243314128e-01 2.790283761993e-01 2.790298577106e-01 2.790302155451e-01
3.456000000000e+05 2.666847625552e+02 2.676693429273e+02 2.684594877927e+02 2.690551164016e+02 2.697951643939e+02 2.700501472351e+02 2.701178892845e+02 1.021607520124e-01 1.023466127733e-01 1.025364137344e-01 2.790219296120e-01 2.790270050530e-01 2.790293333815e-01 2.790300215847e-01
4.320000000000e+05 2.650424568672e+02 2.664955041888e+02 2.676404550382e+02 2.684992700622e+02 2.695787375947e+02 2.699725005105e+02 2.700874873065e+02 1.019298859379e-01 1.021298442146e-01 1.023404585465e-01 2.790192027973e-01 2.790252966174e-01 2.790285814650e-01 2.790297088379e-01
5.184000000000e+05 2.642446853852e+02 2.657118070724e+02 2.669625097317e+02 2.679595400029e+02 2.693208025712e+02 2.698678333928e+02 2.700428169183e+02 1.018416046373e-01 1.020146900419e-01 1.022086565642e-01 2.790171186846e-01 2.790235182810e-01 2.790276255600e-01 2.790292606888e-01
6.048000000000e+05 2.633788577432e+02 2.649532082921e+02 2.663156891393e+02 2.674297148648e+02 2.690365983654e+02 2.697383454144e+02 2.699827259325e+02 1.017583358973e-01 1.019193718566e-01 1.021016776033e-01 2.790154616066e-01 2.790218219236e-01 2.790265261000e-01 2.790286782666e-01
6.912000000000e+05 2.615670344157e+02 2.636359381496e+02 2.653584757280e+02 2.667368941447e+02 2.687018531891e+02 2.695817087883e+02 2.699059014687e+02 1.016154510943e-01 1.017818662600e-01 1.019685592806e-01 2.790137213673e-01 2.790201084796e-01 2.790253053391e-01 2.790279658549e-01
7.776000000000e+05 2.594041397068e+02 2.619806882732e+02 2.641330387944e+02 2.658535491927e+02 2.682915878514e+02 2.693910541947e+02 2.698097842212e+02 1.014835578927e-01 1.016449733899e-01 1.018301957336e-01 2.790119921556e-01 2.790183381301e-01 2.790239600031e-01 2.790271218119e-01
