# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.595234513451e-01 1.595234513451e-01 1.595234512995e-01 1.595234512266e-01
8.640000000000e+04 2.684052851262e+02 2.692268782372e+02 2.697951559327e+02 2.699919599899e+02 2.701250672583e+02 2.701469093124e+02 2.701495042162e+02 5.608411767921e-02 5.608502697832e-02 5.608592423778e-02 1.595215988071e-01 1.595231453556e-01 1.595234130684e-01 1.595234450885e-01
1.728000000000e+05 2.671044024522e+02 2.683474661466e+02 2.693271152217e+02 2.697004738152e+02 2.700339301998e+02 2.701241656973e+02 2.701431085556e+02 5.608319346381e-02 5.608406567996e-02 5.608516539716e-02 1.595186406935e-01 1.595220704447e-01 1.595231341966e-01 1.595233660915e-01
2.592000000000e+05 2.660497808482e+02 2.675791696532e+02 2.688641655283e+02 2.693769806372e+02 2.699024409353e+02 2.700804933487e+02 2.701277775425e+02 5.608269795440e-02 5.608347951197e-02 5.608458147734e-02 1.595159041004e-01 1.595206294912e-01 1.595226105803e-01 1.595231781237e-01
3.456000000000e+05 2.650218422573e+02 2.668316469493e+02 2.683934867083e+02 2.690316026301e+02 2.697399915284e+02 2.700157608653e+02 2.701013260640e+02 5.608234145970e-02 5.608304903745e-02 5.608410696309e-02 1.595134660792e-01 1.595190068251e-01 1.595218619651e-01 1.595228583675e-01
4.320000000000e+05 2.628132689641e+02 2.654481429250e+02 2.676495838980e+02 2.685388571062e+02 2.695243799549e+02 2.699255153900e+02 2.700612330179e+02 5.608182036859e-02 5.608247745895e-02 5.608352625251e-02 1.595106378719e-01 1.595170840256e-01 1.595208696866e-01 1.595223844069e-01
5.184000000000e+05 2.622985948752e+02 2.648382869454e+02 2.671418998870e+02 2.681124561073e+02 2.692858739612e+02 2.698120329060e+02 2.700063488959e+02 5.608173012630e-02 5.608228730583e-02 5.608321437097e-02 1.595086393021e-01 1.595152119309e-01 1.595196999172e-01 1.595217556797e-01
6.048000000000e+05 2.615725209208e+02 2.642441233606e+02 2.666795661183e+02 2.677187216903e+02 2.690395279585e+02 2.696804452976e+02 2.699372016808e+02 5.608161680663e-02 5.608212769637e-02 5.608297392743e-02 1.595070775829e-01 1.595135105055e-01 1.595184416422e-01 1.595209948931e-01
6.912000000000e+05 2.592589523673e+02 2.628083295979e+02 2.658846606601e+02 2.671678877658e+02 2.687520843137e+02 2.695277744803e+02 2.698533214720e+02 5.608133660556e-02 5.608181945868e-02 5.608263370854e-02 1.595052517048e-01 1.595117725014e-01 1.595170990787e-01 1.595201158962e-01
7.776000000000e+05 2.565390117218e+02 2.609845804207e+02 2.648433056896e+02 2.664465778834e+02 2.683967926612e+02 2.693455635003e+02 2.697520878372e+02 5.608110936469e-02 5.608153521189e-02 5.608228875385e-02 1.595033246292e-01 1.595099221939e-01 1.595156411668e-01 1.595191142526e-01
8.640000000000e+05 2.543049231916e+02 2.593234300698e+02 2.637813868812e+02 2.656552408649e+02 2.679792605874e+02 2.691285624870e+02 2.696303376717e+02 5.608097306099e-02 5.608134311085e-02 5.608201776116e-02 1.595016434280e-01 1.595080795120e-01 1.595140813589e-01 1.595179877820e-01
9.504000000000e+05 2.550323477829e+02 2.592586429391e+02 2.633413778104e+02 2.651369140546e+02 2.675795497848e+02 2.688894488185e+02 2.694891786586e+02 5.608101363614e-02 5.608133657449e-02 5.608192308772e-02 1.595007188861e-01 1.595065769631e-01 1.595125509764e-01 1.595167777987e-01
1.036800000000e+06 2.565312559961e+02 2.599066942249e+02 2.633389026286e+02 2.649062414559e+02 2.672555799770e+02 2.686503554720e+02 2.693350728856e+02 5.608110882605e-02 5.608140492007e-02 5.608192257980e-02 1.595003407486e-01 1.595055090515e-01 1.595111872255e-01 1.595155615435e-01
1.123200000000e+06 2.574914009190e+02 2.604402035842e+02 2.634299603935e+02 2.648128045127e+02 2.670097365442e+02 2.684277065408e+02 2.691763495270e+02 5.608117969200e-02 5.608146657027e-02 5.608194144023e-02 1.595001914522e-01 1.595047740268e-01 1.595100444217e-01 1.595144098441e-01
1.209600000000e+06 2.579322254846e+02 2.607140125737e+02 2.634773992589e+02 2.647520228388e+02 2.668189057274e+02 2.682276054087e+02 2.690198378978e+02 5.608121531671e-02 5.608150032348e-02 5.608195141049e-02 1.595000964945e-01 1.595042433258e-01 1.595091076889e-01 1.595133629738e-01
1.296000000000e+06 2.574034061511e+02 2.604399491355e+02 2.633148433369e+02 2.646094786467e+02 2.666438380214e+02 2.680456513465e+02 2.688685938777e+02 5.608117282662e-02 5.608146653960e-02 5.608191765636e-02 1.594998855525e-01 1.595037853097e-01 1.595083212137e-01 1.595124258044e-01
1.382400000000e+06 2.555217289279e+02 2.593406913628e+02 2.627714119013e+02 2.642625225834e+02 2.664329697557e+02 2.678678764920e+02 2.687210295098e+02 5.608104287996e-02 5.608134486298e-02 5.608181268600e-02 1.594994045729e-01 1.595032679887e-01 1.595076064123e-01 1.595115746263e-01
1.468800000000e+06 2.567734812107e+02 2.597544889797e+02 2.627456290093e+02 2.641106477017e+02 2.662407802523e+02 2.676950755308e+02 2.685762637433e+02 5.608112589692e-02 5.608138825688e-02 5.608180798531e-02 1.594992028172e-01 1.595028240123e-01 1.595069573577e-01 1.595107942646e-01
1.555200000000e+06 2.540143784348e+02 2.582817608830e+02 2.620565745036e+02 2.636838345869e+02 2.660044700301e+02 2.675169895812e+02 2.684314144496e+02 5.608095774417e-02 5.608124511093e-02 5.608169066067e-02 1.594986798495e-01 1.595023130046e-01 1.595063311422e-01 1.595100625485e-01
1.641600000000e+06 2.543371747808e+02 2.581225254972e+02 2.617531993627e+02 2.633690917387e+02 2.657609867917e+02 2.673326825108e+02 2.682844468114e+02 5.608097479135e-02 5.608123136086e-02 5.608164361984e-02 1.594983217008e-01 1.595018212025e-01 1.595057244164e-01 1.595093657488e-01
1.728000000000e+06 2.565628905657e+02 2.592039798672e+02 2.620296670700e+02 2.633652132858e+02 2.655837841996e+02 2.671574103554e+02 2.681380769087e+02 5.608111102634e-02 5.608133110812e-02 5.608168638190e-02 1.594983137308e-01 1.595014823013e-01 1.595051829077e-01 1.595087133955e-01
1.814400000000e+06 2.568935245706e+02 2.595247937321e+02 2.621533705232e+02 2.633797825988e+02 2.654563225073e+02 2.669998514435e+02 2.679965054135e+02 5.608113455132e-02 5.608136383464e-02 5.608170623088e-02 1.594983280139e-01 1.595012478942e-01 1.595047231205e-01 1.595081185488e-01
1.900800000000e+06 2.553710168739e+02 2.587456536335e+02 2.618241596079e+02 2.631890383592e+02 2.653139608937e+02 2.668520350313e+02 2.678603595727e+02 5.608103369689e-02 5.608128695294e-02 5.608165439094e-02 1.594981232239e-01 1.595009964012e-01 1.595043131995e-01 1.595075772733e-01
1.987200000000e+06 2.584250268906e+02 2.602149151735e+02 2.623113301242e+02 2.633462393772e+02 2.652360201242e+02 2.667229886409e+02 2.677321759521e+02 5.608125774367e-02 5.608143989913e-02 5.608173225314e-02 1.594982889535e-01 1.595008615348e-01 1.595039711321e-01 1.595070931316e-01
2.073600000000e+06 2.614406751007e+02 2.620536527471e+02 2.631129931354e+02 2.637357831432e+02 2.652372542407e+02 2.666170642501e+02 2.676126333983e+02 5.608159777659e-02 5.608169019503e-02 5.608187730419e-02 1.594987288244e-01 1.595008615543e-01 1.595037007072e-01 1.595066623265e-01
2.160000000000e+06 2.637698267222e+02 2.638087102929e+02 2.640764947880e+02 2.643272636868e+02 2.653537445726e+02 2.665540382003e+02 2.675096898436e+02 5.608201515719e-02 5.608202394215e-02 5.608208654238e-02 1.594994763227e-01 1.595010595660e-01 1.595035440272e-01 1.595063063385e-01
2.246400000000e+06 2.661956496242e+02 2.653482538740e+02 2.649508588378e+02 2.649230711654e+02 2.655514270597e+02 2.665435292175e+02 2.674315547534e+02 5.608275731451e-02 5.608244422406e-02 5.608232022263e-02 1.595003428408e-01 1.595014121896e-01 1.595035182006e-01 1.595060449104e-01
2.332800000000e+06 2.633816269629e+02 2.644130424907e+02 2.649881699167e+02 2.652106222055e+02 2.657627261085e+02 2.665781326018e+02 2.673823953412e+02 5.608193138417e-02 5.608217080731e-02 5.608233133824e-02 1.595008098708e-01 1.595018116929e-01 1.595036035609e-01 1.595058841519e-01
2.419200000000e+06 2.623265831411e+02 2.635973449166e+02 2.646817509918e+02 2.651414628726e+02 2.658721381612e+02 2.666254753084e+02 2.673570840328e+02 5.608173480723e-02 5.608197707308e-02 5.608224302539e-02 1.595006960508e-01 1.595020285964e-01 1.595037218515e-01 1.595058024712e-01
2.505600000000e+06 2.631034096498e+02 2.638774762149e+02 2.647356654568e+02 2.651501846524e+02 2.659165487355e+02 2.666579795010e+02 2.673434914894e+02 5.608187542973e-02 5.608203966356e-02 5.608225808572e-02 1.595007104342e-01 1.595021187174e-01 1.595038040911e-01 1.595057589089e-01
2.592000000000e+06 2.631251112998e+02 2.639820523958e+02 2.648175563923e+02 2.652120678813e+02 2.659571517985e+02 2.666794868376e+02 2.673327814548e+02 5.608187967969e-02 5.608206403605e-02 5.608228134356e-02 1.595008136409e-01 1.595022018815e-01 1.595038589732e-01 1.595057247316e-01
2.678400000000e+06 2.634152922842e+02 2.641521284029e+02 2.649132323010e+02 2.652810055406e+02 2.659971844818e+02 2.666960813346e+02 2.673231430880e+02 5.608193837761e-02 5.608210491614e-02 5.608230911765e-02 1.595009305851e-01 1.595022847558e-01 1.595039015752e-01 1.595056940843e-01
2.764800000000e+06 2.642292607755e+02 2.646183373002e+02 2.651298496914e+02 2.654071117079e+02 2.660459039363e+02 2.667119519551e+02 2.673145866922e+02 5.608212398336e-02 5.608222556147e-02 5.608237451387e-02 1.595011497966e-01 1.595023868110e-01 1.595039425295e-01 1.595056669644e-01
2.851200000000e+06 2.647740689464e+02 2.650321687721e+02 2.653798529967e+02 2.655807064854e+02 2.661177474921e+02 2.667337787003e+02 2.673093307572e+02 5.608226893459e-02 5.608234458098e-02 5.608245464287e-02 1.595014641335e-01 1.595025399358e-01 1.595039991932e-01 1.595056503458e-01
2.937600000000e+06 2.675623534784e+02 2.666240167186e+02 2.661204361340e+02 2.660072736598e+02 2.662589232300e+02 2.667755001570e+02 2.673122113460e+02 5.608346852816e-02 5.608294738743e-02 5.608272639145e-02 1.595023036442e-01 1.595028503812e-01 1.595041086122e-01 1.595056594500e-01
3.024000000000e+06 2.691911798226e+02 2.678365775988e+02 2.668402400716e+02 2.665022223765e+02 2.664609391279e+02 2.668440582794e+02 2.673273633753e+02 5.608497941651e-02 5.608365654791e-02 5.608305339229e-02 1.595034185307e-01 1.595033184226e-01 1.595042916388e-01 1.595057074908e-01
3.110400000000e+06 2.672381147755e+02 2.671052751141e+02 2.667938977948e+02 2.666530300184e+02 2.666269489968e+02 2.669249724898e+02 2.673539771428e+02 5.608326926143e-02 5.608319394735e-02 5.608303004986e-02 1.595037917999e-01 1.595037256995e-01 1.595045129729e-01 1.595057924956e-01
3.196800000000e+06 2.591217917693e+02 2.627101910154e+02 2.650629901430e+02 2.658804467100e+02 2.665644025869e+02 2.669674184349e+02 2.673783355830e+02 5.608132297168e-02 5.608180156321e-02 5.608235394563e-02 1.595020492046e-01 1.595035706076e-01 1.595046314565e-01 1.595058710014e-01
3.283200000000e+06 2.593569410678e+02 2.619988749447e+02 2.643614205190e+02 2.653274681994e+02 2.663956897880e+02 2.669576858184e+02 2.673878381795e+02 5.608134651655e-02 5.608168151140e-02 5.608215745208e-02 1.595010176132e-01 1.595031662137e-01 1.595046041417e-01 1.595059018123e-01
3.369600000000e+06 2.605911123752e+02 2.624135236634e+02 2.642704299894e+02 2.651003001979e+02 2.662385632114e+02 2.669141260734e+02 2.673794606242e+02 5.608148498612e-02 5.608174950754e-02 5.608213429961e-02 1.595006331445e-01 1.595028073020e-01 1.595044829615e-01 1.595058746438e-01
3.456000000000e+06 2.595222775942e+02 2.618420953918e+02 2.639327074745e+02 2.648369660916e+02 2.660834126011e+02 2.668497127499e+02 2.673549278369e+02 5.608136357180e-02 5.608165713540e-02 5.608205246502e-02 1.595002167188e-01 1.595024687506e-01 1.595043069167e-01 1.595057955469e-01
3.542400000000e+06 2.615361616195e+02 2.627632083670e+02 2.641720144725e+02 2.648511959497e+02 2.659853671990e+02 2.667830048582e+02 2.673199369329e+02 5.608161151437e-02 5.608181118775e-02 5.608210979984e-02 1.595002361043e-01 1.595022619876e-01 1.595041284502e-01 1.595056839127e-01
3.628800000000e+06 2.637221214647e+02 2.640633177937e+02 2.647150191037e+02 2.650976229107e+02 2.659752672368e+02 2.667334214161e+02 2.672829173289e+02 5.608200448074e-02 5.608208337338e-02 5.608225229508e-02 1.595006240551e-01 1.595022401614e-01 1.595039982624e-01 1.595055672923e-01
3.715200000000e+06 2.642576900569e+02 2.645977461802e+02 2.650576051164e+02 2.653253796223e+02 2.660170614127e+02 2.667071026926e+02 2.672506564582e+02 5.608213109674e-02 5.608221994789e-02 5.608235230418e-02 1.595010065589e-01 1.595023264506e-01 1.595039299940e-01 1.595054668868e-01
3.801600000000e+06 2.642954412394e+02 2.647517986995e+02 2.652281274496e+02 2.654771248599e+02 2.660731169873e+02 2.666995388457e+02 2.672261066126e+02 5.608214061504e-02 5.608226263091e-02 5.608240539417e-02 1.595012747928e-01 1.595024444168e-01 1.595039104797e-01 1.595053912316e-01
3.888000000000e+06 2.654820491503e+02 2.654449444272e+02 2.655827172173e+02 2.657037008140e+02 2.661541378071e+02 2.667092118542e+02 2.672106286524e+02 5.608248894213e-02 5.608247638105e-02 5.608252365799e-02 1.595016959319e-01 1.595026186056e-01 1.595039354439e-01 1.595053438628e-01
3.974400000000e+06 2.651891565516e+02 2.654495715228e+02 2.657002375026e+02 2.658377168618e+02 2.662333408867e+02 2.667304358081e+02 2.672037168822e+02 5.608239305535e-02 5.608247794068e-02 5.608256540349e-02 1.595019580009e-01 1.595027931413e-01 1.595039904892e-01 1.595053227917e-01
4.060800000000e+06 2.661001664137e+02 2.659712659657e+02 2.659785030312e+02 2.660277194775e+02 2.663236338335e+02 2.667616384002e+02 2.672047213002e+02 5.608271817357e-02 5.608266702737e-02 5.608266984900e-02 1.595023466461e-01 1.595029972390e-01 1.595040720957e-01 1.595053258506e-01
4.147200000000e+06 2.683030611548e+02 2.672706034682e+02 2.666095187864e+02 2.664075651497e+02 2.664649134217e+02 2.668103696390e+02 2.672152961542e+02 5.608402660784e-02 5.608328821234e-02 5.608294053678e-02 1.595031917533e-01 1.595033279643e-01 1.595042011944e-01 1.595053581206e-01
4.233600000000e+06 2.696784719253e+02 2.682929631594e+02 2.672270267918e+02 2.668406304727e+02 2.666536944176e+02 2.668820544446e+02 2.672380648717e+02 5.608571541784e-02 5.608401782480e-02 5.608326284251e-02 1.595042843644e-01 1.595037932357e-01 1.595043948443e-01 1.595054280028e-01
4.320000000000e+06 2.676395222407e+02 2.674765481782e+02 2.671155257433e+02 2.669407048907e+02 2.668007990794e+02 2.669621805063e+02 2.672710548883e+02 5.608351949863e-02 5.608341352196e-02 5.608319963794e-02 1.595045573299e-01 1.595041756828e-01 1.595046167452e-01 1.595055302415e-01
4.406400000000e+06 2.607684007646e+02 2.637316703727e+02 2.656269520467e+02 2.662702227522e+02 2.667495188631e+02 2.670072827267e+02 2.673017679158e+02 5.608150721076e-02 5.608200660890e-02 5.608253921406e-02 1.595028790267e-01 1.595040407370e-01 1.595047442630e-01 1.595056264868e-01
4.492800000000e+06 2.596513308760e+02 2.624150684499e+02 2.647334098560e+02 2.656508311858e+02 2.665760597147e+02 2.670000645070e+02 2.673175599363e+02 5.608137718292e-02 5.608174977096e-02 5.608225745168e-02 1.595016031465e-01 1.595036002087e-01 1.595047237260e-01 1.595056763790e-01
4.579200000000e+06 2.601598121296e+02 2.623345895332e+02 2.643998702869e+02 2.652870950037e+02 2.663855546235e+02 2.669526025297e+02 2.673136859946e+02 5.608143352037e-02 5.608173615084e-02 5.608216738413e-02 1.595009471737e-01 1.595031428658e-01 1.595045899103e-01 1.595056641143e-01
4.665600000000e+06 2.601618954694e+02 2.622263414296e+02 2.641822396085e+02 2.650406763291e+02 2.662121189596e+02 2.668822394184e+02 2.672918411036e+02 5.608143376053e-02 5.608171815606e-02 5.608211231962e-02 1.595005365730e-01 1.595027485336e-01 1.595043953499e-01 1.595055952660e-01
4.752000000000e+06 2.593869851034e+02 2.617284303050e+02 2.638532489423e+02 2.647741992451e+02 2.660424400867e+02 2.667978563959e+02 2.672553319371e+02 5.608134958441e-02 5.608163989249e-02 5.608203409743e-02 1.595001214518e-01 1.595023817202e-01 1.595041678505e-01 1.595054813684e-01
