# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.595234513451e-01 1.595234513451e-01 1.595234512995e-01 1.595234512266e-01
8.640000000000e+04 2.692800475167e+02 2.696543268790e+02 2.698932773727e+02 2.700257716891e+02 2.701305849251e+02 2.701476074065e+02 2.701496174105e+02 1.027922388997e-01 1.029378517234e-01 1.030436788842e-01 1.595219783831e-01 1.595232126015e-01 1.595234216966e-01 1.595234464897e-01
1.728000000000e+05 2.684410920147e+02 2.690424034972e+02 2.694795861889e+02 2.697606935546e+02 2.700510556489e+02 2.701281903813e+02 2.701442084354e+02 1.025314580176e-01 1.027103059212e-01 1.028670970316e-01 1.595192084216e-01 1.595222673582e-01 1.595231832321e-01 1.595233796523e-01
2.592000000000e+05 2.676057802338e+02 2.683937944949e+02 2.690066956339e+02 2.694299725831e+02 2.699255621687e+02 2.700882221182e+02 2.701304719772e+02 1.023331351517e-01 1.025188486746e-01 1.026986081839e-01 1.595163193497e-01 1.595208740632e-01 1.595227021305e-01 1.595232110175e-01
3.456000000000e+05 2.666921134109e+02 2.676783877106e+02 2.684710646950e+02 2.690401475430e+02 2.697571014213e+02 2.700248953513e+02 2.701054091281e+02 1.021619798553e-01 1.023485496788e-01 1.025395474672e-01 1.595135235394e-01 1.595191704946e-01 1.595219656769e-01 1.595229073535e-01
4.320000000000e+05 2.650543574269e+02 2.665101221819e+02 2.676589642383e+02 2.684795520257e+02 2.695224993367e+02 2.699316525781e+02 2.700654355267e+02 1.019313010524e-01 1.021321842328e-01 1.023443961211e-01 1.595103418237e-01 1.595170691958e-01 1.595209353596e-01 1.595224334944e-01
5.184000000000e+05 2.642611900335e+02 2.657323452244e+02 2.669882979470e+02 2.679405138664e+02 2.692468512095e+02 2.698083285985e+02 2.700081100010e+02 1.018433094662e-01 1.020174725921e-01 1.022132681995e-01 1.595079346017e-01 1.595149298297e-01 1.595196631059e-01 1.595217755045e-01
6.048000000000e+05 2.634219172905e+02 2.649929613138e+02 2.663565008505e+02 2.674170635188e+02 2.689474499280e+02 2.696587232186e+02 2.699327901255e+02 1.017622117826e-01 1.019240336716e-01 1.021079720811e-01 1.595060375362e-01 1.595129300526e-01 1.595182432749e-01 1.595209474927e-01
6.912000000000e+05 2.617224227169e+02 2.637495739795e+02 2.654476072744e+02 2.667438813265e+02 2.685980433652e+02 2.694803989650e+02 2.698383893587e+02 1.016263521495e-01 1.017925744839e-01 1.019798957714e-01 1.595040679035e-01 1.595109367111e-01 1.595167057349e-01 1.595199642046e-01
7.776000000000e+05 2.596795922261e+02 2.621860240106e+02 2.642894151556e+02 2.658922898633e+02 2.681730354890e+02 2.692655859702e+02 2.697220595597e+02 1.014985603844e-01 1.016602474600e-01 1.018462360061e-01 1.595021112418e-01 1.595088982193e-01 1.595150454946e-01 1.595188287996e-01
8.640000000000e+05 2.577771068831e+02 2.606189483372e+02 2.630546944227e+02 2.649415096745e+02 2.676736788853e+02 2.690085826432e+02 2.695803504502e+02 1.014033890976e-01 1.015534142917e-01 1.017299603341e-01 1.595004141867e-01 1.595069156490e-01 1.595132908142e-01 1.595175480828e-01
9.504000000000e+05 2.577658586047e+02 2.601644347815e+02 2.624091948134e+02 2.642659476537e+02 2.671839315210e+02 2.687223625154e+02 2.694142243391e+02 1.014028798984e-01 1.015261252785e-01 1.016773444352e-01 1.594994270858e-01 1.595052974126e-01 1.595115820551e-01 1.595161733846e-01
1.036800000000e+06 2.583799826605e+02 2.603104991801e+02 2.622270085016e+02 2.639020746912e+02 2.667695210800e+02 2.684308931624e+02 2.692304586453e+02 1.014315334732e-01 1.015347359112e-01 1.016633477836e-01 1.594989523469e-01 1.595041234301e-01 1.595100599983e-01 1.595147917191e-01
1.123200000000e+06 2.587842684105e+02 2.604860162102e+02 2.621849493541e+02 2.637014429593e+02 2.664383665628e+02 2.681531425112e+02 2.690382822775e+02 1.014513996378e-01 1.015452803618e-01 1.016601664011e-01 1.594987053351e-01 1.595032903368e-01 1.595087787324e-01 1.595134820958e-01
1.209600000000e+06 2.588324125214e+02 2.604870550608e+02 2.621019468380e+02 2.635354937025e+02 2.661655009816e+02 2.678966031615e+02 2.688453413289e+02 1.014538217273e-01 1.015453434279e-01 1.016539416324e-01 1.594985102635e-01 1.595026643682e-01 1.595077185577e-01 1.595122877077e-01
1.296000000000e+06 2.579960259100e+02 2.599397049278e+02 2.617185334351e+02 2.632300205198e+02 2.658970882555e+02 2.676548000988e+02 2.686548113686e+02 1.014134129725e-01 1.015131588365e-01 1.016260765811e-01 1.594981737092e-01 1.595020969050e-01 1.595068120921e-01 1.595112112817e-01
1.382400000000e+06 2.566355235891e+02 2.589660199566e+02 2.610324746262e+02 2.627319340909e+02 2.655869872471e+02 2.674130612144e+02 2.684647797872e+02 1.013544191790e-01 1.014606083660e-01 1.015795722588e-01 1.594976699068e-01 1.595014942364e-01 1.595059841023e-01 1.595102269845e-01
1.468800000000e+06 2.575369104397e+02 2.592486392573e+02 2.609770831890e+02 2.625181561011e+02 2.653116063112e+02 2.671763882753e+02 2.682753690090e+02 1.013926365840e-01 1.014752875098e-01 1.015759908667e-01 1.594974650366e-01 1.595009990035e-01 1.595052399678e-01 1.595093241215e-01
1.555200000000e+06 2.568767276762e+02 2.588425060076e+02 2.606668909779e+02 2.622385901320e+02 2.650489586987e+02 2.669461300167e+02 2.680872813301e+02 1.013643309023e-01 1.014543310833e-01 1.015563798401e-01 1.594972126069e-01 1.595005589274e-01 1.595045718242e-01 1.595084960416e-01
1.641600000000e+06 2.576561102412e+02 2.591828708654e+02 2.607361052975e+02 2.621516577559e+02 2.648350642656e+02 2.667299323308e+02 2.679030722211e+02 1.013979410858e-01 1.014718314987e-01 1.015606916028e-01 1.594971346632e-01 1.595002209052e-01 1.595039891791e-01 1.595077439859e-01
