# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.031711910722e-01 1.031711910722e-01 1.031711910722e-01 1.595234513451e-01 1.595234513451e-01 1.595234512995e-01 1.595234512266e-01
8.640000000000e+04 2.692048131341e+02 2.696117157384e+02 2.698713216728e+02 2.700152061497e+02 2.701289488489e+02 2.701474069711e+02 2.701495854479e+02 1.027655003861e-01 1.029201155230e-01 1.030334745573e-01 1.595218588578e-01 1.595231926347e-01 1.595234192188e-01 1.595234460940e-01
1.728000000000e+05 2.683396881453e+02 2.689735912007e+02 2.694364564939e+02 2.697349765840e+02 2.700442560411e+02 2.701266589073e+02 2.701437979721e+02 1.025046529434e-01 1.026878976700e-01 1.028504066013e-01 1.595189635518e-01 1.595221889076e-01 1.595231645573e-01 1.595233745904e-01
2.592000000000e+05 2.675089169904e+02 2.683200276055e+02 2.689545167037e+02 2.693947607819e+02 2.699132605337e+02 2.700845756657e+02 2.701292731623e+02 1.023130367252e-01 1.024995538824e-01 1.026817840353e-01 1.595160426976e-01 1.595207435426e-01 1.595226588779e-01 1.595231963749e-01
3.456000000000e+05 2.666091824033e+02 2.676099426767e+02 2.684182005793e+02 2.690011071873e+02 2.697403738829e+02 2.700188226294e+02 2.701030806322e+02 1.021482479958e-01 1.023340106328e-01 1.025253316237e-01 1.595132731500e-01 1.595190108296e-01 1.595218966589e-01 1.595228794012e-01
4.320000000000e+05 2.649201512564e+02 2.664111802187e+02 2.675877421070e+02 2.684288117962e+02 2.695003033326e+02 2.699227570274e+02 2.700616603527e+02 1.019155210787e-01 1.021164949804e-01 1.023293525901e-01 1.595100918208e-01 1.595168847573e-01 1.595208402533e-01 1.595223893922e-01
5.184000000000e+05 2.641642092339e+02 2.656481431195e+02 2.669201003760e+02 2.678874921718e+02 2.692203829491e+02 2.697965397211e+02 2.700026608856e+02 1.018333595093e-01 1.020061375699e-01 1.022011350427e-01 1.595077251859e-01 1.595147406088e-01 1.595195465101e-01 1.595217142374e-01
6.048000000000e+05 2.633274740907e+02 2.649119930106e+02 2.662895544660e+02 2.673631782436e+02 2.689178887603e+02 2.696442341849e+02 2.699255640412e+02 1.017537442367e-01 1.019145743087e-01 1.020976763707e-01 1.595058623072e-01 1.595127483585e-01 1.595181123610e-01 1.595208701387e-01
6.912000000000e+05 2.615067279874e+02 2.635964475366e+02 2.653398299451e+02 2.666672743582e+02 2.685613159008e+02 2.694625371842e+02 2.698291413677e+02 1.016112795397e-01 1.017781898856e-01 1.019662123774e-01 1.595038704947e-01 1.595107453322e-01 1.595165601234e-01 1.595198709577e-01
7.776000000000e+05 2.594054410888e+02 2.619815703419e+02 2.641424752691e+02 2.657879754484e+02 2.681251257948e+02 2.692429679443e+02 2.697102633066e+02 1.014836277032e-01 1.016450380974e-01 1.018311517907e-01 1.595019036049e-01 1.595086907089e-01 1.595148815695e-01 1.595187180604e-01
