name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.0025,0.005,0.015,0.0025,0.00247092,-0.00244184,0.00744184
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.000616024,0.000666825,-0.000717626,0.00194968
N_P,1.5,0.25625,0.9875,2.0125,1.27833,0.235779,0.806768,1.74988
N_M,2.05,0.5125,1.025,3.075,1.96334,0.509477,0.944389,2.9823
WR_P,0.1,0.044,0.012,0.188,0.14191,0.0439065,0.0540974,0.229723
WR_M,0.159488,0.059808,0.039872,0.279104,0.207311,0.0593807,0.0885498,0.326073
TCS_P,0.439577,0.164841,0.109894,0.769259,0.533353,0.161808,0.209737,0.856969
TCS_M,0.952105,0.357039,0.238026,1.66618,0.669427,0.354518,-0.0396097,1.37846
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.157329,0.0378771,0.081575,0.233083
TCD_M,0.984405,0.369152,0.246101,1.72271,0.958809,0.368988,0.220833,1.69679
AF_P,1.50511,0.564418,0.376279,2.63395,1.29341,0.562767,0.167877,2.41894
AF_M,1.49939,0.562271,0.374847,2.62393,1.50117,0.561877,0.37742,2.62493
AUF_P,0.486935,0.182601,0.121734,0.852137,0.322757,0.182203,-0.0416489,0.687163
AUF_M,0.698884,0.262082,0.174721,1.22305,0.711017,0.261937,0.187143,1.23489
POR_P,0.63739,0.17275,0.29189,0.98289,0.452611,0.162964,0.126684,0.778539
POR_M,0.481031,0.180387,0.120258,0.841804,0.360165,0.171565,0.017035,0.703295
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,5.30904e-11,2.00402e-11,1.301e-11,9.31707e-11
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,1.75e-13,3.74988e-14,1.00002e-13,2.49998e-13
DEN_P,900,337.5,225,1575,900,337.237,225.526,1574.47
DEN_M,1900,475,950,2850,1900,474.692,950.616,2849.38
ALBEDO_BG,0.55,0.20625,0.1375,0.9625,0.492437,0.198385,0.095667,0.889206
E_BG,0.75,0.115625,0.51875,0.98125,0.769407,0.113383,0.542641,0.996172
PEN_W,0.01,0.00375,0.0025,0.0175,0.00953793,0.00375,0.00203794,0.0170379
PEN_S,0.02,0.0075,0.005,0.035,0.034662,0.00749949,0.019663,0.049661
Z_BG,0.04,0.015,0.01,0.07,0.0307018,0.0149406,0.00082056,0.060583
Z_S,0.005,0.001875,0.00125,0.00875,0.00875,0.0018748,0.00500039,0.0124996
