name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.0025,0.005,0.015,0.00299971,0.00240511,-0.0018105,0.00780993
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.000456229,0.00064509,-0.00083395,0.00174641
N_P,1.5,0.25625,0.9875,2.0125,1.15653,0.153487,0.84956,1.46351
N_M,2.05,0.5125,1.025,3.075,2.03478,0.511844,1.01109,3.05846
WR_P,0.1,0.044,0.012,0.188,0.024,0.0438058,-0.0636116,0.111612
WR_M,0.159488,0.059808,0.039872,0.279104,0.276669,0.0596233,0.157423,0.395916
TCS_P,0.439577,0.164841,0.109894,0.769259,0.769259,0.164356,0.440546,1.09797
TCS_M,0.952105,0.357039,0.238026,1.66618,0.238026,0.343365,-0.448705,0.924757
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.115755,0.0378611,0.0400325,0.191477
TCD_M,0.984405,0.369152,0.246101,1.72271,1.14508,0.3687,0.40768,1.88248
AF_P,1.50511,0.564418,0.376279,2.63395,0.91046,0.563603,-0.216746,2.03767
AF_M,1.49939,0.562271,0.374847,2.62393,1.66879,0.561136,0.546521,2.79106
AUF_P,0.486935,0.182601,0.121734,0.852137,0.121734,0.180348,-0.238962,0.48243
AUF_M,0.698884,0.262082,0.174721,1.22305,1.15541,0.261937,0.631539,1.67929
POR_P,0.63739,0.17275,0.29189,0.98289,0.443895,0.164774,0.114347,0.773442
POR_M,0.481031,0.180387,0.120258,0.841804,0.293969,0.171412,-0.0488549,0.636793
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,9.35659e-11,2.00421e-11,5.34818e-11,1.3365e-10
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,1.75e-13,3.74997e-14,1.00001e-13,2.49999e-13
DEN_P,900,337.5,225,1575,900,337.427,225.146,1574.85
DEN_M,1900,475,950,2850,1900,474.527,950.945,2849.05
ALBEDO_BG,0.55,0.20625,0.1375,0.9625,0.151477,0.201474,-0.25147,0.554425
E_BG,0.75,0.115625,0.51875,0.98125,0.879419,0.114343,0.650732,1.10811
PEN_W,0.01,0.00375,0.0025,0.0175,0.0025,0.00374999,-0.00499998,0.00999998
PEN_S,0.02,0.0075,0.005,0.035,0.035,0.00749936,0.0200013,0.0499987
Z_BG,0.04,0.015,0.01,0.07,0.0414273,0.0149446,0.0115382,0.0713164
Z_S,0.005,0.001875,0.00125,0.00875,0.00875,0.00187483,0.00500033,0.0124997
