iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
0,0,0.1,1,0.00792282,0.00172334,1.50674,2.06581,0.105745,0.161176,0.442379,0.938151,0.115448,0.984502,1.49004,1.50081,0.496737,0.699107,0.616805,0.473864,6.19163e-11,1.1393e-13,900,1900,0.533817,0.768458,0.00255349,0.00610836,0.0395677,0.00875
0,0,0.1,0.75,0.00844211,0.00174874,1.50506,2.06185,0.104309,0.160754,0.441678,0.941639,0.111842,0.984478,1.49381,1.50046,0.494287,0.699051,0.621951,0.475656,5.98038e-11,1.10447e-13,900,1900,0.537863,0.763843,0.00441512,0.00958127,0.0396757,0.0078125
0,0,1,1,0.00610326,0.00170439,1.50408,2.05975,0.1087,0.160281,0.450839,0.948478,0.112994,0.984222,1.49993,1.49983,0.48599,0.69894,0.601351,0.469263,6.46465e-11,1.29676e-13,900,1900,0.540079,0.770885,0.009489,0.0114643,0.0372267,0.00875
0,0,1,0.75,0.00707744,0.00173452,1.50306,2.05731,0.106525,0.160083,0.448023,0.949385,0.110001,0.984268,1.50122,1.49972,0.486226,0.698926,0.610361,0.472205,6.18514e-11,1.22257e-13,900,1900,0.542559,0.765664,0.00961675,0.0135982,0.03792,0.0078125
0,0,10,1,0.00302416,0.00181374,1.50203,2.05266,0.106819,0.158623,0.450911,0.951076,0.106638,0.984325,1.50308,1.49948,0.484269,0.698901,0.610745,0.471507,3.74109e-11,1.48884e-13,900,1900,0.548649,0.760311,0.0102899,0.0191253,0.0343287,0.00875
0,0,10,0.75,0.00476812,0.00181653,1.50152,2.05199,0.105114,0.158839,0.448078,0.951334,0.105234,0.984345,1.50359,1.49946,0.484936,0.698897,0.617406,0.473888,4.14247e-11,1.36663e-13,900,1900,0.548987,0.757733,0.0102174,0.019344,0.0357466,0.0078125
0,0,100,1,0.00375995,0.00198642,1.50036,2.05053,0.101154,0.158808,0.442619,0.951856,0.102142,0.984385,1.50462,1.49939,0.486177,0.698886,0.630881,0.478495,1.33666e-11,1.48696e-13,900,1900,0.549449,0.751914,0.0100957,0.0203456,0.0373013,0.00776568
0,0,100,0.75,0.00531997,0.00194604,1.50027,2.0504,0.100865,0.158978,0.441858,0.951918,0.101862,0.98439,1.50474,1.49939,0.486367,0.698886,0.632508,0.479129,2.33915e-11,1.36522e-13,900,1900,0.549587,0.751435,0.0100717,0.0202592,0.037976,0.00707426
0,0,1000,1,0.00856938,0.00199521,1.50002,2.05007,0.100045,0.159384,0.43996,0.952073,0.10114,0.984403,1.50505,1.49939,0.486841,0.698884,0.636573,0.480716,1.9187e-11,1.25576e-13,900,1900,0.549938,0.750252,0.0100142,0.020088,0.0397272,0.00555107
0,0,1000,0.75,0.00892704,0.00195264,1.50002,2.05005,0.100034,0.15941,0.439864,0.952081,0.101111,0.984404,1.50507,1.49939,0.486865,0.698884,0.636777,0.480795,2.77568e-11,1.19182e-13,900,1900,0.549953,0.750189,0.0100107,0.020066,0.0397954,0.0054133
1,0,0.1,1,0.0025,0.00156928,1.51257,2.07235,0.116343,0.165432,0.460556,0.940222,0.130452,0.985317,1.49026,1.49697,0.489767,0.697959,0.590182,0.459994,3.96495e-11,1.7037e-13,900,1900,0.559149,0.765653,0.0108583,0.0214688,0.032114,0.00875
