# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.243246802563e-01 2.243246802563e-01 2.243246802563e-01 2.243246802563e-01 1.595234513451e-01 1.595234513451e-01 1.595234512995e-01 1.595234512266e-01
8.640000000000e+04 2.689210082020e+02 2.689210082020e+02 2.695314041278e+02 2.699140361210e+02 2.700451310127e+02 2.701336969497e+02 2.701479976348e+02 2.701496803623e+02 2.243244911899e-01 2.243244911899e-01 2.243245670297e-01 2.243246312999e-01 1.595221996622e-01 1.595232506460e-01 1.595234265215e-01 1.595234472690e-01
1.728000000000e+05 2.676335743197e+02 2.676335743197e+02 2.687120259037e+02 2.694944368840e+02 2.697959577135e+02 2.700610031073e+02 2.701305153206e+02 2.701448420451e+02 2.243243916502e-01 2.243243916502e-01 2.243244705738e-01 2.243245616195e-01 1.595195506718e-01 1.595223827884e-01 1.595232116195e-01 1.595233874689e-01
2.592000000000e+05 2.664098208047e+02 2.664098208047e+02 2.678622566428e+02 2.690070008542e+02 2.694747329471e+02 2.699420405748e+02 2.700933095941e+02 2.701321847887e+02 2.243243357587e-01 2.243243357587e-01 2.243244053704e-01 2.243245003568e-01 1.595166790363e-01 1.595210505499e-01 1.595227626526e-01 1.595232319588e-01
3.456000000000e+05 2.653272519851e+02 2.653272519851e+02 2.670605664341e+02 2.685029112606e+02 2.691157855187e+02 2.697845587964e+02 2.700341684107e+02 2.701088842853e+02 2.243243024309e-01 2.243243024309e-01 2.243243623259e-01 2.243244520253e-01 1.595140218028e-01 1.595194360255e-01 1.595220715996e-01 1.595229491525e-01
4.320000000000e+05 2.643207144342e+02 2.643207144342e+02 2.662970936655e+02 2.679957608914e+02 2.687364256439e+02 2.695969510092e+02 2.699533728472e+02 2.700732090909e+02 2.243242795843e-01 2.243242795843e-01 2.243243317316e-01 2.243244140175e-01 1.595116918295e-01 1.595177040324e-01 1.595211698609e-01 1.595225246561e-01
5.184000000000e+05 2.634493258831e+02 2.634493258831e+02 2.656043534488e+02 2.675067826154e+02 2.683536258269e+02 2.693878417967e+02 2.698528712828e+02 2.700245122288e+02 2.243242640711e-01 2.243242640711e-01 2.243243099379e-01 2.243243845816e-01 1.595097208706e-01 1.595159815309e-01 1.595201113684e-01 1.595219612447e-01
6.048000000000e+05 2.626911891518e+02 2.626911891518e+02 2.649817131275e+02 2.670446357790e+02 2.679780033432e+02 2.691648847501e+02 2.697354985995e+02 2.699630341899e+02 2.243242529235e-01 2.243242529235e-01 2.243242938707e-01 2.243243615989e-01 1.595080755310e-01 1.595143481057e-01 1.595189559844e-01 1.595212751535e-01
6.912000000000e+05 2.619358987007e+02 2.619358987007e+02 2.643752002723e+02 2.665924189330e+02 2.676056977061e+02 2.689320721408e+02 2.696039560604e+02 2.698895335078e+02 2.243242434946e-01 2.243242434946e-01 2.243242806703e-01 2.243243426143e-01 1.595066691970e-01 1.595128304794e-01 1.595177541939e-01 1.595204896820e-01
7.776000000000e+05 2.613112221266e+02 2.613112221266e+02 2.638381634051e+02 2.661692701178e+02 2.672462085612e+02 2.686939626564e+02 2.694609508018e+02 2.698050947028e+02 2.243242367149e-01 2.243242367149e-01 2.243242705889e-01 2.243243273422e-01 1.595054827884e-01 1.595114455950e-01 1.595165472609e-01 1.595196309706e-01
