# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.685332491404e+02 2.685332491404e+02 2.693054149824e+02 2.698543002748e+02 2.700055243077e+02 2.701199266688e+02 2.701456510439e+02 2.701492393466e+02 5.608423751393e-02 5.608423751393e-02 5.608513480332e-02 5.608603587590e-02 1.590337088837e-01 1.590350435209e-01 1.590353583393e-01 1.590354026485e-01
1.728000000000e+05 2.670771414327e+02 2.670771414327e+02 2.683859366463e+02 2.694190035416e+02 2.697246482523e+02 2.700156110548e+02 2.701166849735e+02 2.701405625048e+02 5.608317843028e-02 5.608317843028e-02 5.608410013416e-02 5.608529899001e-02 1.590308206988e-01 1.590338217341e-01 1.590350040121e-01 1.590352955148e-01
2.592000000000e+05 2.658163129447e+02 2.658163129447e+02 2.675222810092e+02 2.689540936939e+02 2.693936724049e+02 2.698632649257e+02 2.700619570396e+02 2.701203327258e+02 5.608260798350e-02 5.608260798350e-02 5.608344262531e-02 5.608468457245e-02 1.590279841091e-01 1.590321810110e-01 1.590343531455e-01 1.590350481788e-01
3.456000000000e+05 2.647804340210e+02 2.647804340210e+02 2.667689752086e+02 2.685023551650e+02 2.690475898430e+02 2.696777263074e+02 2.699822927048e+02 2.700861819191e+02 5.608227074257e-02 5.608227074257e-02 5.608301764020e-02 5.608420796299e-02 1.590255169673e-01 1.590303821123e-01 1.590334468972e-01 1.590346382348e-01
4.320000000000e+05 2.638374153132e+02 2.638374153132e+02 2.660735639131e+02 2.680614297928e+02 2.686960406324e+02 2.694696052864e+02 2.698806681191e+02 2.700374176667e+02 5.608203047578e-02 5.608203047578e-02 5.608270746148e-02 5.608382623830e-02 1.590234110215e-01 1.590285849186e-01 1.590323564996e-01 1.590340688510e-01
5.184000000000e+05 2.630486275997e+02 2.630486275997e+02 2.654636866724e+02 2.676464308157e+02 2.683515957074e+02 2.692480866281e+02 2.697610022038e+02 2.699745762315e+02 5.608186478481e-02 5.608186478481e-02 5.608248271032e-02 5.608352413328e-02 1.590216526552e-01 1.590268870728e-01 1.590311584028e-01 1.590333615228e-01
6.048000000000e+05 2.623724729770e+02 2.623724729770e+02 2.649250964567e+02 2.672590560028e+02 2.680199339944e+02 2.690200761910e+02 2.696272832121e+02 2.698989484993e+02 5.608174253615e-02 5.608174253615e-02 5.608231260795e-02 5.608328145206e-02 1.590201871076e-01 1.590253335767e-01 1.590299182141e-01 1.590325474212e-01
6.912000000000e+05 2.616730893931e+02 2.616730893931e+02 2.643863777413e+02 2.668760314585e+02 2.676915090386e+02 2.687871461469e+02 2.694824732280e+02 2.698120206058e+02 5.608163162428e-02 5.608163162428e-02 5.608216388865e-02 5.608307166236e-02 1.590189153167e-01 1.590239177677e-01 1.590286796200e-01 1.590316583626e-01
7.776000000000e+05 2.611188864436e+02 2.611188864436e+02 2.639209223882e+02 2.665201964772e+02 2.673768518146e+02 2.685532228177e+02 2.693292452646e+02 2.697153316999e+02 5.608155312909e-02 5.608155312909e-02 5.608204972028e-02 5.608289900737e-02 1.590178353363e-01 1.590226433336e-01 1.590274737239e-01 1.590307236296e-01
