# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.683882707047e+02 2.683882707047e+02 2.692598797567e+02 2.698516885576e+02 2.700198004832e+02 2.701295158205e+02 2.701474642016e+02 2.701495934526e+02 5.608410224292e-02 5.608410224292e-02 5.608507174322e-02 5.608603085951e-02 1.590338706335e-01 1.590351602467e-01 1.590353807519e-01 1.590354070342e-01
1.728000000000e+05 2.667821743991e+02 2.667821743991e+02 2.682520035783e+02 2.693913959982e+02 2.697454585978e+02 2.700469314112e+02 2.701272337647e+02 2.701439470581e+02 5.608302420004e-02 5.608302420004e-02 5.608398257963e-02 5.608525814870e-02 1.590310211463e-01 1.590341798481e-01 1.590351322442e-01 1.590353372288e-01
2.592000000000e+05 2.654149410744e+02 2.654149410744e+02 2.673136440763e+02 2.689010142295e+02 2.694174383530e+02 2.699199603472e+02 2.700863406089e+02 2.701298148737e+02 5.608246631439e-02 5.608246631439e-02 5.608331365150e-02 5.608462318028e-02 1.590281765913e-01 1.590327737644e-01 1.590346401894e-01 1.590351636878e-01
3.456000000000e+05 2.643214818887e+02 2.643214818887e+02 2.665111092519e+02 2.684303430420e+02 2.690739716883e+02 2.697606910431e+02 2.700241832638e+02 2.701047868515e+02 5.608214722942e-02 5.608214722942e-02 5.608289484659e-02 5.608414062074e-02 1.590256976145e-01 1.590311630420e-01 1.590339175339e-01 1.590348603984e-01
4.320000000000e+05 2.633485684244e+02 2.633485684244e+02 2.657873313262e+02 2.679788403907e+02 2.687277530204e+02 2.695792144081e+02 2.699425382141e+02 2.700677816205e+02 5.608192456477e-02 5.608192456477e-02 5.608259722315e-02 5.608376215182e-02 1.590235954303e-01 1.590295069321e-01 1.590330119099e-01 1.590344212185e-01
5.184000000000e+05 2.625538328792e+02 2.625538328792e+02 2.651654208114e+02 2.675606548814e+02 2.683914799419e+02 2.693842654401e+02 2.698444028915e+02 2.700188302797e+02 5.608177375432e-02 5.608177375432e-02 5.608238560078e-02 5.608346742246e-02 1.590218515647e-01 1.590279094251e-01 1.590319840180e-01 1.590338566044e-01
6.048000000000e+05 2.618866621011e+02 2.618866621011e+02 2.646270472173e+02 2.671764678818e+02 2.680708636020e+02 2.691825533954e+02 2.697331166605e+02 2.699587298177e+02 5.608166399371e-02 5.608166399371e-02 5.608222794436e-02 5.608323388327e-02 1.590204078170e-01 1.590264250241e-01 1.590308915623e-01 1.590331876665e-01
6.912000000000e+05 2.611981529503e+02 2.611981529503e+02 2.640949832231e+02 2.668017439179e+02 2.677571443895e+02 2.689764666662e+02 2.696114017008e+02 2.698885991299e+02 5.608156389790e-02 5.608156389790e-02 5.608209100471e-02 5.608303397734e-02 1.590191649036e-01 1.590250596059e-01 1.590297773007e-01 1.590324390244e-01
7.776000000000e+05 2.606672165230e+02 2.606672165230e+02 2.636447645885e+02 2.664585650649e+02 2.674593604339e+02 2.687694900559e+02 2.694817522312e+02 2.698097053725e+02 5.608149444696e-02 5.608149444696e-02 5.608198740199e-02 5.608287101532e-02 1.590181142905e-01 1.590238201679e-01 1.590286737039e-01 1.590316353319e-01
