# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.243284709440e-01 2.243284709440e-01 2.243284709440e-01 2.243284709440e-01 1.596398658809e-01 1.596398658809e-01 1.596398656855e-01 1.596398653729e-01
8.640000000000e+04 2.689444436094e+02 2.689444436094e+02 2.695542200662e+02 2.699435466139e+02 2.700591351651e+02 2.701345314373e+02 2.701480001423e+02 2.701496815833e+02 2.243271781735e-01 2.243271781735e-01 2.243277210333e-01 2.243281787232e-01 1.596351911847e-01 1.596390487972e-01 1.596397595368e-01 1.596398484622e-01
1.728000000000e+05 2.676954733506e+02 2.676954733506e+02 2.687797208787e+02 2.695803347860e+02 2.698434405372e+02 2.700657812603e+02 2.701307841078e+02 2.701449230965e+02 2.243264527027e-01 2.243264527027e-01 2.243270581194e-01 2.243277485340e-01 1.596251594418e-01 1.596355208362e-01 1.596388517032e-01 1.596395961837e-01
2.592000000000e+05 2.665138356510e+02 2.665138356510e+02 2.679823671659e+02 2.691578024072e+02 2.695638205536e+02 2.699530910636e+02 2.700942959589e+02 2.701325195621e+02 2.243260227913e-01 2.243260227913e-01 2.243265875791e-01 2.243273487913e-01 1.596139966512e-01 1.596300776352e-01 1.596369622712e-01 1.596389424249e-01
3.456000000000e+05 2.654703100751e+02 2.654703100751e+02 2.672327049363e+02 2.687183794995e+02 2.692487278770e+02 2.698034111362e+02 2.700363892295e+02 2.701097235416e+02 2.243257555040e-01 2.243257555040e-01 2.243262633549e-01 2.243270157491e-01 1.596033741937e-01 1.596234304841e-01 1.596340568904e-01 1.596377551624e-01
4.320000000000e+05 2.644982843431e+02 2.644982843431e+02 2.665178299610e+02 2.682724772066e+02 2.689123532232e+02 2.696242893458e+02 2.699572808130e+02 2.700748333575e+02 2.243255658422e-01 2.243255658422e-01 2.243260239803e-01 2.243267405350e-01 1.595938107720e-01 1.596162357983e-01 1.596302622597e-01 1.596359729457e-01
5.184000000000e+05 2.636541670133e+02 2.636541670133e+02 2.658671856612e+02 2.678380255412e+02 2.685690566903e+02 2.694235655072e+02 2.698587569925e+02 2.700271773811e+02 2.243254333777e-01 2.243254333777e-01 2.243258479044e-01 2.243265178531e-01 1.595855251626e-01 1.596090135209e-01 1.596257976055e-01 1.596336045815e-01
6.048000000000e+05 2.629161931401e+02 2.629161931401e+02 2.652792540163e+02 2.674224580473e+02 2.682280571486e+02 2.692082717954e+02 2.697434593397e+02 2.699669300447e+02 2.243253359070e-01 2.243253359070e-01 2.243257144279e-01 2.243263372005e-01 1.595784605084e-01 1.596021018000e-01 1.596209087720e-01 1.596307144632e-01
6.912000000000e+05 2.621767689548e+02 2.621767689548e+02 2.647022453075e+02 2.670113470066e+02 2.678862911598e+02 2.689820761130e+02 2.696138747284e+02 2.698947537080e+02 2.243252517191e-01 2.243252517191e-01 2.243256019291e-01 2.243261831205e-01 1.595723175223e-01 1.595956254276e-01 1.596158037962e-01 1.596273964098e-01
7.776000000000e+05 2.615628986029e+02 2.615628986029e+02 2.641884094460e+02 2.666221117618e+02 2.675524610377e+02 2.687493048823e+02 2.694725522831e+02 2.698116331827e+02 2.243251901961e-01 2.243251901961e-01 2.243255142390e-01 2.243260555517e-01 1.595670556109e-01 1.595896702636e-01 1.596106564528e-01 1.596237573472e-01
