# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.243284709440e-01 2.243284709440e-01 2.243284709440e-01 2.243284709440e-01 1.595234513451e-01 1.595234513451e-01 1.595234512995e-01 1.595234512266e-01
8.640000000000e+04 2.689358073403e+02 2.689358073403e+02 2.695402241432e+02 2.699169522503e+02 2.700463670845e+02 2.701338984767e+02 2.701480231186e+02 2.701496844925e+02 2.243271716401e-01 2.243271716401e-01 2.243277064624e-01 2.243281438602e-01 1.595222138909e-01 1.595232531126e-01 1.595234268366e-01 1.595234473202e-01
1.728000000000e+05 2.676585993259e+02 2.676585993259e+02 2.687279604612e+02 2.695000269390e+02 2.697988246338e+02 2.700617737862e+02 2.701306911881e+02 2.701448895084e+02 2.243264364147e-01 2.243264364147e-01 2.243270222875e-01 2.243276652507e-01 1.595195788160e-01 1.595223917636e-01 1.595232137686e-01 1.595233880546e-01
2.592000000000e+05 2.664406045257e+02 2.664406045257e+02 2.678826018753e+02 2.690141315722e+02 2.694787752552e+02 2.699434450228e+02 2.700937263831e+02 2.701323221524e+02 2.243260012488e-01 2.243260012488e-01 2.243265389681e-01 2.243272319169e-01 1.595167119485e-01 1.595210656772e-01 1.595227676200e-01 1.595232336393e-01
3.456000000000e+05 2.653598885680e+02 2.653598885680e+02 2.670825512096e+02 2.685102608967e+02 2.691202690602e+02 2.697864748385e+02 2.700348632656e+02 2.701091508211e+02 2.243257315119e-01 2.243257315119e-01 2.243262082746e-01 2.243268805472e-01 1.595140519989e-01 1.595194547293e-01 1.595220795627e-01 1.595229523624e-01
4.320000000000e+05 2.643534550967e+02 2.643534550967e+02 2.663191477478e+02 2.680023913499e+02 2.687406857102e+02 2.695991550843e+02 2.699543237933e+02 2.700736242003e+02 2.243255412596e-01 2.243255412596e-01 2.243259665636e-01 2.243265975688e-01 1.595117157346e-01 1.595177232897e-01 1.595211802024e-01 1.595225295374e-01
5.184000000000e+05 2.634805065396e+02 2.634805065396e+02 2.656251401218e+02 2.675119339308e+02 2.683570817103e+02 2.693900660694e+02 2.698540062094e+02 2.700250701103e+02 2.243254090663e-01 2.243254090663e-01 2.243257903622e-01 2.243263737909e-01 1.595097372644e-01 1.595159988281e-01 1.595201229523e-01 1.595219675973e-01
6.048000000000e+05 2.627200210243e+02 2.627200210243e+02 2.650004691332e+02 2.670478261179e+02 2.679802212659e+02 2.691668634316e+02 2.697367127576e+02 2.699637049928e+02 2.243253123768e-01 2.243253123768e-01 2.243256580328e-01 2.243261959322e-01 1.595080845902e-01 1.595143617978e-01 1.595189675195e-01 1.595212824932e-01
6.912000000000e+05 2.619628527714e+02 2.619628527714e+02 2.643920236869e+02 2.665935296160e+02 2.676064504195e+02 2.689335832749e+02 2.696051302238e+02 2.698902685700e+02 2.243252294928e-01 2.243252294928e-01 2.243255477245e-01 2.243260467960e-01 1.595066719235e-01 1.595128398086e-01 1.595177645169e-01 1.595204973576e-01
7.776000000000e+05 2.613355282798e+02 2.613355282798e+02 2.638523210324e+02 2.661679873593e+02 2.672452431280e+02 2.686948048768e+02 2.694619617510e+02 2.698058323799e+02 2.243251690739e-01 2.243251690739e-01 2.243254622572e-01 2.243259251236e-01 1.595054798937e-01 1.595114502703e-01 1.595165554565e-01 1.595196382800e-01
