# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.685156199793e+02 2.685156199793e+02 2.692800210139e+02 2.698129327821e+02 2.699998454329e+02 2.701264449408e+02 2.701470992629e+02 2.701495375967e+02 5.608422060167e-02 5.608422060167e-02 5.608509944849e-02 5.608595736615e-02 1.590336463669e-01 1.590351227956e-01 1.590353762386e-01 1.590354063423e-01
1.728000000000e+05 2.670201485133e+02 2.670201485133e+02 2.683106990216e+02 2.693135763717e+02 2.696971013715e+02 2.700349720173e+02 2.701246929849e+02 2.701433008168e+02 5.608314744353e-02 5.608314744353e-02 5.608403327608e-02 5.608514626794e-02 1.590305679503e-01 1.590340424240e-01 1.590351012744e-01 1.590353292565e-01
2.592000000000e+05 2.657181052664e+02 2.657181052664e+02 2.673932002199e+02 2.687816348103e+02 2.693371132252e+02 2.698955401652e+02 2.700797965133e+02 2.701278124369e+02 5.608257186909e-02 5.608257186909e-02 5.608336170033e-02 5.608449069037e-02 1.590275577885e-01 1.590325165301e-01 1.590345626933e-01 1.590351392327e-01
3.456000000000e+05 2.646469663062e+02 2.646469663062e+02 2.665905635117e+02 2.682681043810e+02 2.689596663622e+02 2.697209485425e+02 2.700117681917e+02 2.701004741299e+02 5.608223341271e-02 5.608223341271e-02 5.608293162677e-02 5.608399636182e-02 1.590249668143e-01 1.590307855375e-01 1.590337767087e-01 1.590348086523e-01
4.320000000000e+05 2.636752572121e+02 2.636752572121e+02 2.658517875670e+02 2.677711201286e+02 2.685772386177e+02 2.695216574111e+02 2.699224165572e+02 2.700600851530e+02 5.608199409994e-02 5.608199409994e-02 5.608262127392e-02 5.608360988098e-02 1.590227855682e-01 1.590290179083e-01 1.590327959280e-01 1.590343312309e-01
5.184000000000e+05 2.628652073285e+02 2.628652073285e+02 2.652060273597e+02 2.673079571162e+02 2.682041328358e+02 2.693069462415e+02 2.698148656475e+02 2.700066218609e+02 5.608182999081e-02 5.608182999081e-02 5.608239838168e-02 5.608331026818e-02 1.590209881732e-01 1.590273228805e-01 1.590316867753e-01 1.590337185982e-01
6.048000000000e+05 2.621741793131e+02 2.621741793131e+02 2.646387007701e+02 2.668802040015e+02 2.678469799850e+02 2.690840806408e+02 2.696926222324e+02 2.699408782417e+02 5.608170961494e-02 5.608170961494e-02 5.608223114040e-02 5.608307380620e-02 1.590195088309e-01 1.590257565185e-01 1.590305119202e-01 1.590329939190e-01
6.912000000000e+05 2.614632349650e+02 2.614632349650e+02 2.640752017486e+02 2.664605814989e+02 2.674958484723e+02 2.688555891932e+02 2.695585891603e+02 2.698640080679e+02 5.608160100151e-02 5.608160100151e-02 5.608208623099e-02 5.608287192279e-02 1.590182405893e-01 1.590243227737e-01 1.590293178917e-01 1.590321842706e-01
7.776000000000e+05 2.609006077978e+02 2.609006077978e+02 2.635896964256e+02 2.660743911115e+02 2.671612618069e+02 2.686253275218e+02 2.694154043178e+02 2.697773262908e+02 5.608152421452e-02 5.608152421452e-02 5.608197541694e-02 5.608270779333e-02 1.590171730943e-01 1.590230272998e-01 1.590281393070e-01 1.590313166373e-01
8.640000000000e+05 2.600286506298e+02 2.600286506298e+02 2.629558958623e+02 2.656348779021e+02 2.668041620269e+02 2.683876731376e+02 2.692637729227e+02 2.696817922767e+02 5.608141855856e-02 5.608141855856e-02 5.608184703336e-02 5.608254202119e-02 1.590161618149e-01 1.590218245859e-01 1.590269881680e-01 1.590304118655e-01
9.504000000000e+05 2.593569171981e+02 2.593569171981e+02 2.624016412220e+02 2.652146341632e+02 2.664490387450e+02 2.681439849920e+02 2.691042900601e+02 2.695781101808e+02 5.608134651412e-02 5.608134651412e-02 5.608174748400e-02 5.608240110790e-02 1.590152650537e-01 1.590207124889e-01 1.590258727782e-01 1.590294860282e-01
1.036800000000e+06 2.588888868266e+02 2.588888868266e+02 2.619684678774e+02 2.648455242143e+02 2.661178387392e+02 2.679005414100e+02 2.689386584473e+02 2.694671274874e+02 5.608130043843e-02 5.608130043843e-02 5.608167672884e-02 5.608228939452e-02 1.590145115653e-01 1.590197066482e-01 1.590248059745e-01 1.590285541719e-01
1.123200000000e+06 2.585661217052e+02 2.585661217052e+02 2.616366580979e+02 2.645301766461e+02 2.658190169016e+02 2.676635341963e+02 2.687694791743e+02 2.693500642278e+02 5.608127043467e-02 5.608127043467e-02 5.608162622581e-02 5.608220172028e-02 1.590138910700e-01 1.590188147773e-01 1.590238016206e-01 1.590276316855e-01
1.209600000000e+06 2.583541165201e+02 2.583541165201e+02 2.613870778997e+02 2.642645595621e+02 2.655543278469e+02 2.674373895745e+02 2.685995376491e+02 2.692283887356e+02 5.608125145955e-02 5.608125145955e-02 5.608159016588e-02 5.608213282259e-02 1.590133828929e-01 1.590180340747e-01 1.590228697508e-01 1.590267326472e-01
1.296000000000e+06 2.581762217392e+02 2.581762217392e+02 2.611764144636e+02 2.640317471269e+02 2.653170050646e+02 2.672235764434e+02 2.684311435540e+02 2.691036808975e+02 5.608123596393e-02 5.608123596393e-02 5.608156093002e-02 5.608207581903e-02 1.590129570887e-01 1.590173518245e-01 1.590220141810e-01 1.590258686788e-01
1.382400000000e+06 2.578815617576e+02 2.578815617576e+02 2.609157700276e+02 2.637917262736e+02 2.650860526113e+02 2.670185678226e+02 2.682652054047e+02 2.689771630590e+02 5.608121111464e-02 5.608121111464e-02 5.608152618875e-02 5.608202009574e-02 1.590125677116e-01 1.590167433997e-01 1.590212301998e-01 1.590250462314e-01
1.468800000000e+06 2.577743431078e+02 2.577743431078e+02 2.607504353795e+02 2.635936112041e+02 2.648794457509e+02 2.668239892754e+02 2.681026241577e+02 2.688498660036e+02 5.608120231587e-02 5.608120231587e-02 5.608150492890e-02 5.608197626427e-02 1.590122380156e-01 1.590162031931e-01 1.590205132951e-01 1.590242687446e-01
1.555200000000e+06 2.576167311084e+02 2.576167311084e+02 2.605783734577e+02 2.634058475311e+02 2.646864934632e+02 2.666390872117e+02 2.679439910111e+02 2.687226577949e+02 5.608118960862e-02 5.608118960862e-02 5.608148341399e-02 5.608193641061e-02 1.590119450815e-01 1.590157204568e-01 1.590198580167e-01 1.590235375558e-01
1.641600000000e+06 2.574775520467e+02 2.574775520467e+02 2.604190095384e+02 2.632300304653e+02 2.645052182823e+02 2.664628970597e+02 2.677895694002e+02 2.685961612744e+02 5.608117860624e-02 5.608117860624e-02 5.608146401983e-02 5.608190049594e-02 1.590116821219e-01 1.590152858971e-01 1.590192583036e-01 1.590228519587e-01
1.728000000000e+06 2.574278811812e+02 2.574278811812e+02 2.603128929872e+02 2.630823042877e+02 2.643427882112e+02 2.662964731078e+02 2.676398025715e+02 2.684709547007e+02 5.608117472822e-02 5.608117472822e-02 5.608145138016e-02 5.608187131458e-02 1.590114558023e-01 1.590148964006e-01 1.590187095680e-01 1.590222107538e-01
1.814400000000e+06 2.573738683305e+02 2.573738683305e+02 2.602173101085e+02 2.629489698098e+02 2.641945221862e+02 2.661396712996e+02 2.674950614786e+02 2.683475495343e+02 5.608117053974e-02 5.608117053974e-02 5.608144017764e-02 5.608184572081e-02 1.590112565608e-01 1.590145467295e-01 1.590182075477e-01 1.590216122948e-01
1.900800000000e+06 2.573340410199e+02 2.573340410199e+02 2.601348320160e+02 2.628283302736e+02 2.640584223484e+02 2.659919441919e+02 2.673555393720e+02 2.682263502987e+02 5.608116747017e-02 5.608116747017e-02 5.608143064695e-02 5.608182314865e-02 1.590110795332e-01 1.590142316405e-01 1.590177479569e-01 1.590210544526e-01
1.987200000000e+06 2.573535204864e+02 2.573535204864e+02 2.600895969230e+02 2.627294971945e+02 2.639383193563e+02 2.658538254420e+02 2.672215139573e+02 2.681077393202e+02 5.608116896950e-02 5.608116896950e-02 5.608142547238e-02 5.608180505633e-02 1.590109276846e-01 1.590139488404e-01 1.590173273489e-01 1.590205351284e-01
2.073600000000e+06 2.579095222019e+02 2.579095222019e+02 2.603425262343e+02 2.627621355657e+02 2.638891950503e+02 2.657377466662e+02 2.670957290210e+02 2.679927008387e+02 5.608121343013e-02 5.608121343013e-02 5.608145488815e-02 5.608181099200e-02 1.590108657773e-01 1.590137192359e-01 1.590169499634e-01 1.590200548294e-01
2.160000000000e+06 2.591347377988e+02 2.591347377988e+02 2.610166241178e+02 2.630060629145e+02 2.639670549211e+02 2.656645915681e+02 2.669845700832e+02 2.678835421442e+02 5.608132424680e-02 5.608132424680e-02 5.608153944968e-02 5.608185659536e-02 1.590109602775e-01 1.590135776232e-01 1.590166295967e-01 1.590196189616e-01
2.246400000000e+06 2.599655674275e+02 2.599655674275e+02 2.615729853442e+02 2.632671978100e+02 2.640958185823e+02 2.656316997887e+02 2.668923210290e+02 2.677829048553e+02 5.608141147153e-02 5.608141147153e-02 5.608161687445e-02 5.608190797889e-02 1.590111220202e-01 1.590135141653e-01 1.590163725882e-01 1.590192332174e-01
