# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.688128762424e+02 2.688128762424e+02 2.693347788609e+02 2.697379135345e+02 2.699539083459e+02 2.701182157991e+02 2.701459931223e+02 2.701493515022e+02 5.608452464050e-02 5.608452464050e-02 5.608517628691e-02 5.608581996620e-02 1.590331411359e-01 1.590350228335e-01 1.590353625657e-01 1.590354040375e-01
1.728000000000e+05 2.675544443781e+02 2.675544443781e+02 2.684406373535e+02 2.691719479666e+02 2.695941618038e+02 2.700058356528e+02 2.701177617706e+02 2.701413762808e+02 5.608346338558e-02 5.608346338558e-02 5.608415011815e-02 5.608495415613e-02 1.590296450508e-01 1.590337121470e-01 1.590350170598e-01 1.590353055357e-01
2.592000000000e+05 2.663925671079e+02 2.663925671079e+02 2.675572551204e+02 2.685633691250e+02 2.691688013499e+02 2.698378780041e+02 2.700626159288e+02 2.701220837417e+02 5.608284162057e-02 5.608284162057e-02 5.608346521145e-02 5.608426671753e-02 1.590263433961e-01 1.590319245730e-01 1.590343608409e-01 1.590350694534e-01
3.456000000000e+05 2.653712979143e+02 2.653712979143e+02 2.667436842495e+02 2.679642212008e+02 2.687192937607e+02 2.696282791753e+02 2.699799017712e+02 2.700884691564e+02 5.608245181353e-02 5.608245181353e-02 5.608300514834e-02 5.608375102583e-02 1.590235549542e-01 1.590299391150e-01 1.590334204199e-01 1.590346653977e-01
4.320000000000e+05 2.644054180564e+02 2.644054180564e+02 2.659635126303e+02 2.673713377876e+02 2.682573593998e+02 2.693879414490e+02 2.698715181555e+02 2.700390951457e+02 5.608216882459e-02 5.608216882459e-02 5.608266401093e-02 5.608334836108e-02 1.590212326089e-01 1.590279407553e-01 1.590322617231e-01 1.590340881338e-01
5.184000000000e+05 2.635629441762e+02 2.635629441762e+02 2.652572875510e+02 2.668100620791e+02 2.678014948983e+02 2.691272648942e+02 2.697408248398e+02 2.699738355580e+02 5.608196964556e-02 5.608196964556e-02 5.608241470849e-02 5.608303815200e-02 1.590193408076e-01 1.590260486229e-01 1.590309648754e-01 1.590333533570e-01
6.048000000000e+05 2.628186220466e+02 2.628186220466e+02 2.646183563667e+02 2.662847784924e+02 2.673607636617e+02 2.688547851564e+02 2.695917538018e+02 2.698935117923e+02 5.608182135573e-02 5.608182135573e-02 5.608222556668e-02 5.608279485868e-02 1.590178002098e-01 1.590243210064e-01 1.590296047532e-01 1.590324903904e-01
6.912000000000e+05 2.620573851111e+02 2.620573851111e+02 2.639782374311e+02 2.657633148892e+02 2.669227979787e+02 2.685732776893e+02 2.694275367281e+02 2.697993605117e+02 5.608169078991e-02 5.608169078991e-02 5.608206313691e-02 5.608258837190e-02 1.590164900474e-01 1.590227564617e-01 1.590282355682e-01 1.590315328251e-01
7.776000000000e+05 2.614248366315e+02 2.614248366315e+02 2.634147371248e+02 2.652814547783e+02 2.665037214194e+02 2.682879572542e+02 2.692512749590e+02 2.696928536959e+02 5.608159552012e-02 5.608159552012e-02 5.608193826188e-02 5.608242248167e-02 1.590154010925e-01 1.590213591914e-01 1.590268973805e-01 1.590305140011e-01
8.640000000000e+05 2.605374020889e+02 2.605374020889e+02 2.627084572302e+02 2.647314917312e+02 2.660530818743e+02 2.679915787981e+02 2.690636862432e+02 2.695750381910e+02 5.608147837978e-02 5.608147837978e-02 5.608180125016e-02 5.608225691278e-02 1.590143780601e-01 1.590200751268e-01 1.590256030515e-01 1.590294594361e-01
9.504000000000e+05 2.598329213894e+02 2.598329213894e+02 2.620913661090e+02 2.642137672073e+02 2.656089338062e+02 2.676873618803e+02 2.688656687463e+02 2.694467306462e+02 5.608139679463e-02 5.608139679463e-02 5.608169622488e-02 5.608212012622e-02 1.590134915506e-01 1.590189050847e-01 1.590243626877e-01 1.590283891381e-01
1.036800000000e+06 2.593156958839e+02 2.593156958839e+02 2.615987135647e+02 2.637640801847e+02 2.651992445828e+02 2.673843774070e+02 2.686597815299e+02 2.693090779848e+02 5.608134232724e-02 5.608134232724e-02 5.608162064030e-02 5.608201386521e-02 1.590127629506e-01 1.590178648869e-01 1.590231918231e-01 1.590273223228e-01
1.123200000000e+06 2.589337134025e+02 2.589337134025e+02 2.612087152333e+02 2.633817200093e+02 2.648325708611e+02 2.670906599921e+02 2.684496097136e+02 2.691637133056e+02 5.608130471633e-02 5.608130471633e-02 5.608156534394e-02 5.608193140343e-02 1.590121727026e-01 1.590169576730e-01 1.590221049356e-01 1.590262776620e-01
1.209600000000e+06 2.586565708019e+02 2.586565708019e+02 2.609027119585e+02 2.630600497740e+02 2.645095275354e+02 2.668115451076e+02 2.682388601913e+02 2.690126642794e+02 5.608127870403e-02 5.608127870403e-02 5.608152448820e-02 5.608186699450e-02 1.590116949202e-01 1.590161749520e-01 1.590211107254e-01 1.590252718111e-01
1.296000000000e+06 2.584139768319e+02 2.584139768319e+02 2.606362819210e+02 2.627761808085e+02 2.642197444872e+02 2.665482976404e+02 2.680304065100e+02 2.688579224533e+02 5.608125676031e-02 5.608125676031e-02 5.608149058708e-02 5.608181355809e-02 1.590112964359e-01 1.590154986078e-01 1.590202098170e-01 1.590243165494e-01
1.382400000000e+06 2.580708664458e+02 2.580708664458e+02 2.603202537969e+02 2.624792820683e+02 2.639348791306e+02 2.662956323180e+02 2.678251954064e+02 2.687010877137e+02 5.608122696427e-02 5.608122696427e-02 5.608145224998e-02 5.608176078970e-02 1.590109301641e-01 1.590148995024e-01 1.590193934965e-01 1.590234178211e-01
1.468800000000e+06 2.579367414957e+02 2.579367414957e+02 2.601282772085e+02 2.622491683825e+02 2.636880716090e+02 2.660574393085e+02 2.676245835312e+02 2.685434726368e+02 5.608121569266e-02 5.608121569266e-02 5.608142989484e-02 5.608172192020e-02 1.590106307214e-01 1.590143746247e-01 1.590186555133e-01 1.590225777757e-01
1.555200000000e+06 2.577268544106e+02 2.577268544106e+02 2.599117208947e+02 2.620223673608e+02 2.634552428201e+02 2.658317127673e+02 2.674292981884e+02 2.683861894259e+02 5.608119845901e-02 5.608119845901e-02 5.608140547710e-02 5.608168522477e-02 1.590103627471e-01 1.590139094971e-01 1.590179880570e-01 1.590217962625e-01
1.641600000000e+06 2.575363422622e+02 2.575363422622e+02 2.597080365437e+02 2.618076841293e+02 2.632349491922e+02 2.656166145381e+02 2.672395102058e+02 2.682300292924e+02 5.608118322908e-02 5.608118322908e-02 5.608138324861e-02 5.608165187777e-02 1.590101211429e-01 1.590134928536e-01 1.590173826892e-01 1.590210709712e-01
1.728000000000e+06 2.574299336776e+02 2.574299336776e+02 2.595603360029e+02 2.616278530585e+02 2.630380432962e+02 2.654135562985e+02 2.670556703291e+02 2.680756532415e+02 5.608117488797e-02 5.608117488797e-02 5.608136755815e-02 5.608162492633e-02 1.590099141977e-01 1.590131212778e-01 1.590168331305e-01 1.590203989197e-01
1.814400000000e+06 2.573243574642e+02 2.573243574642e+02 2.594245864051e+02 2.614642734285e+02 2.628578340603e+02 2.652222444220e+02 2.668781581486e+02 2.679236640208e+02 5.608116672624e-02 5.608116672624e-02 5.608135344341e-02 5.608160115026e-02 1.590097319262e-01 1.590127890227e-01 1.590163338165e-01 1.590197769974e-01
1.900800000000e+06 2.572402428006e+02 2.572402428006e+02 2.593073789821e+02 2.613173603627e+02 2.626929518588e+02 2.650421416717e+02 2.667071886439e+02 2.677745429197e+02 5.608116030346e-02 5.608116030346e-02 5.608134148560e-02 5.608158037207e-02 1.590095707961e-01 1.590124909090e-01 1.590158795629e-01 1.590192018323e-01
1.987200000000e+06 2.572183961575e+02 2.572183961575e+02 2.592340427024e+02 2.612000607756e+02 2.625496004470e+02 2.648743438921e+02 2.665431814770e+02 2.676287591117e+02 5.608115864673e-02 5.608115864673e-02 5.608133410897e-02 5.608156415890e-02 1.590094347836e-01 1.590122250954e-01 1.590154664512e-01 1.590186703136e-01
2.073600000000e+06 2.583378263968e+02 2.583378263968e+02 2.598678160447e+02 2.614633463308e+02 2.626103644335e+02 2.647599027008e+02 2.663948225451e+02 2.674888939558e+02 5.608125002465e-02 5.608125002465e-02 5.608140062641e-02 5.608160101746e-02 1.590094895257e-01 1.590120493283e-01 1.590151104670e-01 1.590181867409e-01
2.160000000000e+06 2.592888886973e+02 2.592888886973e+02 2.605177165894e+02 2.618202725463e+02 2.627799389330e+02 2.647062866186e+02 2.662705137478e+02 2.673588676370e+02 5.608133961816e-02 5.608133961816e-02 5.608147597293e-02 5.608165379733e-02 1.590096500354e-01 1.590119678036e-01 1.590148243096e-01 1.590177586560e-01
2.246400000000e+06 2.599393886728e+02 2.599393886728e+02 2.610115854062e+02 2.621370519188e+02 2.629694833964e+02 2.646968809941e+02 2.661726290627e+02 2.672418506261e+02 5.608140855092e-02 5.608140855092e-02 5.608153878179e-02 5.608170358624e-02 1.590098368777e-01 1.590119525783e-01 1.590146063368e-01 1.590173899117e-01
2.332800000000e+06 2.602636090624e+02 2.602636090624e+02 2.612967908684e+02 2.623525144578e+02 2.631222472960e+02 2.647082405135e+02 2.660976060367e+02 2.671389582917e+02 5.608144558265e-02 5.608144558265e-02 5.608157750511e-02 5.608173916638e-02 1.590099931332e-01 1.590119684467e-01 1.590144434730e-01 1.590170778352e-01
2.419200000000e+06 2.604545828790e+02 2.604545828790e+02 2.614728813554e+02 2.624974498508e+02 2.632348720870e+02 2.647250503236e+02 2.660395720974e+02 2.670494067642e+02 5.608146830563e-02 5.608146830563e-02 5.608160238436e-02 5.608176393196e-02 1.590101116423e-01 1.590119927604e-01 1.590143199075e-01 1.590168150048e-01
2.505600000000e+06 2.606184692400e+02 2.606184692400e+02 2.616135666930e+02 2.626098997542e+02 2.633224057873e+02 2.647414705870e+02 2.659933221739e+02 2.669714269615e+02 5.608148837338e-02 5.608148837338e-02 5.608162282222e-02 5.608178362860e-02 1.590102056999e-01 1.590120167802e-01 1.590142229040e-01 1.590165924987e-01
2.592000000000e+06 2.607009305914e+02 2.607009305914e+02 2.616960839238e+02 2.626835301831e+02 2.633838305451e+02 2.647537534776e+02 2.659547090610e+02 2.669029388527e+02 5.608149867611e-02 5.608149867611e-02 5.608163504981e-02 5.608179676114e-02 1.590102727749e-01 1.590120348222e-01 1.590141428973e-01 1.590164017734e-01
2.678400000000e+06 2.607890582365e+02 2.607890582365e+02 2.617706375170e+02 2.627433910046e+02 2.634310497963e+02 2.647617702449e+02 2.659209618799e+02 2.668420078473e+02 5.608150984298e-02 5.608150984298e-02 5.608164625400e-02 5.608180757841e-02 1.590103249107e-01 1.590120465839e-01 1.590140736907e-01 1.590162356622e-01
2.764800000000e+06 2.608955340669e+02 2.608955340669e+02 2.618525946771e+02 2.628022417867e+02 2.634734177913e+02 2.647672970020e+02 2.658906103406e+02 2.667870980714e+02 5.608152355501e-02 5.608152355501e-02 5.608165874612e-02 5.608181833844e-02 1.590103720993e-01 1.590120546618e-01 1.590140120113e-01 1.590160887605e-01
2.851200000000e+06 2.609685222214e+02 2.609685222214e+02 2.619138985037e+02 2.628487789689e+02 2.635077770389e+02 2.647705321165e+02 2.658627170743e+02 2.667370341420e+02 5.608153309680e-02 5.608153309680e-02 5.608166821260e-02 5.608182693648e-02 1.590104106841e-01 1.590120593325e-01 1.590139557923e-01 1.590159570709e-01
2.937600000000e+06 2.611131566207e+02 2.611131566207e+02 2.620150483555e+02 2.629131441005e+02 2.635489805931e+02 2.647745405601e+02 2.658372073730e+02 2.666910580970e+02 5.608155235631e-02 5.608155235631e-02 5.608168406615e-02 5.608183896065e-02 1.590104572802e-01 1.590120651790e-01 1.590139047624e-01 1.590158379781e-01
3.024000000000e+06 2.613228117138e+02 2.613228117138e+02 2.621615704367e+02 2.630044977494e+02 2.636059281134e+02 2.647832548829e+02 2.658148268743e+02 2.666488763817e+02 5.608158113359e-02 5.608158113359e-02 5.608170756283e-02 5.608185629557e-02 1.590105223544e-01 1.590120781258e-01 1.590138602920e-01 1.590157302331e-01
3.110400000000e+06 2.615255015937e+02 2.615255015937e+02 2.623121713462e+02 2.631045374321e+02 2.636722575997e+02 2.647977205000e+02 2.657963056417e+02 2.666104778624e+02 5.608160996920e-02 5.608160996920e-02 5.608173239381e-02 5.608187565012e-02 1.590105992121e-01 1.590120998152e-01 1.590138237000e-01 1.590156333908e-01
3.196800000000e+06 2.614583636693e+02 2.614583636693e+02 2.623009706283e+02 2.631234528346e+02 2.637004872246e+02 2.648079783729e+02 2.657800672471e+02 2.665754282742e+02 5.608160030408e-02 5.608160030408e-02 5.608173052267e-02 5.608187935424e-02 1.590106323958e-01 1.590121152565e-01 1.590137917733e-01 1.590155460072e-01
3.283200000000e+06 2.614765647222e+02 2.614765647222e+02 2.623167452341e+02 2.631407138098e+02 2.637179885457e+02 2.648131370788e+02 2.657645822416e+02 2.665430139801e+02 5.608160291300e-02 5.608160291300e-02 5.608173315905e-02 5.608188274692e-02 1.590106530506e-01 1.590121230089e-01 1.590137614620e-01 1.590154660400e-01
3.369600000000e+06 2.616340049364e+02 2.616340049364e+02 2.624173088812e+02 2.631991192881e+02 2.637528311933e+02 2.648193510701e+02 2.657500562800e+02 2.665128105459e+02 5.608162583403e-02 5.608162583403e-02 5.608175015312e-02 5.608189431625e-02 1.590106942531e-01 1.590121323633e-01 1.590137331463e-01 1.590153922480e-01
3.456000000000e+06 2.617146670987e+02 2.617146670987e+02 2.624842448939e+02 2.632473398739e+02 2.637867636510e+02 2.648267225855e+02 2.657367938919e+02 2.664846263717e+02 5.608163782852e-02 5.608163782852e-02 5.608176164697e-02 5.608190397369e-02 1.590107347252e-01 1.590121435014e-01 1.590137073931e-01 1.590153240079e-01
3.542400000000e+06 2.618683796159e+02 2.618683796159e+02 2.625920575672e+02 2.633162101134e+02 2.638315133436e+02 2.648374216866e+02 2.657253929826e+02 2.664584790200e+02 5.608166117351e-02 5.608166117351e-02 5.608178047462e-02 5.608191793539e-02 1.590107885428e-01 1.590121597452e-01 1.590136853300e-01 1.590152612265e-01
3.628800000000e+06 2.620581107805e+02 2.620581107805e+02 2.627285697125e+02 2.634048069046e+02 2.638897795688e+02 2.648535818720e+02 2.657166955993e+02 2.664345805128e+02 5.608169090561e-02 5.608169090561e-02 5.608180488821e-02 5.608193619412e-02 1.590108594300e-01 1.590121844117e-01 1.590136685454e-01 1.590152042833e-01
3.715200000000e+06 2.622360502236e+02 2.622360502236e+02 2.628640323740e+02 2.634983943590e+02 2.639551492885e+02 2.648751564188e+02 2.657112743411e+02 2.664131977926e+02 5.608171975505e-02 5.608171975505e-02 5.608182977203e-02 5.608195585516e-02 1.590109400992e-01 1.590122175412e-01 1.590136581037e-01 1.590151536856e-01
3.801600000000e+06 2.624122215102e+02 2.624122215102e+02 2.630001047847e+02 2.635951888453e+02 2.640251888590e+02 2.649015057563e+02 2.657093565196e+02 2.663945422311e+02 5.608174928557e-02 5.608174928557e-02 5.608185545465e-02 5.608197660594e-02 1.590110278789e-01 1.590122582811e-01 1.590136544135e-01 1.590151098095e-01
3.888000000000e+06 2.626494445567e+02 2.626494445567e+02 2.631747208370e+02 2.637142902527e+02 2.641089767782e+02 2.649342562717e+02 2.657113996521e+02 2.663788516217e+02 5.608179065821e-02 5.608179065821e-02 5.608188946634e-02 5.608200273870e-02 1.590111347205e-01 1.590123093211e-01 1.590136583448e-01 1.590150730987e-01
3.974400000000e+06 2.629028333140e+02 2.629028333140e+02 2.633665003642e+02 2.638483395931e+02 2.642052324297e+02 2.649743315949e+02 2.657179416379e+02 2.663664113036e+02 5.608183702404e-02 5.608183702404e-02 5.608192825795e-02 5.608203297316e-02 1.590112600242e-01 1.590123723764e-01 1.590136709476e-01 1.590150441163e-01
4.060800000000e+06 2.631684614305e+02 2.631684614305e+02 2.635705792781e+02 2.639940514046e+02 2.643122202031e+02 2.650219147807e+02 2.657294049513e+02 2.663575108463e+02 5.608188822602e-02 5.608188822602e-02 5.608197128934e-02 5.608206686908e-02 1.590114026207e-01 1.590124481032e-01 1.590136930860e-01 1.590150234475e-01
4.147200000000e+06 2.635130666419e+02 2.635130666419e+02 2.638267441852e+02 2.641716625262e+02 2.644399853462e+02 2.650793386978e+02 2.657465529398e+02 2.663525306612e+02 5.608195897309e-02 5.608195897309e-02 5.608202804207e-02 5.608210971321e-02 1.590115776311e-01 1.590125407357e-01 1.590137263342e-01 1.590150119067e-01
4.233600000000e+06 2.638783846606e+02 2.638783846606e+02 2.641059262686e+02 2.643702050971e+02 2.645857852359e+02 2.651476607126e+02 2.657701771242e+02 2.663519227047e+02 5.608203987285e-02 5.608203987285e-02 5.608209365472e-02 5.608215971338e-02 1.590117839438e-01 1.590126527549e-01 1.590137723987e-01 1.590150104990e-01
4.320000000000e+06 2.641616575266e+02 2.641616575266e+02 2.643420028321e+02 2.645536659835e+02 2.647307287991e+02 2.652233734377e+02 2.658001297756e+02 2.663559439408e+02 5.608210725357e-02 5.608210725357e-02 5.608215247006e-02 5.608220802344e-02 1.590119963973e-01 1.590127792483e-01 1.590138312397e-01 1.590150198146e-01
4.406400000000e+06 2.641504595059e+02 2.641504595059e+02 2.643946412993e+02 2.646407077241e+02 2.648276698229e+02 2.652937126039e+02 2.658336533912e+02 2.663640507965e+02 5.608210450729e-02 5.608210450729e-02 5.608216602816e-02 5.608223169172e-02 1.590121428588e-01 1.590128990673e-01 1.590138976819e-01 1.590150386293e-01
4.492800000000e+06 2.640868934777e+02 2.640868934777e+02 2.643857017054e+02 2.646759424503e+02 2.648853891779e+02 2.653520256322e+02 2.658672742420e+02 2.663749911236e+02 5.608208904988e-02 5.608208904988e-02 5.608216371381e-02 5.608224141458e-02 1.590122318151e-01 1.590130001291e-01 1.590139649471e-01 1.590150640932e-01
4.579200000000e+06 2.639566447491e+02 2.639566447491e+02 2.643209441353e+02 2.646669378476e+02 2.649081022565e+02 2.653953142893e+02 2.658979621788e+02 2.663871916802e+02 5.608205806222e-02 5.608205806222e-02 5.608214709243e-02 5.608223892192e-02 1.590122672827e-01 1.590130762014e-01 1.590140269029e-01 1.590150925899e-01
4.665600000000e+06 2.637733404280e+02 2.637733404280e+02 2.642098899490e+02 2.646198045122e+02 2.648993079871e+02 2.654223490357e+02 2.659234080891e+02 2.663990696651e+02 5.608201594797e-02 5.608201594797e-02 5.608211916312e-02 5.608222596252e-02 1.590122537858e-01 1.590131241996e-01 1.590140786849e-01 1.590151204348e-01
4.752000000000e+06 2.635478885502e+02 2.635478885502e+02 2.640611126306e+02 2.645401363052e+02 2.648624550530e+02 2.654328879205e+02 2.659419771629e+02 2.664092028012e+02 5.608196641207e-02 5.608196641207e-02 5.608208284397e-02 5.608220438856e-02 1.590121969545e-01 1.590131430720e-01 1.590141167094e-01 1.590151442688e-01
4.838400000000e+06 2.633350704018e+02 2.633350704018e+02 2.639092835197e+02 2.644473065070e+02 2.648082830974e+02 2.654289170874e+02 2.659529193071e+02 2.664164832781e+02 5.608192179392e-02 5.608192179392e-02 5.608204701665e-02 5.608217976160e-02 1.590121142370e-01 1.590131360998e-01 1.590141392103e-01 1.590151614386e-01
