# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.685259786539e+02 2.685259786539e+02 2.692886467552e+02 2.698260707083e+02 2.700161364461e+02 2.701323633146e+02 2.701481892025e+02 2.701497532270e+02 5.608423052308e-02 5.608423052308e-02 5.608511140425e-02 5.608598208304e-02 1.590338298602e-01 1.590351950605e-01 1.590353897214e-01 1.590354090133e-01
1.728000000000e+05 2.670537439137e+02 2.670537439137e+02 2.683435932635e+02 2.693541286807e+02 2.697426152601e+02 2.700587345483e+02 2.701324159640e+02 2.701458485929e+02 5.608316563728e-02 5.608316563728e-02 5.608406224273e-02 5.608520398292e-02 1.590309966182e-01 1.590343167628e-01 1.590351955761e-01 1.590353607071e-01
2.592000000000e+05 2.657757611360e+02 2.657757611360e+02 2.674535674090e+02 2.688530040337e+02 2.694149162690e+02 2.699430537803e+02 2.700992296952e+02 2.701355523108e+02 5.608259295158e-02 5.608259295158e-02 5.608339907838e-02 5.608456899017e-02 1.590281610750e-01 1.590330214256e-01 1.590347938205e-01 1.590352339415e-01
3.456000000000e+05 2.647249271066e+02 2.647249271066e+02 2.666767025816e+02 2.683692534133e+02 2.690687368409e+02 2.697949483645e+02 2.700471423376e+02 2.701165605963e+02 5.608225507033e-02 5.608225507033e-02 5.608297254789e-02 5.608408512283e-02 1.590256687097e-01 1.590314972060e-01 1.590341810047e-01 1.590350024335e-01
4.320000000000e+05 2.637695268639e+02 2.637695268639e+02 2.659606289344e+02 2.678998132352e+02 2.687156936065e+02 2.696230223724e+02 2.699768294721e+02 2.700874985232e+02 5.608201508974e-02 5.608201508974e-02 5.608266289073e-02 5.608370276426e-02 1.590235345370e-01 1.590298922643e-01 1.590333864571e-01 1.590346538655e-01
5.184000000000e+05 2.629715018687e+02 2.629715018687e+02 2.653339270466e+02 2.674609983189e+02 2.683689747085e+02 2.694351537874e+02 2.698902446645e+02 2.700478811457e+02 5.608184999754e-02 5.608184999754e-02 5.608243952871e-02 5.608340373567e-02 1.590217503784e-01 1.590283119585e-01 1.590324562789e-01 1.590341894790e-01
6.048000000000e+05 2.622888509910e+02 2.622888509910e+02 2.647820881530e+02 2.670542349466e+02 2.680350012762e+02 2.692377651397e+02 2.697899449982e+02 2.699979312658e+02 5.608172850249e-02 5.608172850249e-02 5.608227121289e-02 5.608316590473e-02 1.590202644304e-01 1.590268182974e-01 1.590314401583e-01 1.590336210258e-01
6.912000000000e+05 2.615843647768e+02 2.615843647768e+02 2.642318042103e+02 2.666536061642e+02 2.677053244886e+02 2.690335482500e+02 2.696781863612e+02 2.699382626032e+02 5.608161853794e-02 5.608161853794e-02 5.608212461787e-02 5.608296146653e-02 1.590189801992e-01 1.590254267167e-01 1.590303787762e-01 1.590329657162e-01
7.776000000000e+05 2.610263511955e+02 2.610263511955e+02 2.637574469939e+02 2.662839641167e+02 2.673895867384e+02 2.688259808155e+02 2.695571669143e+02 2.698697262434e+02 5.608154074065e-02 5.608154074065e-02 5.608201237591e-02 5.608279451112e-02 1.590178905609e-01 1.590241496130e-01 1.590293057112e-01 1.590322431592e-01
