# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.686934479718e+02 2.686934479718e+02 2.694104247107e+02 2.698731420658e+02 2.700271119855e+02 2.701307367058e+02 2.701476218763e+02 2.701496193961e+02 5.608439748946e-02 5.608439748946e-02 5.608528623268e-02 5.608607230868e-02 1.590339535821e-01 1.590351751594e-01 1.590353827022e-01 1.590354073555e-01
1.728000000000e+05 2.672711948150e+02 2.672711948150e+02 2.685083332942e+02 2.694196092512e+02 2.697556670722e+02 2.700500446781e+02 2.701280000273e+02 2.701441620131e+02 5.608328855927e-02 5.608328855927e-02 5.608421364977e-02 5.608529989302e-02 1.590311186585e-01 1.590342158141e-01 1.590351415947e-01 1.590353398813e-01
2.592000000000e+05 2.659858650711e+02 2.659858650711e+02 2.676181988365e+02 2.689154602283e+02 2.694195114994e+02 2.699225044349e+02 2.700874535512e+02 2.701302464285e+02 5.608267272534e-02 5.608267272534e-02 5.608350526858e-02 5.608463973237e-02 1.590281933091e-01 1.590328008440e-01 1.590346534028e-01 1.590351689626e-01
3.456000000000e+05 2.648986457079e+02 2.648986457079e+02 2.668144470085e+02 2.684130499330e+02 2.690562561791e+02 2.697584438829e+02 2.700245612422e+02 2.701051744762e+02 5.608230484056e-02 5.608230484056e-02 5.608304035721e-02 5.608412476160e-02 1.590255822652e-01 1.590311415835e-01 1.590339218393e-01 1.590348650567e-01
4.320000000000e+05 2.639074604107e+02 2.639074604107e+02 2.660670710967e+02 2.679192682318e+02 2.686814196376e+02 2.695674681268e+02 2.699404180749e+02 2.700675045786e+02 5.608204659379e-02 5.608204659379e-02 5.608270485953e-02 5.608371721364e-02 1.590233409768e-01 1.590294060527e-01 1.590329890218e-01 1.590344179713e-01
5.184000000000e+05 2.630711668498e+02 2.630711668498e+02 2.654050776511e+02 2.674526661544e+02 2.683104862811e+02 2.693586192098e+02 2.698376197205e+02 2.700169357236e+02 5.608186915012e-02 5.608186915012e-02 5.608246302251e-02 5.608339851437e-02 1.590214707489e-01 1.590277124784e-01 1.590319152759e-01 1.590338351157e-01
6.048000000000e+05 2.623548396461e+02 2.623548396461e+02 2.648197099808e+02 2.670179809249e+02 2.679518690139e+02 2.691393623058e+02 2.697193862154e+02 2.699540222658e+02 5.608173955830e-02 5.608173955830e-02 5.608228196153e-02 5.608314627669e-02 1.590199209383e-01 1.590261280605e-01 1.590307618076e-01 1.590331363589e-01
6.912000000000e+05 2.616301811666e+02 2.616301811666e+02 2.642456393584e+02 2.665932216878e+02 2.675986692876e+02 2.689129433001e+02 2.695885437112e+02 2.698797518312e+02 5.608162526972e-02 5.608162526972e-02 5.608212807581e-02 5.608293287307e-02 1.590185943814e-01 1.590246674371e-01 1.590295767477e-01 1.590323469174e-01
7.776000000000e+05 2.610474467902e+02 2.610474467902e+02 2.637446578823e+02 2.661991377612e+02 2.672601770763e+02 2.686834190209e+02 2.694477589450e+02 2.697953446313e+02 5.608154354776e-02 5.608154354776e-02 5.608200951055e-02 5.608275876526e-02 1.590174752087e-01 1.590233409113e-01 1.590283974532e-01 1.590314932064e-01
8.640000000000e+05 2.601859215290e+02 2.601859215290e+02 2.631182119891e+02 2.657617825084e+02 2.669032015508e+02 2.684464304301e+02 2.692979607985e+02 2.697017484777e+02 5.608143653586e-02 5.608143653586e-02 5.608187832651e-02 5.608258780915e-02 1.590164301482e-01 1.590221101157e-01 1.590272396010e-01 1.590305966182e-01
9.504000000000e+05 2.595029116252e+02 2.595029116252e+02 2.625567689539e+02 2.653385149704e+02 2.665467112964e+02 2.682030710643e+02 2.691398847105e+02 2.695996996824e+02 5.608136155214e-02 5.608136155214e-02 5.608177426874e-02 5.608244103040e-02 1.590155015117e-01 1.590209716094e-01 1.590261138368e-01 1.590296742441e-01
1.036800000000e+06 2.590149367944e+02 2.590149367944e+02 2.621071717589e+02 2.649608658087e+02 2.662110929677e+02 2.679590429913e+02 2.689751842497e+02 2.694900398671e+02 5.608131253877e-02 5.608131253877e-02 5.608169876457e-02 5.608232319368e-02 1.590147158572e-01 1.590199393124e-01 1.590250337735e-01 1.590287418085e-01
1.123200000000e+06 2.586720972749e+02 2.586720972749e+02 2.617570538739e+02 2.646345171294e+02 2.659057092124e+02 2.677203695543e+02 2.688063874644e+02 2.693739710794e+02 5.608128013424e-02 5.608128013424e-02 5.608164420138e-02 5.608222999198e-02 1.590140652551e-01 1.590190211458e-01 1.590240138919e-01 1.590278153131e-01
1.209600000000e+06 2.584417997520e+02 2.584417997520e+02 2.614898669047e+02 2.643572163689e+02 2.656333405936e+02 2.674916133494e+02 2.686362537717e+02 2.692529435417e+02 5.608125923921e-02 5.608125923921e-02 5.608160482502e-02 5.608215637150e-02 1.590135303372e-01 1.590182152062e-01 1.590230649914e-01 1.590269094435e-01
1.296000000000e+06 2.582509951867e+02 2.582509951867e+02 2.612658140135e+02 2.641142564352e+02 2.653885678085e+02 2.672746121820e+02 2.684671414451e+02 2.691285198942e+02 5.608124243071e-02 5.608124243071e-02 5.608157320682e-02 5.608209567640e-02 1.590130823196e-01 1.590175098325e-01 1.590221917770e-01 1.590260363812e-01
1.382400000000e+06 2.579552881397e+02 2.579552881397e+02 2.610020801205e+02 2.638692786014e+02 2.651525590313e+02 2.670665154527e+02 2.683001344429e+02 2.690019769059e+02 5.608121723909e-02 5.608121723909e-02 5.608153752338e-02 5.608203777685e-02 1.590126772354e-01 1.590168817546e-01 1.590213906537e-01 1.590252034856e-01
1.468800000000e+06 2.578380101153e+02 2.578380101153e+02 2.608260479217e+02 2.636633463016e+02 2.649401714117e+02 2.668687633030e+02 2.681362242416e+02 2.688743737419e+02 5.608120752533e-02 5.608120752533e-02 5.608151457893e-02 5.608199147835e-02 1.590123328797e-01 1.590163242957e-01 1.590206575479e-01 1.590244147408e-01
1.555200000000e+06 2.576751615995e+02 2.576751615995e+02 2.606479410874e+02 2.634698003943e+02 2.647422186970e+02 2.666807369627e+02 2.679760817629e+02 2.687466391845e+02 5.608119428841e-02 5.608119428841e-02 5.608149203956e-02 5.608194980668e-02 1.590120280395e-01 1.590158265810e-01 1.590199872528e-01 1.590236720876e-01
1.641600000000e+06 2.575296905649e+02 2.575296905649e+02 2.604823495877e+02 2.632885565477e+02 2.645563095933e+02 2.665015053962e+02 2.678200319387e+02 2.686194419832e+02 5.608118270424e-02 5.608118270424e-02 5.608147166809e-02 5.608191230528e-02 1.590117548891e-01 1.590153789756e-01 1.590193737874e-01 1.590229751908e-01
1.728000000000e+06 2.574695150111e+02 2.574695150111e+02 2.603663584290e+02 2.631337349339e+02 2.643885646109e+02 2.663319310806e+02 2.676685209099e+02 2.684933768298e+02 5.608117797704e-02 5.608117797704e-02 5.608145772153e-02 5.608188137376e-02 1.590115185187e-01 1.590149776387e-01 1.590188124078e-01 1.590223229833e-01
1.814400000000e+06 2.574091152363e+02 2.574091152363e+02 2.602637684473e+02 2.629943645997e+02 2.642352979146e+02 2.661719456437e+02 2.675219339904e+02 2.683689825200e+02 5.608117326964e-02 5.608117326964e-02 5.608144560132e-02 5.608185435695e-02 1.590113105108e-01 1.590146172868e-01 1.590182987511e-01 1.590217139625e-01
1.900800000000e+06 2.573638381815e+02 2.573638381815e+02 2.601752881055e+02 2.628683417428e+02 2.640945776613e+02 2.660210847424e+02 2.673804946545e+02 2.682466864553e+02 5.608116976520e-02 5.608116976520e-02 5.608143530626e-02 5.608183057469e-02 1.590111258841e-01 1.590142926512e-01 1.590178284869e-01 1.590211460797e-01
1.987200000000e+06 2.573762266813e+02 2.573762266813e+02 2.601225692917e+02 2.627635208827e+02 2.639696788653e+02 2.658798225280e+02 2.672444917956e+02 2.681268811977e+02 5.608117072201e-02 5.608117072201e-02 5.608142924053e-02 5.608181124478e-02 1.590109668011e-01 1.590140011560e-01 1.590173980692e-01 1.590206172375e-01
