# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.243296144196e-01 2.243296144196e-01 2.243296144196e-01 2.243296144196e-01 1.594880618943e-01 1.594880618943e-01 1.594880618943e-01 1.594880618942e-01
8.640000000000e+04 2.689377052328e+02 2.689377052328e+02 2.695348468126e+02 2.698992629551e+02 2.700325833999e+02 2.701316294789e+02 2.701478737221e+02 2.701496599573e+02 2.243279738795e-01 2.243279738795e-01 2.243286410586e-01 2.243291720753e-01 1.594880617496e-01 1.594880618704e-01 1.594880618915e-01 1.594880618938e-01
1.728000000000e+05 2.676442819577e+02 2.676442819577e+02 2.686967608796e+02 2.694406997371e+02 2.697511860199e+02 2.700517047809e+02 2.701295008794e+02 2.701445668006e+02 2.243270348067e-01 2.243270348067e-01 2.243277565027e-01 2.243285212339e-01 1.594880614637e-01 1.594880617719e-01 1.594880618677e-01 1.594880618872e-01
2.592000000000e+05 2.663999298301e+02 2.663999298301e+02 2.678143052268e+02 2.689025059580e+02 2.693879507845e+02 2.699222557865e+02 2.700905413335e+02 2.701312893122e+02 2.243264778014e-01 2.243264778014e-01 2.243271316486e-01 2.243279405456e-01 1.594880611872e-01 1.594880616283e-01 1.594880618187e-01 1.594880618700e-01
3.456000000000e+05 2.652887819481e+02 2.652887819481e+02 2.669721755357e+02 2.683429015229e+02 2.689827703599e+02 2.697522819886e+02 2.700287805796e+02 2.701069103170e+02 2.243261326436e-01 2.243261326436e-01 2.243267053834e-01 2.243274776853e-01 1.594880609613e-01 1.594880614646e-01 1.594880617448e-01 1.594880618390e-01
4.320000000000e+05 2.642523720614e+02 2.642523720614e+02 2.661663407997e+02 2.677798504786e+02 2.685564367213e+02 2.695512249987e+02 2.699446169528e+02 2.700696698224e+02 2.243258901540e-01 2.243258901540e-01 2.243263958823e-01 2.243271115158e-01 1.594880607862e-01 1.594880613009e-01 1.594880616511e-01 1.594880617932e-01
5.184000000000e+05 2.633527069738e+02 2.633527069738e+02 2.654329166335e+02 2.672383032737e+02 2.681290012171e+02 2.693286780830e+02 2.698402077015e+02 2.700189548532e+02 2.243257222301e-01 2.243257222301e-01 2.243261716671e-01 2.243268266387e-01 1.594880606541e-01 1.594880611494e-01 1.594880615449e-01 1.594880617335e-01
6.048000000000e+05 2.625456969789e+02 2.625456969789e+02 2.647528583705e+02 2.667170196211e+02 2.677067085791e+02 2.690960761923e+02 2.697244944284e+02 2.699601836045e+02 2.243255964305e-01 2.243255964305e-01 2.243259995858e-01 2.243265987780e-01 1.594880605535e-01 1.594880610175e-01 1.594880614387e-01 1.594880616679e-01
6.912000000000e+05 2.617780075641e+02 2.617780075641e+02 2.641203163084e+02 2.662245697645e+02 2.672981486149e+02 2.688515815961e+02 2.695899641713e+02 2.698859553825e+02 2.243254937429e-01 2.243254937429e-01 2.243258633539e-01 2.243264157728e-01 1.594880604765e-01 1.594880609016e-01 1.594880613282e-01 1.594880615902e-01
7.776000000000e+05 2.611413968203e+02 2.611413968203e+02 2.635602217910e+02 2.657678787175e+02 2.669085260561e+02 2.686024214180e+02 2.694414849287e+02 2.697979202553e+02 2.243254188005e-01 2.243254188005e-01 2.243257580952e-01 2.243262683994e-01 1.594880604169e-01 1.594880608025e-01 1.594880612203e-01 1.594880615048e-01
8.640000000000e+05 2.602736482345e+02 2.602736482345e+02 2.628987828255e+02 2.652751026300e+02 2.665033628638e+02 2.683460319847e+02 2.692832899821e+02 2.696998915768e+02 2.243253288897e-01 2.243253288897e-01 2.243256489689e-01 2.243261290161e-01 1.594880603660e-01 1.594880607164e-01 1.594880611190e-01 1.594880614174e-01
9.504000000000e+05 2.595581588920e+02 2.595581588920e+02 2.622915665910e+02 2.647956088226e+02 2.660997239285e+02 2.680834778674e+02 2.691162970345e+02 2.695927333851e+02 2.243252636169e-01 2.243252636169e-01 2.243255607861e-01 2.243260095573e-01 1.594880603239e-01 1.594880606418e-01 1.594880610250e-01 1.594880613303e-01
1.036800000000e+06 2.590252845300e+02 2.590252845300e+02 2.617900526424e+02 2.643639666320e+02 2.657195940168e+02 2.678206479787e+02 2.689422706655e+02 2.694773973942e+02 2.243252194165e-01 2.243252194165e-01 2.243254952441e-01 2.243259134464e-01 1.594880602905e-01 1.594880605780e-01 1.594880609391e-01 1.594880612451e-01
1.123200000000e+06 2.586376739513e+02 2.586376739513e+02 2.613906198912e+02 2.639900508374e+02 2.653746312999e+02 2.675640045482e+02 2.687638545075e+02 2.693551778721e+02 2.243251893611e-01 2.243251893611e-01 2.243254471465e-01 2.243258376938e-01 1.594880602644e-01 1.594880605243e-01 1.594880608616e-01 1.594880611634e-01
1.209600000000e+06 2.583672529177e+02 2.583672529177e+02 2.610807675039e+02 2.636736307135e+02 2.650690125020e+02 2.673185907920e+02 2.685839711095e+02 2.692276190027e+02 2.243251693524e-01 2.243251693524e-01 2.243254120865e-01 2.243257783774e-01 1.594880602441e-01 1.594880604796e-01 1.594880607927e-01 1.594880610863e-01
1.296000000000e+06 2.581467210181e+02 2.581467210181e+02 2.608241216587e+02 2.634004259009e+02 2.647975232786e+02 2.670865903587e+02 2.684051930238e+02 2.690964192159e+02 2.243251535843e-01 2.243251535843e-01 2.243253844174e-01 2.243257303387e-01 1.594880602279e-01 1.594880604423e-01 1.594880607320e-01 1.594880610146e-01
1.382400000000e+06 2.578401024903e+02 2.578401024903e+02 2.605416456038e+02 2.631325541195e+02 2.645398545636e+02 2.668651889476e+02 2.682288132953e+02 2.689629653134e+02 2.243251324375e-01 2.243251324375e-01 2.243253553008e-01 2.243256858473e-01 1.594880602139e-01 1.594880604106e-01 1.594880606787e-01 1.594880609487e-01
1.468800000000e+06 2.577119261680e+02 2.577119261680e+02 2.603496788382e+02 2.629101056970e+02 2.643113962246e+02 2.666560795689e+02 2.680560226289e+02 2.688284841615e+02 2.243251238537e-01 2.243251238537e-01 2.243253362670e-01 2.243256507153e-01 1.594880602026e-01 1.594880603836e-01 1.594880606318e-01 1.594880608885e-01
1.555200000000e+06 2.575383503019e+02 2.575383503019e+02 2.601596123083e+02 2.627042749228e+02 2.641011228861e+02 2.664584256320e+02 2.678876074267e+02 2.686940032069e+02 2.243251124608e-01 2.243251124608e-01 2.243253179910e-01 2.243256195754e-01 1.594880601929e-01 1.594880603604e-01 1.594880605906e-01 1.594880608338e-01
1.641600000000e+06 2.573812508923e+02 2.573812508923e+02 2.599829014384e+02 2.625128877483e+02 2.639052390718e+02 2.662709360422e+02 2.677239166211e+02 2.685602678144e+02 2.243251023720e-01 2.243251023720e-01 2.243253014856e-01 2.243255917303e-01 1.594880601845e-01 1.594880603403e-01 1.594880605543e-01 1.594880607842e-01
1.728000000000e+06 2.573051719989e+02 2.573051719989e+02 2.598544586737e+02 2.623498995313e+02 2.637297666818e+02 2.660942607687e+02 2.675653712915e+02 2.684279507819e+02 2.243250975602e-01 2.243250975602e-01 2.243252897717e-01 2.243255688156e-01 1.594880601774e-01 1.594880603229e-01 1.594880605221e-01 1.594880607393e-01
1.814400000000e+06 2.572343352654e+02 2.572343352654e+02 2.597418039757e+02 2.622026510563e+02 2.635680806083e+02 2.659257986483e+02 2.674108911242e+02 2.682969812162e+02 2.243250931226e-01 2.243250931226e-01 2.243252796874e-01 2.243255487160e-01 1.594880601713e-01 1.594880603074e-01 1.594880604934e-01 1.594880606986e-01
1.900800000000e+06 2.571814240799e+02 2.571814240799e+02 2.596468934821e+02 2.620724603686e+02 2.634221415785e+02 2.657679168175e+02 2.672621235494e+02 2.681682503368e+02 2.243250898345e-01 2.243250898345e-01 2.243252713258e-01 2.243255314017e-01 1.594880601660e-01 1.594880602939e-01 1.594880604679e-01 1.594880606617e-01
1.987200000000e+06 2.571851792759e+02 2.571851792759e+02 2.595882917610e+02 2.619660045883e+02 2.632946406053e+02 2.656212252513e+02 2.671197052921e+02 2.680424351790e+02 2.243250900671e-01 2.243250900671e-01 2.243252662231e-01 2.243255175516e-01 1.594880601615e-01 1.594880602821e-01 1.594880604453e-01 1.594880606283e-01
2.073600000000e+06 2.579137336802e+02 2.579137336802e+02 2.599202210347e+02 2.620429994448e+02 2.632702091567e+02 2.655052037007e+02 2.669882100206e+02 2.679213291440e+02 2.243251374358e-01 2.243251374358e-01 2.243252957400e-01 2.243255275415e-01 1.594880601606e-01 1.594880602733e-01 1.594880604258e-01 1.594880605985e-01
2.160000000000e+06 2.590178972988e+02 2.590178972988e+02 2.605369116320e+02 2.622861735913e+02 2.633513798689e+02 2.654229227661e+02 2.668673284822e+02 2.678044147328e+02 2.243252188278e-01 2.243252188278e-01 2.243253548243e-01 2.243255600483e-01 1.594880601633e-01 1.594880602672e-01 1.594880604090e-01 1.594880605717e-01
2.246400000000e+06 2.598148923859e+02 2.598148923859e+02 2.611069064187e+02 2.625909133653e+02 2.635127044538e+02 2.653890891767e+02 2.667660635613e+02 2.676956699969e+02 2.243252862099e-01 2.243252862099e-01 2.243254149726e-01 2.243256029572e-01 1.594880601689e-01 1.594880602647e-01 1.594880603957e-01 1.594880605483e-01
2.332800000000e+06 2.602332264374e+02 2.602332264374e+02 2.614767654153e+02 2.628384125579e+02 2.636742498406e+02 2.653889161696e+02 2.666877053441e+02 2.675986462743e+02 2.243253250038e-01 2.243253250038e-01 2.243254572337e-01 2.243256397241e-01 1.594880601749e-01 1.594880602646e-01 1.594880603858e-01 1.594880605286e-01
2.419200000000e+06 2.604706668306e+02 2.604706668306e+02 2.617066193249e+02 2.630149512862e+02 2.638035314728e+02 2.654015278781e+02 2.666275293275e+02 2.675135425243e+02 2.243253481941e-01 2.243253481941e-01 2.243254849124e-01 2.243256670766e-01 1.594880601799e-01 1.594880602654e-01 1.594880603785e-01 1.594880605122e-01
2.505600000000e+06 2.606505270633e+02 2.606505270633e+02 2.618682940889e+02 2.631409958549e+02 2.638995136735e+02 2.654161789678e+02 2.665820691254e+02 2.674412150624e+02 2.243253663637e-01 2.243253663637e-01 2.243255050754e-01 2.243256872121e-01 1.594880601838e-01 1.594880602664e-01 1.594880603731e-01 1.594880604989e-01
2.592000000000e+06 2.607502734297e+02 2.607502734297e+02 2.619732753436e+02 2.632301767854e+02 2.639703367591e+02 2.654279282164e+02 2.665444317839e+02 2.673777052920e+02 2.243253766738e-01 2.243253766738e-01 2.243255184889e-01 2.243257017760e-01 1.594880601867e-01 1.594880602672e-01 1.594880603687e-01 1.594880604876e-01
2.678400000000e+06 2.608454379201e+02 2.608454379201e+02 2.620588809313e+02 2.632988888546e+02 2.640240649818e+02 2.654359176226e+02 2.665119033561e+02 2.673213117475e+02 2.243253866703e-01 2.243253866703e-01 2.243255296198e-01 2.243257131818e-01 1.594880601890e-01 1.594880602677e-01 1.594880603649e-01 1.594880604778e-01
2.764800000000e+06 2.609536087172e+02 2.609536087172e+02 2.621435708199e+02 2.633595635652e+02 2.640688253626e+02 2.654410529783e+02 2.664828383962e+02 2.672706027220e+02 2.243253982279e-01 2.243253982279e-01 2.243255408067e-01 2.243257233902e-01 1.594880601909e-01 1.594880602681e-01 1.594880603617e-01 1.594880604693e-01
2.851200000000e+06 2.610315850045e+02 2.610315850045e+02 2.622105317154e+02 2.634087687030e+02 2.641049596967e+02 2.654436786979e+02 2.664561924017e+02 2.672244453601e+02 2.243254066908e-01 2.243254066908e-01 2.243255497777e-01 2.243257317647e-01 1.594880601925e-01 1.594880602682e-01 1.594880603587e-01 1.594880604618e-01
2.937600000000e+06 2.611704872935e+02 2.611704872935e+02 2.623035485034e+02 2.634653354317e+02 2.641423984614e+02 2.654458490655e+02 2.664316062138e+02 2.671820424546e+02 2.243254220467e-01 2.243254220467e-01 2.243255624282e-01 2.243257415001e-01 1.594880601941e-01 1.594880602684e-01 1.594880603560e-01 1.594880604550e-01
3.024000000000e+06 2.613712438528e+02 2.613712438528e+02 2.624343308953e+02 2.635399907525e+02 2.641894613149e+02 2.654505224264e+02 2.664093920396e+02 2.671429718835e+02 2.243254448985e-01 2.243254448985e-01 2.243255805966e-01 2.243257545287e-01 1.594880601963e-01 1.594880602687e-01 1.594880603535e-01 1.594880604489e-01
3.110400000000e+06 2.615707918684e+02 2.615707918684e+02 2.625745493530e+02 2.636243356750e+02 2.642444364133e+02 2.654590731085e+02 2.663900344202e+02 2.671070808423e+02 2.243254684198e-01 2.243254684198e-01 2.243256005886e-01 2.243257695005e-01 1.594880601988e-01 1.594880602693e-01 1.594880603514e-01 1.594880604434e-01
3.196800000000e+06 2.615308093258e+02 2.615308093258e+02 2.625945813073e+02 2.636598222571e+02 2.642769372696e+02 2.654656984669e+02 2.663727234206e+02 2.670740476161e+02 2.243254636405e-01 2.243254636405e-01 2.243256034892e-01 2.243257758813e-01 1.594880602003e-01 1.594880602698e-01 1.594880603496e-01 1.594880604384e-01
3.283200000000e+06 2.615481422984e+02 2.615481422984e+02 2.626145524856e+02 2.636821096499e+02 2.642970238451e+02 2.654686832669e+02 2.663563876521e+02 2.670433607352e+02 2.243254657082e-01 2.243254657082e-01 2.243256063923e-01 2.243257799138e-01 1.594880602012e-01 1.594880602700e-01 1.594880603478e-01 1.594880604338e-01
