# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 8.091535064963e-01 8.091535064963e-01 8.091535064963e-01 8.091535064963e-01 1.595234516383e-01 1.595234516383e-01 1.595234515927e-01 1.595234515198e-01
8.640000000000e+04 2.697244957802e+02 2.697244957802e+02 2.699964594397e+02 2.700998320356e+02 2.701271462181e+02 2.701466177641e+02 2.701495978948e+02 2.701499369544e+02 8.072181935622e-01 8.072181935622e-01 8.084244416883e-01 8.089111627755e-01 1.595231709402e-01 1.595234098070e-01 1.595234466142e-01 1.595234507392e-01
1.728000000000e+05 2.691348703408e+02 2.691348703408e+02 2.696819020155e+02 2.699471513375e+02 2.700385243325e+02 2.701232468023e+02 2.701443187465e+02 2.701485180930e+02 8.049094771529e-01 8.049094771529e-01 8.070382166190e-01 8.081980130983e-01 1.595221232366e-01 1.595231234494e-01 1.595233813783e-01 1.595234331788e-01
2.592000000000e+05 2.684398126384e+02 2.684398126384e+02 2.692595247320e+02 2.697123661004e+02 2.698902032099e+02 2.700750414745e+02 2.701306016900e+02 2.701440938570e+02 8.025981545505e-01 8.025981545505e-01 8.053671841113e-01 8.071667077246e-01 1.595205017976e-01 1.595225471599e-01 1.595232129662e-01 1.595233785318e-01
3.456000000000e+05 2.676861042995e+02 2.676861042995e+02 2.687567727172e+02 2.694044934760e+02 2.696839214713e+02 2.699977431279e+02 2.701048498308e+02 2.701346524170e+02 8.004579908691e-01 8.004579908691e-01 8.036054701356e-01 8.059187927566e-01 1.595184841595e-01 1.595216612244e-01 1.595229009958e-01 1.595232624633e-01
4.320000000000e+05 2.668807354888e+02 2.668807354888e+02 2.681885579296e+02 2.690325428338e+02 2.694237667235e+02 2.698893446774e+02 2.700641426496e+02 2.701181566786e+02 7.984830804116e-01 7.984830804116e-01 8.018478999468e-01 8.045445160741e-01 1.595162660123e-01 1.595204918694e-01 1.595224187338e-01 1.595230614509e-01
5.184000000000e+05 2.660697113517e+02 2.660697113517e+02 2.675815667378e+02 2.686110456200e+02 2.691177967192e+02 2.697500692452e+02 2.700064645202e+02 2.700927741251e+02 7.967418670055e-01 7.967418670055e-01 8.001853476301e-01 8.031333837546e-01 1.595140315131e-01 1.595191019684e-01 1.595217573292e-01 1.595227564888e-01
6.048000000000e+05 2.652722016003e+02 2.652722016003e+02 2.669563412256e+02 2.681549292131e+02 2.687757262431e+02 2.695819472861e+02 2.699307692159e+02 2.700570356813e+02 7.952190888141e-01 7.952190888141e-01 7.986570557008e-01 8.017504537544e-01 1.595119109073e-01 1.595175723993e-01 1.595209261634e-01 1.595223358003e-01
6.912000000000e+05 2.644592406592e+02 2.644592406592e+02 2.663106038522e+02 2.676703034460e+02 2.684035030068e+02 2.693873958229e+02 2.698368037212e+02 2.700098924728e+02 7.938220083344e-01 7.938220083344e-01 7.972367065992e-01 8.004164389800e-01 1.595099574687e-01 1.595159769761e-01 1.595199485092e-01 1.595217958725e-01
7.776000000000e+05 2.636992419879e+02 2.636992419879e+02 2.656733613551e+02 2.671724009600e+02 2.680110380456e+02 2.691699246810e+02 2.697250041846e+02 2.699507271408e+02 7.926326503505e-01 7.926326503505e-01 7.959641845167e-01 7.991665186789e-01 1.595082101162e-01 1.595143822616e-01 1.595188568865e-01 1.595211413281e-01
