# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.685197869835e+02 2.685197869835e+02 2.692796794731e+02 2.698112924240e+02 2.699983094323e+02 2.701259102836e+02 2.701470018806e+02 2.701495181241e+02 5.608422458730e-02 5.608422458730e-02 5.608509897622e-02 5.608595429409e-02 1.590336291767e-01 1.590351162819e-01 1.590353750344e-01 1.590354061011e-01
1.728000000000e+05 2.670310455722e+02 2.670310455722e+02 2.683135445358e+02 2.693117626795e+02 2.696942770622e+02 2.700331791927e+02 2.701240975949e+02 2.701431019132e+02 5.608315332244e-02 5.608315332244e-02 5.608403576588e-02 5.608514371586e-02 1.590305416850e-01 1.590340218981e-01 1.590350940249e-01 1.590353268035e-01
2.592000000000e+05 2.657344977304e+02 2.657344977304e+02 2.673992117698e+02 2.687800023132e+02 2.693333093245e+02 2.698922786168e+02 2.700783974427e+02 2.701272429069e+02 5.608257782896e-02 5.608257782896e-02 5.608336538648e-02 5.608448893001e-02 1.590275287997e-01 1.590324824121e-01 1.590345461692e-01 1.590351322833e-01
3.456000000000e+05 2.646668080880e+02 2.646668080880e+02 2.665988950357e+02 2.682666480834e+02 2.689550898654e+02 2.697161869437e+02 2.700093451856e+02 2.700993418263e+02 5.608223888604e-02 5.608223888604e-02 5.608293553653e-02 5.608399511140e-02 1.590249379709e-01 1.590307407874e-01 1.590337493574e-01 1.590347950912e-01
4.320000000000e+05 2.636970414221e+02 2.636970414221e+02 2.658614323226e+02 2.677695463220e+02 2.685718731890e+02 2.695154061945e+02 2.699188255754e+02 2.700582219561e+02 5.608199891217e-02 5.608199891217e-02 5.608262491023e-02 5.608360877329e-02 1.590227572360e-01 1.590289655684e-01 1.590327576730e-01 1.590343095153e-01
5.184000000000e+05 2.628877511501e+02 2.628877511501e+02 2.652162759319e+02 2.673060493186e+02 2.681979532981e+02 2.692992436866e+02 2.698100248989e+02 2.700038940067e+02 5.608183419845e-02 5.608183419845e-02 5.608240162863e-02 5.608330913470e-02 1.590209603634e-01 1.590272655371e-01 1.590316385752e-01 1.590336879121e-01
6.048000000000e+05 2.621966301047e+02 2.621966301047e+02 2.646489514231e+02 2.668777443520e+02 2.678399325925e+02 2.690749731798e+02 2.696864916041e+02 2.699371863434e+02 5.608171328083e-02 5.608171328083e-02 5.608223395912e-02 5.608307254208e-02 1.590194813393e-01 1.590256960941e-01 1.590304552376e-01 1.590329541253e-01
6.912000000000e+05 2.614852341510e+02 2.614852341510e+02 2.640849558937e+02 2.664572598973e+02 2.674877558245e+02 2.688450718926e+02 2.695511470482e+02 2.698592797781e+02 5.608160415861e-02 5.608160415861e-02 5.608208858221e-02 5.608287042825e-02 1.590182129253e-01 1.590242603785e-01 1.590292542647e-01 1.590321357346e-01
7.776000000000e+05 2.609216916608e+02 2.609216916608e+02 2.635988232778e+02 2.660701686777e+02 2.671521079603e+02 2.686134197857e+02 2.694066405081e+02 2.697715095124e+02 5.608152696115e-02 5.608152696115e-02 5.608197739350e-02 5.608270610025e-02 1.590171453022e-01 1.590229638178e-01 1.590280701709e-01 1.590312600484e-01
