# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.685300394851e+02 2.685300394851e+02 2.692944353041e+02 2.698353834707e+02 2.700064059267e+02 2.701258376989e+02 2.701463012785e+02 2.701492633685e+02 5.608423442495e-02 5.608423442495e-02 5.608511945824e-02 5.608599972516e-02 1.590337194936e-01 1.590351153863e-01 1.590353663740e-01 1.590354029460e-01
1.728000000000e+05 2.670684438849e+02 2.670684438849e+02 2.683630413481e+02 2.693815443024e+02 2.697300475281e+02 2.700399119844e+02 2.701216655995e+02 2.701411759407e+02 5.608317366296e-02 5.608317366296e-02 5.608407956072e-02 5.608524372307e-02 1.590308747123e-01 1.590340989336e-01 1.590350644450e-01 1.590353030688e-01
2.592000000000e+05 2.658044768376e+02 2.658044768376e+02 2.674916661587e+02 2.689047723540e+02 2.694085786816e+02 2.699136751809e+02 2.700752100966e+02 2.701226248107e+02 5.608260357845e-02 5.608260357845e-02 5.608342308933e-02 5.608462747519e-02 1.590281065672e-01 1.590327068318e-01 1.590345085872e-01 1.590350760344e-01
3.456000000000e+05 2.647692507255e+02 2.647692507255e+02 2.667367217721e+02 2.684498418368e+02 2.690773080648e+02 2.697596235020e+02 2.700077486855e+02 2.700916962086e+02 5.608226756786e-02 5.608226756786e-02 5.608300172712e-02 5.608415864621e-02 1.590257196604e-01 1.590311521883e-01 1.590337313694e-01 1.590347037968e-01
4.320000000000e+05 2.638303043562e+02 2.638303043562e+02 2.660448873412e+02 2.680127313211e+02 2.687454588622e+02 2.695868912883e+02 2.699219567876e+02 2.700479993560e+02 5.608202885338e-02 5.608202885338e-02 5.608269600636e-02 5.608378819439e-02 1.590236951692e-01 1.590295725933e-01 1.590327910464e-01 1.590341908538e-01
5.184000000000e+05 2.630483940867e+02 2.630483940867e+02 2.654433528552e+02 2.676080611875e+02 2.684247419408e+02 2.694032667928e+02 2.698212243797e+02 2.699921980313e+02 5.608186473968e-02 5.608186473968e-02 5.608247584503e-02 5.608349854266e-02 1.590220135334e-01 1.590280564671e-01 1.590317503190e-01 1.590335569691e-01
6.048000000000e+05 2.623809561968e+02 2.623809561968e+02 2.649166923102e+02 2.672361153176e+02 2.681198859657e+02 2.692145779669e+02 2.697090326682e+02 2.699255869307e+02 5.608174397233e-02 5.608174397233e-02 5.608231013448e-02 5.608326810210e-02 1.590206174452e-01 1.590266488800e-01 1.590306646669e-01 1.590328297223e-01
6.912000000000e+05 2.616910974856e+02 2.616910974856e+02 2.643916312975e+02 2.668709665931e+02 2.678205324219e+02 2.690221828232e+02 2.695878635770e+02 2.698495585078e+02 5.608163430577e-02 5.608163430577e-02 5.608216524837e-02 5.608306906397e-02 1.590194053761e-01 1.590253488854e-01 1.590295708208e-01 1.590320364135e-01
7.776000000000e+05 2.611468431818e+02 2.611468431818e+02 2.639417974465e+02 2.665362113042e+02 2.675364603185e+02 2.688292229916e+02 2.694599784107e+02 2.697655078288e+02 5.608155691049e-02 5.608155691049e-02 5.608205458699e-02 5.608290636865e-02 1.590183769157e-01 1.590241637086e-01 1.590284961556e-01 1.590312018945e-01
