# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.684972246157e+02 2.684972246157e+02 2.693052902186e+02 2.698506884554e+02 2.700183599728e+02 2.701292753678e+02 2.701474333956e+02 2.701495884280e+02 5.608420309443e-02 5.608420309443e-02 5.608513462845e-02 5.608602894075e-02 1.590338543393e-01 1.590351573111e-01 1.590353803708e-01 1.590354069719e-01
1.728000000000e+05 2.669569177504e+02 2.669569177504e+02 2.683310621851e+02 2.693853361716e+02 2.697399586624e+02 2.700455660511e+02 2.701269358526e+02 2.701438682482e+02 5.608311374952e-02 5.608311374952e-02 5.608405116006e-02 5.608524926626e-02 1.590309689331e-01 1.590341641020e-01 1.590351286101e-01 1.590353362564e-01
2.592000000000e+05 2.656184186055e+02 2.656184186055e+02 2.674072621630e+02 2.688843153014e+02 2.694045059711e+02 2.699162163760e+02 2.700853628953e+02 2.701295147976e+02 5.608253619851e-02 5.608253619851e-02 5.608337033519e-02 5.608460419000e-02 1.590280751642e-01 1.590327340670e-01 1.590346285896e-01 1.590351600209e-01
3.456000000000e+05 2.645263727030e+02 2.645263727030e+02 2.666027257622e+02 2.683984575968e+02 2.690504383256e+02 2.697530369003e+02 2.700219137571e+02 2.701040138174e+02 5.608220070284e-02 5.608220070284e-02 5.608293733761e-02 5.608411147133e-02 1.590255438352e-01 1.590310896410e-01 1.590338917051e-01 1.590348511121e-01
4.320000000000e+05 2.635463592100e+02 2.635463592100e+02 2.658693595335e+02 2.679290341461e+02 2.686912265982e+02 2.695661070928e+02 2.699382204364e+02 2.700661797816e+02 5.608196608419e-02 5.608196608419e-02 5.608262790639e-02 5.608372450849e-02 1.590233938696e-01 1.590293941742e-01 1.590329653299e-01 1.590344024518e-01
5.184000000000e+05 2.627363834794e+02 2.627363834794e+02 2.652325977564e+02 2.674917581764e+02 2.683405348662e+02 2.693643622287e+02 2.698372235120e+02 2.700159618549e+02 5.608180630550e-02 5.608180630550e-02 5.608240681751e-02 5.608342314772e-02 1.590216100918e-01 1.590277561277e-01 1.590319112696e-01 1.590338240802e-01
6.048000000000e+05 2.620514572194e+02 2.620514572194e+02 2.646772589683e+02 2.670884278702e+02 2.680048836949e+02 2.691548085529e+02 2.697222790224e+02 2.699541076303e+02 5.608168984529e-02 5.608168984529e-02 5.608224177947e-02 5.608318463755e-02 1.590201346715e-01 1.590262332993e-01 1.590307890564e-01 1.590331372879e-01
6.912000000000e+05 2.613499470026e+02 2.613499470026e+02 2.641297796067e+02 2.666947010205e+02 2.676757921214e+02 2.689400788636e+02 2.695961793951e+02 2.698817202789e+02 5.608158493499e-02 5.608158493499e-02 5.608209945400e-02 5.608298123969e-02 1.590188675317e-01 1.590248332823e-01 1.590296434480e-01 1.590323673663e-01
7.776000000000e+05 2.607989380027e+02 2.607989380027e+02 2.636562056210e+02 2.663308155494e+02 2.673616158617e+02 2.687236553380e+02 2.694614535105e+02 2.698000623287e+02 5.608151110507e-02 5.608151110507e-02 5.608198990993e-02 5.608281464543e-02 1.590177948373e-01 1.590235623988e-01 1.590285081160e-01 1.590315397588e-01
