# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.684907938807e+02 2.684907938807e+02 2.692442980928e+02 2.697546074707e+02 2.699972423104e+02 2.701340418159e+02 2.701481515286e+02 2.701496999338e+02 5.608419700761e-02 5.608419700761e-02 5.608505051084e-02 5.608585000327e-02 1.590336196587e-01 1.590352156115e-01 1.590353892552e-01 1.590354083532e-01
1.728000000000e+05 2.669387479663e+02 2.669387479663e+02 2.682033145780e+02 2.691630007653e+02 2.696728871359e+02 2.700622091273e+02 2.701316000321e+02 2.701450641034e+02 5.608310419742e-02 5.608310419742e-02 5.608394146170e-02 5.608494248944e-02 1.590303559633e-01 1.590343573313e-01 1.590351855898e-01 1.590353510173e-01
2.592000000000e+05 2.655775746874e+02 2.655775746874e+02 2.672086628810e+02 2.685351488552e+02 2.692820313692e+02 2.699462420787e+02 2.700964439029e+02 2.701329599380e+02 5.608252186161e-02 5.608252186161e-02 5.608325226554e-02 5.608423934430e-02 1.590271666584e-01 1.590330562915e-01 1.590347605027e-01 1.590352021645e-01
3.456000000000e+05 2.644565610484e+02 2.644565610484e+02 2.663363982084e+02 2.679348075138e+02 2.688705366276e+02 2.697954641004e+02 2.700410002591e+02 2.701108247248e+02 5.608218219253e-02 5.608218219253e-02 5.608281706350e-02 5.608372883420e-02 1.590244475103e-01 1.590315033496e-01 1.590341101294e-01 1.590349330967e-01
4.320000000000e+05 2.634454021644e+02 2.634454021644e+02 2.655380223685e+02 2.673612604530e+02 2.684551306080e+02 2.696191026322e+02 2.699660343979e+02 2.700772319566e+02 5.608194467465e-02 5.608194467465e-02 5.608250812849e-02 5.608334224723e-02 1.590221926224e-01 1.590298593551e-01 1.590332676556e-01 1.590345323446e-01
5.184000000000e+05 2.626074833734e+02 2.626074833734e+02 2.648448258739e+02 2.668347687464e+02 2.680524846278e+02 2.694258182510e+02 2.698737889720e+02 2.700318187428e+02 5.608178320082e-02 5.608178320082e-02 5.608228919281e-02 5.608305061812e-02 1.590203622693e-01 1.590282402048e-01 1.590322851939e-01 1.590340046448e-01
6.048000000000e+05 2.618984535428e+02 2.618984535428e+02 2.642415216768e+02 2.663564933312e+02 2.676705426363e+02 2.692227840285e+02 2.697671925494e+02 2.699750436125e+02 5.608166581762e-02 5.608166581762e-02 5.608212704549e-02 5.608282580125e-02 1.590188780900e-01 1.590267142916e-01 1.590312182508e-01 1.590333666776e-01
6.912000000000e+05 2.611747617131e+02 2.611747617131e+02 2.636486745544e+02 2.658930985809e+02 2.672991943266e+02 2.690133823482e+02 2.696488670551e+02 2.699077946120e+02 5.608156070483e-02 5.608156070483e-02 5.608198825838e-02 5.608263691892e-02 1.590176245350e-01 1.590253004065e-01 1.590301118242e-01 1.590326406356e-01
7.776000000000e+05 2.606041253335e+02 2.606041253335e+02 2.631411477338e+02 2.654728425920e+02 2.669484580076e+02 2.688013186160e+02 2.695213206676e+02 2.698312006627e+02 5.608148659546e-02 5.608148659546e-02 5.608188283236e-02 5.608248581381e-02 1.590165805381e-01 1.590240098894e-01 1.590290019462e-01 1.590318504230e-01
