# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.683576448763e+02 2.683576448763e+02 2.692698045036e+02 2.698603882972e+02 2.700237952854e+02 2.701301803376e+02 2.701475492515e+02 2.701496073239e+02 5.608407474086e-02 5.608407474086e-02 5.608508535834e-02 5.608604760101e-02 1.590339159028e-01 1.590351683619e-01 1.590353818038e-01 1.590354072060e-01
1.728000000000e+05 2.667323550267e+02 2.667323550267e+02 2.682688001997e+02 2.694098298803e+02 2.697556263282e+02 2.700496273734e+02 2.701278454399e+02 2.701441118215e+02 5.608299958528e-02 5.608299958528e-02 5.608399695954e-02 5.608528535035e-02 1.590311181752e-01 1.590342109846e-01 1.590351397079e-01 1.590353392619e-01
2.592000000000e+05 2.653592472918e+02 2.653592472918e+02 2.673402953806e+02 2.689301102859e+02 2.694348818756e+02 2.699255966592e+02 2.700879408032e+02 2.701303306384e+02 5.608244783896e-02 5.608244783896e-02 5.608332959756e-02 5.608465663695e-02 1.590283146701e-01 1.590328337226e-01 1.590346591908e-01 1.590351699920e-01
3.456000000000e+05 2.642697021403e+02 2.642697021403e+02 2.665497565836e+02 2.684703859047e+02 2.690993248687e+02 2.697700056517e+02 2.700272487551e+02 2.701059039716e+02 5.608213411637e-02 5.608213411637e-02 5.608291262339e-02 5.608417780460e-02 1.590258655165e-01 1.590312528693e-01 1.590339524828e-01 1.590348738267e-01
4.320000000000e+05 2.633044015588e+02 2.633044015588e+02 2.658394873157e+02 2.680301711695e+02 2.687615188543e+02 2.695928185228e+02 2.699475310232e+02 2.700697790809e+02 5.608191552726e-02 5.608191552726e-02 5.608261665070e-02 5.608380173335e-02 1.590237850162e-01 1.590296249341e-01 1.590330659325e-01 1.590344446483e-01
5.184000000000e+05 2.625193932238e+02 2.625193932238e+02 2.652307011185e+02 2.676228525483e+02 2.684337283508e+02 2.694026024926e+02 2.698517400441e+02 2.700219952528e+02 5.608176774195e-02 5.608176774195e-02 5.608240621342e-02 5.608350836460e-02 1.590220560685e-01 1.590280522266e-01 1.590320587006e-01 1.590338925621e-01
6.048000000000e+05 2.618624122423e+02 2.618624122423e+02 2.647046833130e+02 2.672489059234e+02 2.681214168080e+02 2.692059065010e+02 2.697431586172e+02 2.699633420315e+02 5.608166025504e-02 5.608166025504e-02 5.608224940714e-02 5.608327553226e-02 1.590206222510e-01 1.590265886451e-01 1.590309871392e-01 1.590332380858e-01
6.912000000000e+05 2.611833083956e+02 2.611833083956e+02 2.641852312078e+02 2.668844434384e+02 2.678160358982e+02 2.690050606396e+02 2.696244499061e+02 2.698949204454e+02 5.608156187003e-02 5.608156187003e-02 5.608211305795e-02 5.608307598741e-02 1.590193861339e-01 1.590252404171e-01 1.590298929794e-01 1.590325051483e-01
7.776000000000e+05 2.606632230219e+02 2.606632230219e+02 2.637429819154e+02 2.665495438378e+02 2.675256931545e+02 2.688033137185e+02 2.694980333891e+02 2.698179696666e+02 5.608149394757e-02 5.608149394757e-02 5.608200913564e-02 5.608291252495e-02 1.590183377389e-01 1.590240140754e-01 1.590288078823e-01 1.590317176913e-01
