# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.684897879049e+02 2.684897879049e+02 2.692427513534e+02 2.697518405666e+02 2.699911152897e+02 2.701352333492e+02 2.701497233229e+02 2.701499939341e+02 5.608419605699e-02 5.608419605699e-02 5.608504841264e-02 5.608584500392e-02 1.590335511984e-01 1.590352302451e-01 1.590354087158e-01 1.590354119955e-01
1.728000000000e+05 2.669291779744e+02 2.669291779744e+02 2.681901939434e+02 2.691435311091e+02 2.696427616568e+02 2.700587537151e+02 2.701449276755e+02 2.701496894467e+02 5.608309918936e-02 5.608309918936e-02 5.608393052287e-02 5.608491728658e-02 1.590300814351e-01 1.590343177157e-01 1.590353494055e-01 1.590354082233e-01
2.592000000000e+05 2.655519900464e+02 2.655519900464e+02 2.671737225707e+02 2.684856772060e+02 2.692125264894e+02 2.699271033178e+02 2.701317464582e+02 2.701485059850e+02 5.608251296152e-02 5.608251296152e-02 5.608323232518e-02 5.608419217686e-02 1.590266606091e-01 1.590328532420e-01 1.590351873815e-01 1.590353935691e-01
3.456000000000e+05 2.644088534309e+02 2.644088534309e+02 2.662702722990e+02 2.678430449029e+02 2.687479467891e+02 2.697474124972e+02 2.701066370696e+02 2.701455822574e+02 5.608216971751e-02 5.608216971751e-02 5.608278868019e-02 5.608366122276e-02 1.590237281127e-01 1.590310432384e-01 1.590348827161e-01 1.590353574168e-01
4.320000000000e+05 2.633709944263e+02 2.633709944263e+02 2.654329480171e+02 2.672167678960e+02 2.682678231960e+02 2.695290606688e+02 2.700671916645e+02 2.701399006786e+02 5.608192918570e-02 5.608192918570e-02 5.608247234640e-02 5.608325692547e-02 1.590212924165e-01 1.590290913492e-01 1.590344143753e-01 1.590352873692e-01
5.184000000000e+05 2.625039331275e+02 2.625039331275e+02 2.646952393688e+02 2.666295104079e+02 2.677915046212e+02 2.692820338934e+02 2.700122383170e+02 2.701304260944e+02 5.608176505597e-02 5.608176505597e-02 5.608224677472e-02 5.608294999150e-02 1.590193136933e-01 1.590271538317e-01 1.590337820205e-01 1.590351711590e-01
6.048000000000e+05 2.617648622427e+02 2.617648622427e+02 2.640438700139e+02 2.660848457474e+02 2.673295619424e+02 2.690154584760e+02 2.699416969477e+02 2.701162241000e+02 5.608164538068e-02 5.608164538068e-02 5.608207871348e-02 5.608271199426e-02 1.590177091020e-01 1.590253269911e-01 1.590330028242e-01 1.590349983584e-01
6.912000000000e+05 2.610106887013e+02 2.610106887013e+02 2.634005292185e+02 2.655509924866e+02 2.668734322256e+02 2.687348387312e+02 2.698562296402e+02 2.700965355243e+02 5.608153866299e-02 5.608153866299e-02 5.608193530471e-02 5.608251261574e-02 1.590163613473e-01 1.590236461438e-01 1.590321045670e-01 1.590347615259e-01
7.776000000000e+05 2.604097388217e+02 2.604097388217e+02 2.628412873117e+02 2.650578032443e+02 2.664350748842e+02 2.684455719994e+02 2.697569305846e+02 2.700708066322e+02 5.608146290696e-02 5.608146290696e-02 5.608182554697e-02 5.608235236454e-02 1.590152418735e-01 1.590221268085e-01 1.590311191606e-01 1.590344567134e-01
8.640000000000e+05 2.594957777469e+02 2.594957777469e+02 2.621284842330e+02 2.645021096276e+02 2.659729309503e+02 2.681457355345e+02 2.696448389913e+02 2.700386710800e+02 5.608136080963e-02 5.608136080963e-02 5.608170220095e-02 5.608219423480e-02 1.590142144691e-01 1.590207409321e-01 1.590300755064e-01 1.590340832571e-01
9.504000000000e+05 2.587840730176e+02 2.587840730176e+02 2.614969267643e+02 2.639687196401e+02 2.655112216928e+02 2.678362549891e+02 2.695209414122e+02 2.699999160223e+02 5.608129054300e-02 5.608129054300e-02 5.608160584160e-02 5.608206089703e-02 1.590133146224e-01 1.590194777027e-01 1.590289987652e-01 1.590336432608e-01
1.036800000000e+06 2.582819168459e+02 2.582819168459e+02 2.609939280190e+02 2.634969486747e+02 2.650752652045e+02 2.675223994240e+02 2.693862455220e+02 2.699544531971e+02 5.608124512454e-02 5.608124512454e-02 5.608153644574e-02 5.608195554847e-02 1.590125608680e-01 1.590183410659e-01 1.590279105564e-01 1.590331410492e-01
1.123200000000e+06 2.579329857191e+02 2.579329857191e+02 2.606022922799e+02 2.630915567719e+02 2.646768925242e+02 2.672108028041e+02 2.692420411800e+02 2.699023062157e+02 5.608121537998e-02 5.608121537998e-02 5.608148636856e-02 5.608187311646e-02 1.590119409882e-01 1.590173334565e-01 1.590268306871e-01 1.590325827413e-01
1.209600000000e+06 2.577040860854e+02 2.577040860854e+02 2.603039838354e+02 2.627490497438e+02 2.643202210292e+02 2.669074239172e+02 2.690900150797e+02 2.698436374557e+02 5.608119661851e-02 5.608119661851e-02 5.608145032875e-02 5.608180860759e-02 1.590114342620e-01 1.590164506723e-01 1.590257773206e-01 1.590319761803e-01
1.296000000000e+06 2.575173276728e+02 2.575173276728e+02 2.600541531449e+02 2.624500343023e+02 2.639993278710e+02 2.666159118027e+02 2.689320131830e+02 2.697787414580e+02 5.608118173000e-02 5.608118173000e-02 5.608142144355e-02 5.608175575409e-02 1.590110128816e-01 1.590156809996e-01 1.590247649651e-01 1.590313304351e-01
1.382400000000e+06 2.572122786795e+02 2.572122786795e+02 2.597554647433e+02 2.621454380160e+02 2.636909432947e+02 2.663353156044e+02 2.687697303654e+02 2.697080162935e+02 5.608115818366e-02 5.608115818366e-02 5.608138836247e-02 5.608170494431e-02 1.590106359485e-01 1.590150036520e-01 1.590238030529e-01 1.590306550985e-01
1.468800000000e+06 2.570882121010e+02 2.570882121010e+02 2.595527496892e+02 2.618901583701e+02 2.634118792860e+02 2.660668009510e+02 2.686046793891e+02 2.696319455192e+02 5.608114887054e-02 5.608114887054e-02 5.608136676171e-02 5.608166453411e-02 1.590103157580e-01 1.590144067660e-01 1.590228968976e-01 1.590299597724e-01
1.555200000000e+06 2.569320366211e+02 2.569320366211e+02 2.593549094085e+02 2.616531007142e+02 2.631534966371e+02 2.658105861725e+02 2.684381853373e+02 2.695510748005e+02 5.608113735577e-02 5.608113735577e-02 5.608134630959e-02 5.608162865796e-02 1.590100357079e-01 1.590138788295e-01 1.590220487028e-01 1.590292535992e-01
1.641600000000e+06 2.567991722917e+02 2.567991722917e+02 2.591762668438e+02 2.614347897195e+02 2.629133895485e+02 2.655663880378e+02 2.682713609710e+02 2.694659683570e+02 5.608112773808e-02 5.608112773808e-02 5.608132835359e-02 5.608159693738e-02 1.590097885076e-01 1.590134096156e-01 1.590212583057e-01 1.590285447430e-01
1.728000000000e+06 2.567656714964e+02 2.567656714964e+02 2.590606169395e+02 2.612550047748e+02 2.626995368243e+02 2.653352197790e+02 2.681051870108e+02 2.693771744554e+02 5.608112533842e-02 5.608112533842e-02 5.608131697888e-02 5.608157171237e-02 1.590095780239e-01 1.590129930444e-01 1.590205242286e-01 1.590278400996e-01
1.814400000000e+06 2.567291258516e+02 2.567291258516e+02 2.589600908192e+02 2.610961471207e+02 2.625067671082e+02 2.651174113615e+02 2.679405468899e+02 2.692852633262e+02 5.608112273215e-02 5.608112273215e-02 5.608130724658e-02 5.608155006668e-02 1.590093957226e-01 1.590126229686e-01 1.590198442435e-01 1.590271456599e-01
1.900800000000e+06 2.567063647735e+02 2.567063647735e+02 2.588752367162e+02 2.609549325140e+02 2.623320616276e+02 2.649126867739e+02 2.677782089897e+02 2.691907956220e+02 5.608112111497e-02 5.608112111497e-02 5.608129914126e-02 5.608153131131e-02 1.590092362715e-01 1.590122933734e-01 1.590192155799e-01 1.590264663289e-01
1.987200000000e+06 2.567462578563e+02 2.567462578563e+02 2.588324783368e+02 2.608424016014e+02 2.621792972004e+02 2.647213906224e+02 2.676188524545e+02 2.690942995149e+02 5.608112395244e-02 5.608112395244e-02 5.608129509441e-02 5.608151668210e-02 1.590091010385e-01 1.590120001827e-01 1.590186352368e-01 1.590258058875e-01
2.073600000000e+06 2.568863932504e+02 2.568863932504e+02 2.588577897937e+02 2.607731638839e+02 2.620563612642e+02 2.645451564916e+02 2.674631584337e+02 2.689962672664e+02 5.608113403352e-02 5.608113403352e-02 5.608129748700e-02 5.608150781688e-02 1.590089948004e-01 1.590117418142e-01 1.590181004184e-01 1.590251671309e-01
2.160000000000e+06 2.583372654235e+02 2.583372654235e+02 2.596281600171e+02 2.610679330444e+02 2.621111153289e+02 2.644077634791e+02 2.673129792092e+02 2.688972539281e+02 5.608124997530e-02 5.608124997530e-02 5.608137471944e-02 5.608154628343e-02 1.590090394139e-01 1.590115470680e-01 1.590176122453e-01 1.590245525987e-01
2.246400000000e+06 2.593734431742e+02 2.593734431742e+02 2.603305826779e+02 2.614305015830e+02 2.622634131517e+02 2.643193632653e+02 2.671711964721e+02 2.687980209966e+02 5.608134819991e-02 5.608134819991e-02 5.608145347226e-02 5.608159632647e-02 1.590091699940e-01 1.590114241686e-01 1.590171744300e-01 1.590239654502e-01
2.332800000000e+06 2.598896764119e+02 2.598896764119e+02 2.607600286855e+02 2.617084194959e+02 2.624222951824e+02 2.642712949865e+02 2.670404396073e+02 2.686994243112e+02 5.608140303746e-02 5.608140303746e-02 5.608150614654e-02 5.608163689329e-02 1.590093111260e-01 1.590113576244e-01 1.590167891217e-01 1.590234086370e-01
2.419200000000e+06 2.601752839080e+02 2.601752839080e+02 2.610216158092e+02 2.619050816268e+02 2.625567922183e+02 2.642494077977e+02 2.669221422113e+02 2.686023903007e+02 5.608143530577e-02 5.608143530577e-02 5.608154011191e-02 5.608166684458e-02 1.590094343207e-01 1.590113268971e-01 1.590164548168e-01 1.590228848042e-01
2.505600000000e+06 2.603890781896e+02 2.603890781896e+02 2.612119593710e+02 2.620549060725e+02 2.626677978262e+02 2.642426299482e+02 2.668164426110e+02 2.685077753815e+02 5.608146043279e-02 5.608146043279e-02 5.608156578861e-02 5.608169039474e-02 1.590095385679e-01 1.590113167045e-01 1.590161669418e-01 1.590223956385e-01
2.592000000000e+06 2.605053690350e+02 2.605053690350e+02 2.613321158426e+02 2.621611908940e+02 2.627540470427e+02 2.642430773722e+02 2.667225168543e+02 2.684162797291e+02 5.608147446719e-02 5.608147446719e-02 5.608158243499e-02 5.608170750114e-02 1.590096212166e-01 1.590113164033e-01 1.590159192777e-01 1.590219416579e-01
2.678400000000e+06 2.606138476931e+02 2.606138476931e+02 2.614313118176e+02 2.622459708181e+02 2.628233408565e+02 2.642463912251e+02 2.666390355588e+02 2.683284095741e+02 5.608148780009e-02 5.608148780009e-02 5.608159644187e-02 5.608172139195e-02 1.590096886628e-01 1.590113201202e-01 1.590157053026e-01 1.590215222874e-01
