# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.590354121891e-01 1.590354121891e-01 1.590354121436e-01 1.590354120706e-01
8.640000000000e+04 2.680773703081e+02 2.680773703081e+02 2.692691606027e+02 2.699479334706e+02 2.700656263654e+02 2.701369996505e+02 2.701484116985e+02 2.701497471264e+02 5.608383885398e-02 5.608383885398e-02 5.608508447285e-02 5.608622126347e-02 1.590343973994e-01 1.590352518640e-01 1.590353924750e-01 1.590354089378e-01
1.728000000000e+05 2.661965850518e+02 2.661965850518e+02 2.681955740506e+02 2.695963157273e+02 2.698643839190e+02 2.700782703569e+02 2.701343086984e+02 2.701458476470e+02 5.608275770342e-02 5.608275770342e-02 5.608393500114e-02 5.608557681736e-02 1.590321950832e-01 1.590345453397e-01 1.590352187630e-01 1.590353606954e-01
2.592000000000e+05 2.646771155005e+02 2.646771155005e+02 2.672218934292e+02 2.692168456989e+02 2.696178312629e+02 2.699849703957e+02 2.701048144255e+02 2.701357677591e+02 5.608224173970e-02 5.608224173970e-02 5.608325987911e-02 5.608501352232e-02 1.590298477542e-01 1.590334788523e-01 1.590348608015e-01 1.590352365849e-01
3.456000000000e+05 2.635422794321e+02 2.635422794321e+02 2.664269845810e+02 2.688543271870e+02 2.693583607728e+02 2.698663484914e+02 2.700591920125e+02 2.701175845467e+02 5.608196521006e-02 5.608196521006e-02 5.608285687588e-02 5.608457046700e-02 1.590277135957e-01 1.590322129777e-01 1.590343208887e-01 1.590350148396e-01
4.320000000000e+05 2.625821080200e+02 2.625821080200e+02 2.657466753738e+02 2.685124477990e+02 2.690987285376e+02 2.697308442748e+02 2.699987836394e+02 2.700904185664e+02 5.608177872058e-02 5.608177872058e-02 5.608258227396e-02 5.608421757248e-02 1.590258567793e-01 1.590308770611e-01 1.590336306406e-01 1.590346885815e-01
5.184000000000e+05 2.618372285033e+02 2.618372285033e+02 2.651866488720e+02 2.681996674671e+02 2.688485027302e+02 2.695855628475e+02 2.699259510901e+02 2.700542833982e+02 5.608165638981e-02 5.608165638981e-02 5.608239226562e-02 5.608393841509e-02 1.590242831109e-01 1.590295600570e-01 1.590328336669e-01 1.590342636996e-01
6.048000000000e+05 2.612375563329e+02 2.612375563329e+02 2.647203988297e+02 2.679155082976e+02 2.686117666858e+02 2.694358208306e+02 2.698433818126e+02 2.700098193099e+02 5.608156930587e-02 5.608156930587e-02 5.608225380112e-02 5.608371441253e-02 1.590229569317e-01 1.590283126597e-01 1.590319736517e-01 1.590337546365e-01
6.912000000000e+05 2.606140741292e+02 2.606140741292e+02 2.642690833166e+02 2.676426694061e+02 2.683827806833e+02 2.692837588032e+02 2.697532850991e+02 2.699579357593e+02 5.608148782816e-02 5.608148782816e-02 5.608213396061e-02 5.608352160844e-02 1.590218021605e-01 1.590271468627e-01 1.590310841073e-01 1.590331790012e-01
7.776000000000e+05 2.601758807604e+02 2.601758807604e+02 2.639026137861e+02 2.673949087373e+02 2.681670483942e+02 2.691319450182e+02 2.696576223208e+02 2.698996508378e+02 5.608143537474e-02 5.608143537474e-02 5.608204547047e-02 5.608336274715e-02 1.590208131444e-01 1.590260727729e-01 1.590301910596e-01 1.590325548030e-01
