# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 2.790303593203e-01 2.790303593203e-01 2.790303592812e-01 2.790303592187e-01
8.640000000000e+04 2.685147416625e+02 2.685147416625e+02 2.692787510207e+02 2.698109139409e+02 2.700061268427e+02 2.701304645960e+02 2.701480278124e+02 2.701497317839e+02 5.608421976252e-02 5.608421976252e-02 5.608509769283e-02 5.608595358570e-02 2.790289061288e-01 2.790301532766e-01 2.790303383463e-01 2.790303563699e-01
1.728000000000e+05 2.670173754939e+02 2.670173754939e+02 2.683070013757e+02 2.693083827280e+02 2.697096653961e+02 2.700493955762e+02 2.701308892693e+02 2.701454949684e+02 5.608314595092e-02 5.608314595092e-02 5.608403004516e-02 5.608513896645e-02 2.790263077371e-01 2.790293274381e-01 2.790301575993e-01 2.790303114388e-01
2.592000000000e+05 2.657129230872e+02 2.657129230872e+02 2.673862766654e+02 2.687722250415e+02 2.693538715254e+02 2.699224629582e+02 2.700948735377e+02 2.701343316482e+02 5.608256999060e-02 5.608256999060e-02 5.608335746473e-02 5.608448056209e-02 2.790237370549e-01 2.790281209387e-01 2.790297845418e-01 2.790301936722e-01
3.456000000000e+05 2.646391271764e+02 2.646391271764e+02 2.665798793877e+02 2.682537321076e+02 2.689781806783e+02 2.697605217958e+02 2.700384300155e+02 2.701137614029e+02 5.608223125751e-02 5.608223125751e-02 5.608292662788e-02 5.608398405478e-02 2.790215066571e-01 2.790267166588e-01 2.790292176913e-01 2.790299789926e-01
4.320000000000e+05 2.636646383553e+02 2.636646383553e+02 2.658369782076e+02 2.677512297775e+02 2.685958524073e+02 2.695732131515e+02 2.699623768239e+02 2.700823240360e+02 5.608199176241e-02 5.608199176241e-02 5.608261570957e-02 5.608359593027e-02 2.790196210759e-01 2.790252547543e-01 2.790284864316e-01 2.790296565999e-01
5.184000000000e+05 2.628519299815e+02 2.628519299815e+02 2.651870359596e+02 2.672823942856e+02 2.682214843151e+02 2.693693021730e+02 2.698688969598e+02 2.700395285806e+02 5.608182752154e-02 5.608182752154e-02 5.608239238749e-02 5.608329514325e-02 2.790180629211e-01 2.790238313517e-01 2.790276351880e-01 2.790292284625e-01
6.048000000000e+05 2.621584848991e+02 2.621584848991e+02 2.646156689682e+02 2.668490643226e+02 2.678621761417e+02 2.691558849212e+02 2.697608418475e+02 2.699856571770e+02 5.608170706140e-02 5.608170706140e-02 5.608222483246e-02 5.608305787695e-02 2.790167785587e-01 2.790225002195e-01 2.790267111543e-01 2.790287063890e-01
6.912000000000e+05 2.614453222214e+02 2.614453222214e+02 2.640482853198e+02 2.664239830502e+02 2.675088280040e+02 2.689359007837e+02 2.696407522961e+02 2.699214241058e+02 5.608159843985e-02 5.608159843985e-02 5.608207976964e-02 5.608285553909e-02 2.790156784901e-01 2.790212719641e-01 2.790257525946e-01 2.790281072314e-01
7.776000000000e+05 2.608807393133e+02 2.608807393133e+02 2.635592160862e+02 2.660327300868e+02 2.671716314574e+02 2.687131150257e+02 2.695109771327e+02 2.698477780879e+02 5.608152163510e-02 5.608152163510e-02 5.608196884391e-02 5.608269117861e-02 2.790147522015e-01 2.790201545454e-01 2.790247895697e-01 2.790274496586e-01
