# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 5.608666182152e-02 1.595234516383e-01 1.595234516383e-01 1.595234515927e-01 1.595234515198e-01
8.640000000000e+04 2.685163517823e+02 2.685163517823e+02 2.692810446521e+02 2.698145914553e+02 2.700000543884e+02 2.701262160752e+02 2.701470418559e+02 2.701495246455e+02 5.608422130109e-02 5.608422130109e-02 5.608510086445e-02 5.608596047567e-02 1.595216891258e-01 1.595231596250e-01 1.595234149992e-01 1.595234456345e-01
1.728000000000e+05 2.670225290921e+02 2.670225290921e+02 2.683137959061e+02 2.693178971584e+02 2.696982260746e+02 2.700343011567e+02 2.701243594104e+02 2.701431726347e+02 5.608314872601e-02 5.608314872601e-02 5.608403598597e-02 5.608515235778e-02 1.595186204172e-01 1.595220749792e-01 1.595231368443e-01 1.595233671738e-01
2.592000000000e+05 2.657222393618e+02 2.657222393618e+02 2.673985799342e+02 2.687888011054e+02 2.693395117434e+02 2.698944622150e+02 2.700790428583e+02 2.701274532455e+02 5.608257336960e-02 5.608257336960e-02 5.608336499868e-02 5.608449843393e-02 1.595156195696e-01 1.595205463483e-01 1.595225937374e-01 1.595231744597e-01
3.456000000000e+05 2.646526314752e+02 2.646526314752e+02 2.665980790090e+02 2.682779525529e+02 2.689634994470e+02 2.697195829923e+02 2.700105181278e+02 2.700997767821e+02 5.608223497276e-02 5.608223497276e-02 5.608293515314e-02 5.608400483784e-02 1.595130357791e-01 1.595188147617e-01 1.595218029988e-01 1.595228401035e-01
4.320000000000e+05 2.636821985375e+02 2.636821985375e+02 2.658612209803e+02 2.677834509601e+02 2.685825383382e+02 2.695201301463e+02 2.699206504158e+02 2.700589678029e+02 5.608199563084e-02 5.608199563084e-02 5.608262483044e-02 5.608361858283e-02 1.595108595125e-01 1.595170481592e-01 1.595208180806e-01 1.595223582889e-01
5.184000000000e+05 2.628731242396e+02 2.628731242396e+02 2.652170876353e+02 2.673224715883e+02 2.682108464462e+02 2.693053738272e+02 2.698126052353e+02 2.700050331552e+02 5.608183146629e-02 5.608183146629e-02 5.608240188616e-02 5.608331891663e-02 1.595090653542e-01 1.595153551550e-01 1.595197058744e-01 1.595217411623e-01
6.048000000000e+05 2.621828091741e+02 2.621828091741e+02 2.646511032415e+02 2.668965980787e+02 2.678550034113e+02 2.690825579217e+02 2.696899131836e+02 2.699387948886e+02 5.608171102225e-02 5.608171102225e-02 5.608223455171e-02 5.608308225783e-02 1.595075879776e-01 1.595137912733e-01 1.595185291550e-01 1.595210123173e-01
6.912000000000e+05 2.614724394587e+02 2.614724394587e+02 2.640887859022e+02 2.664787050062e+02 2.675050814578e+02 2.688541681769e+02 2.695554827430e+02 2.698614271434e+02 5.608160232096e-02 5.608160232096e-02 5.608208950685e-02 5.608288010423e-02 1.595063207859e-01 1.595123600103e-01 1.595173343016e-01 1.595201990974e-01
7.776000000000e+05 2.609102543327e+02 2.609102543327e+02 2.636042699547e+02 2.660939949011e+02 2.671715998472e+02 2.686240543191e+02 2.694119524521e+02 2.697742588442e+02 5.608152546998e-02 5.608152546998e-02 5.608197857492e-02 5.608271568109e-02 1.595052537975e-01 1.595110669173e-01 1.595161557219e-01 1.595193286138e-01
