,Name,Group,Measured,Modelled,Residual,Weight,Weighted_Residual,Absolute_Residual,Weighted_Absolute_Residual,Weighted_Sq_Residual,Phi_Percent
0,stemp_0.04_0,temp,261.0233,270.15,-9.1267,0.0007705174,-0.0070322811545799994,9.1267,0.0070322811545799994,4.945297823706101e-05,0.8708798288179713
1,stemp_0.04_1,temp,261.0067,261.108141031,-0.101441031,0.0007705174,-7.81620794594394e-05,0.101441031,7.81620794594394e-05,6.109310665423718e-09,0.00010758655223949178
2,stemp_0.04_2,temp,260.8549,260.724165187,0.1307348132,0.0007705174,0.00010073344835634967,0.1307348132,0.00010073344835634967,1.0147227617761367e-08,0.00017869532161180095
3,stemp_0.04_3,temp,261.0327,261.274939844,-0.242239844,0.0007705174,-0.0001866500147752856,0.242239844,0.0001866500147752856,3.4838228015614335e-08,0.0006135102704051574
4,stemp_0.04_4,temp,261.347,261.392628435,-0.0456284352,0.0007705174,-3.515750325637248e-05,0.0456284352,3.515750325637248e-05,1.2360500352218413e-09,2.1767163100355633e-05
5,stemp_0.04_5,temp,261.0806,260.272284922,0.8083150777,0.0007705174,0.000622820832050202,0.8083150777,0.000622820832050202,3.8790578883570595e-07,0.0068311219874230234
6,stemp_0.04_6,temp,261.1825,260.017551517,1.1649484827,0.0007705174,0.000897613076023949,1.1649484827,0.000897613076023949,8.057092342491756e-07,0.014188749495255504
7,stemp_0.04_7,temp,260.6165,259.096996761,1.5195032388,0.0007705174,0.0011708036848517552,1.5195032388,0.0011708036848517552,1.3707812684624481e-06,0.02413981521401703
8,stemp_0.04_8,temp,260.0583,257.804804413,2.2534955875,0.0007705174,0.0017363575609919723,2.2534955875,0.0017363575609919723,3.0149375796139907e-06,0.05309383614156912
9,stemp_0.04_9,temp,260.6804,257.439825636,3.2405743642,0.0007705174,0.0024969189336100373,3.2405743642,0.0024969189336100373,6.234604161020285e-06,0.10979300333479447
10,stemp_0.04_10,temp,259.4002,254.333118497,5.0670815029,0.0007705174,0.0039042744652026005,5.0670815029,0.0039042744652026005,1.5243359099633052e-05,0.2684395245047275
11,stemp_0.04_11,temp,258.0874,253.378354579,4.7090454211,0.0007705174,0.003628401434347877,4.7090454211,0.003628401434347877,1.3165296968777731e-05,0.2318443090635646
12,stemp_0.04_12,temp,258.4664,255.056176942,3.410223058,0.0007705174,0.002627636204070209,3.410223058,0.002627636204070209,6.904472020940497e-06,0.1215895508426407
13,stemp_0.04_13,temp,258.4739,255.98719732,2.4867026801,0.0007705174,0.0019160476836436837,2.4867026801,0.0019160476836436837,3.6712387259963258e-06,0.06465147029000447
14,stemp_0.04_14,temp,258.4656,255.804424781,2.6611752186,0.0007705174,0.0020504818103801036,2.6611752186,0.0020504818103801036,4.204475654699667e-06,0.07404191150797276
15,stemp_0.04_15,temp,257.2475,255.403232366,1.8442676335,0.0007705174,0.0014210403018685728,1.8442676335,0.0014210403018685728,2.0193555395347246e-06,0.03556137707545959
16,stemp_0.04_16,temp,256.8807,254.876084988,2.0046150117,0.0007705174,0.0015445907468160534,2.0046150117,0.0015445907468160534,2.3857605751497735e-06,0.04201386519791084
17,stemp_0.04_17,temp,257.2833,256.28968016,0.9936198401,0.0007705174,0.0007656013757822678,0.9936198401,0.0007656013757822678,5.861454665997012e-07,0.010322174352529238
18,stemp_0.04_18,temp,256.7728,254.88897811,1.8838218897,0.0007705174,0.0014515175445147309,1.8838218897,0.0014515175445147309,2.1069031820340736e-06,0.03710311386525947
19,stemp_0.04_19,temp,257.1543,255.931207864,1.2230921357,0.0007705174,0.0009424137723600111,1.2230921357,0.0009424137723600111,8.881437183338269e-07,0.01564044223344003
20,stemp_0.04_20,temp,257.7903,257.284251135,0.5060488649,0.0007705174,0.0003899194556556993,0.5060488649,0.0003899194556556993,1.5203718189883684e-07,0.0026774143775793492
21,stemp_0.04_21,temp,258.6003,258.585421176,0.0148788244,0.0007705174,1.146439309174456e-05,0.0148788244,1.146439309174456e-05,1.3143230896204038e-10,2.3145571977752523e-06
22,stemp_0.04_22,temp,259.1631,258.656121009,0.5069789911,0.0007705174,0.00039063613407699514,0.5069789911,0.00039063613407699514,1.5259658924662012e-07,0.0026872656866944776
23,stemp_0.04_23,temp,260.0054,260.407417017,-0.4020170172,0.0007705174,-0.0003097611068486993,0.4020170172,0.0003097611068486993,9.595194331613131e-08,0.0016897387164294321
24,stemp_0.04_24,temp,261.4232,263.121857206,-1.6986572064,0.0007705174,-0.0013088449341665915,1.6986572064,0.0013088449341665915,1.7130750616935493e-06,0.030167698077321628
25,stemp_0.04_25,temp,262.3889,262.469057735,-0.0801577354,0.0007705174,-6.176292987029597e-05,0.0801577354,6.176292987029597e-05,3.814659506163097e-09,6.717714758858573e-05
26,stemp_0.04_26,temp,262.8389,264.69913182,-1.8602318202,0.0007705174,-0.0014333409854977715,1.8602318202,0.0014333409854977715,2.0544663807077227e-06,0.036179688134579585
27,stemp_0.04_27,temp,263.0507,262.285923502,0.7647764978,0.0007705174,0.0005892735986659617,0.7647764978,0.0005892735986659617,3.4724337408473293e-07,0.006115046271459082
28,stemp_0.04_28,temp,261.9409,259.464826666,2.476073334,0.0007705174,0.0019078575875230116,2.476073334,0.0019078575875230116,3.6399205742691256e-06,0.06409994947998703
29,stemp_0.04_29,temp,261.0121,259.366903587,1.6451964126,0.0007705174,0.0012676524623258794,1.6451964126,0.0012676524623258794,1.606942765240865e-06,0.028298680690265574
30,stemp_0.04_30,temp,260.341,259.468862,0.8721380005,0.0007705174,0.0006719975045864587,0.8721380005,0.0006719975045864587,4.5158064617042757e-07,0.007952452811824483
31,stemp_0.04_31,temp,260.1183,259.847996064,0.2703039356,0.0007705174,0.00020827388566827944,0.2703039356,0.00020827388566827944,4.3378011451363535e-08,0.0007638980812467355
32,stemp_0.04_32,temp,261.2094,261.72580507,-0.5164050705,0.0007705174,-0.00039789909226847667,0.5164050705,0.00039789909226847667,1.583236876280777e-07,0.002788121381050407
33,stemp_0.04_33,temp,262.1231,263.13298085,-1.0098808504,0.0007705174,-0.000778130767159997,1.0098808504,0.000778130767159997,6.054874908010055e-07,0.010662792437140394
34,stemp_0.04_34,temp,263.8223,265.673938253,-1.851638253,0.0007705174,-0.0014267194924421022,1.851638253,0.0014267194924421022,2.0355285101142496e-06,0.035846187300280774
35,stemp_0.04_35,temp,264.9146,267.295164357,-2.3805643574,0.0007705174,-0.0018342662591965186,2.3805643574,0.0018342662591965186,3.36453270962679e-06,0.05925029744753307
36,stemp_0.04_36,temp,265.2462,265.727310165,-0.4811101649,0.0007705174,-0.0003707037533723193,0.4811101649,0.0003707037533723193,1.3742127276432532e-07,0.0024200244104055765
37,stemp_0.04_37,temp,262.0612,258.711785362,3.3494146377,0.0007705174,0.002580782258162546,3.3494146377,0.002580782258162546,6.6604370640465694e-06,0.11729203168279129
38,stemp_0.04_38,temp,260.9578,257.242327112,3.7154728884,0.0007705174,0.002862836509740458,3.7154728884,0.002862836509740458,8.195832881502927e-06,0.14433075198522477
39,stemp_0.04_39,temp,260.2153,256.547459647,3.6678403529,0.0007705174,0.0028261348123315906,3.6678403529,0.0028261348123315906,7.987037977472514e-06,0.14065381933602386
40,stemp_0.04_40,temp,259.5873,255.884178178,3.7031218217,0.0007705174,0.0028533197979395473,3.7031218217,0.0028533197979395473,8.14143386931378e-06,0.14337277121011244
41,stemp_0.04_41,temp,259.2258,256.109024989,3.1167750108,0.0007705174,0.002401529377706588,3.1167750108,0.002401529377706588,5.767343351987792e-06,0.1015644187704253
42,stemp_0.04_42,temp,259.4401,257.214708301,2.2253916993,0.0007705174,0.0017147030261262177,2.2253916993,0.0017147030261262177,2.940206467806408e-06,0.051777801795844104
43,stemp_0.04_43,temp,260.1085,259.181424352,0.927075648,0.0007705174,0.0007143279179002752,0.927075648,0.0007143279179002752,5.102643742917422e-07,0.008985888550632844
44,stemp_0.04_44,temp,260.1823,259.158781243,1.0235187569,0.0007705174,0.00078863901141782,1.0235187569,0.00078863901141782,6.219514903300764e-07,0.010952727757573557
45,stemp_0.04_45,temp,261.282,262.25626866,-0.9742686603,0.0007705174,-0.0007506909550358393,0.9742686603,0.0007506909550358393,5.635369099726204e-07,0.009924031780997359
46,stemp_0.04_46,temp,262.1871,263.292785828,-1.1056858285,0.0007705174,-0.0008519501697926659,1.1056858285,0.0008519501697926659,7.258190918097523e-07,0.01278186327622193
47,stemp_0.04_47,temp,262.7193,263.959844768,-1.2405447678,0.0007705174,-0.0009558613290688596,1.2405447678,0.0009558613290688596,9.136708804092868e-07,0.016089982207188765
48,stemp_0.04_48,temp,263.7728,266.146698329,-2.3738983289,0.0007705174,-0.001829129968248373,2.3738983289,0.001829129968248373,3.345716440744294e-06,0.05891893805104073
49,stemp_0.04_49,temp,265.4898,267.952422114,-2.4626221142,0.0007705174,-0.0018974931886158873,2.4626221142,0.0018974931886158873,3.6004804008436873e-06,0.06340539775214879
50,stemp_0.04_50,temp,266.7219,267.641319924,-0.9194199237,0.0007705174,-0.0007084290491175224,0.9194199237,0.0007084290491175224,5.01871717633557e-07,0.008838091680669392
51,stemp_0.04_51,temp,265.5545,264.546659201,1.0078407989,0.0007705174,0.0007765588719823509,1.0078407989,0.0007765588719823509,6.030436816545012e-07,0.010619756321479792
52,stemp_0.04_52,temp,264.3637,263.245951551,1.1177484495,0.0007705174,0.0008612446291627713,1.1177484495,0.0008612446291627713,7.417423112617195e-07,0.01306227531862887
53,stemp_0.04_53,temp,263.4216,262.280124394,1.1414756059,0.0007705174,0.0008795268160214926,1.1414756059,0.0008795268160214926,7.735674201009046e-07,0.01362272377544622
54,stemp_0.04_54,temp,263.1912,262.454946538,0.7362534622,0.0007705174,0.0005672961034353422,0.7362534622,0.0005672961034353422,3.218248689729225e-07,0.005667419775144391
